Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
17.11.2014,"55.500,00","55.500,00","55.500,00","55.500,00","0,00",7,388.5,388.5
02.12.2014,"55.500,00","55.500,00","55.500,00","55.500,00","-0,89",10,555.0,555.0
04.12.2014,"55.500,00","55.500,00","55.500,00","55.500,00","0,00",14,777.0,777.0
11.12.2014,"56.000,00","56.000,00","56.000,00","56.000,00","0,00",7,392.0,392.0
26.12.2014,"57.000,00","57.000,00","57.000,00","57.000,00","1,79",5,285.0,285.0
29.12.2014,"57.001,00","57.001,00","57.001,00","57.001,00","0,00",3,171.003,171.003
16.01.2015,"57.000,00","57.000,00","57.000,00","57.000,00","0,00",10,570.0,570.0
26.01.2015,"57.000,00","57.000,00","57.000,00","57.000,00","0,00",15,855.0,855.0
27.01.2015,"57.000,00","57.000,00","57.000,00","57.000,00","0,00",5,285.0,285.0
03.02.2015,"57.500,00","57.500,00","57.500,00","57.500,00","0,88",2,115.0,115.0
04.02.2015,"57.900,00","58.000,00","57.900,00","57.990,91","0,85",11,637.9,637.9
05.02.2015,"57.900,00","57.900,00","57.900,00","57.900,00","-0,16",2,115.8,115.8
09.02.2015,"57.999,00","57.999,00","57.999,00","57.999,00","0,17",2,115.998,115.998
26.02.2015,"57.999,00","57.999,00","57.900,00","57.966,00","-0,06",6,347.796,347.796
05.03.2015,"58.000,00","58.000,00","58.000,00","58.000,00","0,06",5,290.0,290.0
09.03.2015,"58.000,00","58.000,00","58.000,00","58.000,00","0,00",2,116.0,116.0
12.03.2015,"57.001,00","57.001,00","57.001,00","57.001,00","-1,72",5,285.005,285.005
16.03.2015,"57.000,00","57.000,00","57.000,00","57.000,00","0,00",1,57.0,57.0
19.03.2015,"57.000,00","57.000,00","57.000,00","57.000,00","0,00",1,57.0,57.0
20.03.2015,"57.000,00","57.000,00","57.000,00","57.000,00","0,00",1,57.0,57.0
25.03.2015,"57.000,00","57.000,00","57.000,00","57.000,00","0,00",2,114.0,114.0
30.03.2015,"56.999,00","56.999,00","56.999,00","56.999,00","0,00",2,113.998,113.998
01.04.2015,"57.000,00","57.000,00","57.000,00","57.000,00","0,00",15,855.0,855.0
02.04.2015,"57.000,00","57.000,00","57.000,00","57.000,00","0,00",5,285.0,285.0
09.04.2015,"57.000,00","57.000,00","56.990,00","56.998,00","0,00",10,569.98,569.98
15.05.2015,"53.000,00","53.000,00","53.000,00","53.000,00","-7,01",3,159.0,159.0
29.06.2015,"51.500,00","51.500,00","51.500,00","51.500,00","-2,83",1,51.5,51.5
02.07.2015,"51.000,00","51.000,00","51.000,00","51.000,00","-0,97",1,51.0,51.0
07.07.2015,"51.000,00","51.000,00","51.000,00","51.000,00","0,00",10,510.0,510.0
09.07.2015,"51.000,00","51.000,00","51.000,00","51.000,00","0,00",1,51.0,51.0
16.07.2015,"51.000,00","51.000,00","50.999,00","50.999,88","0,00",16,815.998,815.998
30.07.2015,"50.000,00","50.000,00","50.000,00","50.000,00","0,00",3,150.0,150.0
05.08.2015,"50.000,00","50.000,00","50.000,00","50.000,00","0,00",1,50.0,50.0
07.08.2015,"49.999,00","49.999,00","49.999,00","49.999,00","0,00",3,149.997,149.997
12.08.2015,"49.000,00","49.000,00","49.000,00","49.000,00","-2,00",5,245.0,245.0
26.08.2015,"49.000,00","49.001,00","49.000,00","49.000,53","0,00",19,931.01,931.01
03.09.2015,"47.500,00","47.500,00","47.500,00","47.500,00","-0,21",5,237.5,237.5
11.09.2015,"47.000,00","47.000,00","47.000,00","47.000,00","-1,05",5,235.0,235.0
14.09.2015,"47.500,00","47.500,00","47.500,00","47.500,00","1,06",5,237.5,237.5
17.09.2015,"47.000,00","47.000,00","47.000,00","47.000,00","-1,05",10,470.0,470.0
29.09.2015,"46.850,00","46.850,00","46.500,00","46.762,50","-0,51",12,561.15,561.15
20.10.2015,"45.000,00","45.000,00","45.000,00","45.000,00","-3,77",3,135.0,135.0
05.11.2015,"43.650,00","43.650,00","43.650,00","43.650,00","-3,00",3,130.95,130.95
17.11.2015,"42.000,00","42.000,00","42.000,00","42.000,00","-3,78",4,168.0,168.0
23.11.2015,"42.000,00","42.000,00","42.000,00","42.000,00","0,00",1,42.0,42.0
24.11.2015,"43.000,00","43.000,00","43.000,00","43.000,00","2,38",10,430.0,430.0
01.12.2015,"39.300,00","39.300,00","39.300,00","39.300,00","-8,60",2,78.6,78.6
07.12.2015,"40.450,00","40.450,00","40.450,00","40.450,00","2,93",2,80.9,80.9
10.12.2015,"41.000,00","41.000,00","41.000,00","41.000,00","1,36",2,82.0,82.0
11.12.2015,"41.000,00","41.000,00","41.000,00","41.000,00","0,00",8,328.0,328.0
14.12.2015,"41.000,00","41.000,00","41.000,00","41.000,00","0,00",4,164.0,164.0
16.12.2015,"41.000,00","41.000,00","41.000,00","41.000,00","0,00",15,615.0,615.0
17.12.2015,"41.000,00","41.000,00","41.000,00","41.000,00","0,00",6,246.0,246.0
18.12.2015,"41.000,00","41.000,00","41.000,00","41.000,00","0,00",10,410.0,410.0
21.12.2015,"41.000,00","41.000,00","41.000,00","41.000,00","0,00",7,287.0,287.0
22.12.2015,"41.000,00","41.000,00","41.000,00","41.000,00","0,00",10,410.0,410.0
23.12.2015,"41.000,00","41.000,00","41.000,00","41.000,00","0,00",20,820.0,820.0
24.12.2015,"41.000,00","41.000,00","41.000,00","41.000,00","0,00",10,410.0,410.0
28.12.2015,"41.000,00","41.000,00","40.999,00","40.999,70","0,00",10,409.997,409.997
29.12.2015,"41.000,00","41.000,00","41.000,00","41.000,00","0,00",8,328.0,328.0
30.12.2015,"41.000,00","41.000,00","41.000,00","41.000,00","0,00",12,492.0,492.0
04.01.2016,"40.000,00","40.000,00","40.000,00","40.000,00","-2,44",5,200.0,200.0
05.01.2016,"40.000,00","40.000,00","40.000,00","40.000,00","0,00",7,280.0,280.0
08.01.2016,"40.000,00","40.000,00","40.000,00","40.000,00","0,00",10,400.0,400.0
11.01.2016,"40.000,00","40.000,00","40.000,00","40.000,00","0,00",19,760.0,760.0
18.01.2016,"39.000,00","39.001,00","39.000,00","39.000,30","-2,50",10,390.003,390.003
21.01.2016,"39.000,00","39.000,00","39.000,00","39.000,00","0,00",3,117.0,117.0
27.01.2016,"39.000,00","39.000,00","39.000,00","39.000,00","0,00",2,78.0,78.0
15.02.2016,"39.000,00","39.000,00","39.000,00","39.000,00","0,00",2,78.0,78.0
17.02.2016,"37.000,00","37.500,00","37.000,00","37.238,10","-4,52",21,782.0,782.0
18.02.2016,"37.000,00","37.000,00","37.000,00","37.000,00","-0,64",5,185.0,185.0
22.02.2016,"37.000,00","37.000,00","37.000,00","37.000,00","0,00",12,444.0,444.0
25.02.2016,"37.000,00","37.000,00","37.000,00","37.000,00","0,00",8,296.0,296.0
29.02.2016,"38.100,00","38.100,00","38.100,00","38.100,00","2,97",3,114.3,114.3
01.03.2016,"38.100,00","38.100,00","38.100,00","38.100,00","0,00",1,38.1,38.1
02.03.2016,"38.101,00","38.102,00","38.101,00","38.101,05","0,00",20,762.021,762.021
03.03.2016,"38.000,00","38.000,00","38.000,00","38.000,00","-0,27",10,380.0,380.0
07.03.2016,"38.500,00","38.500,00","38.500,00","38.500,00","1,32",5,192.5,192.5
08.03.2016,"38.500,00","39.000,00","38.500,00","38.750,00","0,65",10,387.5,387.5
11.03.2016,"38.000,00","38.000,00","38.000,00","38.000,00","-1,94",4,152.0,152.0
14.03.2016,"38.000,00","38.000,00","38.000,00","38.000,00","0,00",2,76.0,76.0
15.03.2016,"38.000,00","38.000,00","38.000,00","38.000,00","0,00",18,684.0,684.0
17.03.2016,"38.000,00","38.000,00","38.000,00","38.000,00","0,00",9,342.0,342.0
18.03.2016,"38.001,00","38.001,00","38.001,00","38.001,00","0,00",4,152.004,152.004
23.03.2016,"38.000,00","38.000,00","38.000,00","38.000,00","0,00",2,76.0,76.0
29.03.2016,"38.000,00","38.000,00","38.000,00","38.000,00","0,00",4,152.0,152.0
30.03.2016,"38.000,00","38.000,00","38.000,00","38.000,00","0,00",2,76.0,76.0
31.03.2016,"38.000,00","38.000,00","38.000,00","38.000,00","0,00",2,76.0,76.0
11.04.2016,"38.500,00","38.500,00","38.500,00","38.500,00","1,32",4,154.0,154.0
12.04.2016,"34.650,00","34.650,00","34.650,00","34.650,00","-10,00",5,173.25,173.25
18.04.2016,"34.650,00","34.650,00","34.650,00","34.650,00","0,00",5,173.25,173.25
21.04.2016,"35.689,00","35.689,00","35.689,00","35.689,00","3,00",2,71.378,71.378
27.04.2016,"35.500,00","35.689,00","35.500,00","35.651,20","-0,11",10,356.512,356.512
12.05.2016,"36.700,00","36.700,00","36.700,00","36.700,00","2,94",2,73.4,73.4
30.05.2016,"37.801,00","37.801,00","37.801,00","37.801,00","3,00",2,75.602,75.602
01.06.2016,"37.800,00","37.800,00","37.800,00","37.800,00","0,00",3,113.4,113.4
12.07.2016,"37.800,00","37.800,00","37.800,00","37.800,00","0,00",1,37.8,37.8
21.07.2016,"38.000,00","38.000,00","38.000,00","38.000,00","0,53",3,114.0,114.0
26.07.2016,"38.500,00","38.500,00","38.500,00","38.500,00","1,32",3,115.5,115.5
04.08.2016,"39.000,00","39.000,00","39.000,00","39.000,00","1,30",5,195.0,195.0
09.08.2016,"39.000,00","39.000,00","39.000,00","39.000,00","0,00",2,78.0,78.0
12.08.2016,"40.000,00","40.000,00","40.000,00","40.000,00","2,56",1,40.0,40.0
26.08.2016,"40.000,00","40.000,00","40.000,00","40.000,00","0,00",1,40.0,40.0
01.09.2016,"42.000,00","42.000,00","42.000,00","42.000,00","5,00",4,168.0,168.0
19.09.2016,"42.000,00","42.000,00","42.000,00","42.000,00","0,00",3,126.0,126.0
