Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
18.11.2014,"617,00","617,00","617,00","617,00","-3,44",50,30.85,30.85
02.12.2014,"620,00","620,00","620,00","620,00","0,49",50,31.0,31.0
05.12.2014,"630,00","630,00","630,00","630,00","1,61",87,54.81,54.81
10.12.2014,"630,00","630,00","630,00","630,00","0,00",50,31.5,31.5
11.12.2014,"650,00","650,00","650,00","650,00","3,17",216,140.4,140.4
25.12.2014,"650,00","650,00","650,00","650,00","0,00",107,69.55,69.55
30.12.2014,"650,00","650,00","650,00","650,00","0,00",53,34.45,34.45
30.01.2015,"650,00","650,00","650,00","650,00","0,00",300,195.0,195.0
11.02.2015,"650,00","650,00","650,00","650,00","0,00",20,13.0,13.0
13.02.2015,"650,00","650,00","650,00","650,00","0,00",50,32.5,32.5
16.02.2015,"650,00","650,00","650,00","650,00","0,00",50,32.5,32.5
17.02.2015,"650,00","650,00","650,00","650,00","0,00",50,32.5,32.5
18.02.2015,"650,00","650,00","650,00","650,00","0,00",30,19.5,19.5
01.04.2015,"650,00","650,00","650,00","650,00","0,00",100,65.0,65.0
02.04.2015,"649,00","649,00","649,00","649,00","-0,15",100,64.9,64.9
22.04.2015,"650,00","650,00","650,00","650,00","0,15",202,131.3,131.3
23.04.2015,"638,00","638,00","638,00","638,00","-1,85",200,127.6,127.6
28.04.2015,"637,00","637,00","637,00","637,00","-0,16",35,22.295,22.295
29.04.2015,"650,00","650,00","650,00","650,00","2,04",135,87.75,87.75
07.05.2015,"600,00","600,00","600,00","600,00","-7,69",200,120.0,120.0
21.05.2015,"600,00","600,00","600,00","600,00","0,00",350,210.0,210.0
03.06.2015,"551,00","551,00","551,00","551,00","-8,17",200,110.2,110.2
11.06.2015,"560,00","560,00","560,00","560,00","1,63",450,252.0,252.0
19.06.2015,"601,00","601,00","601,00","601,00","7,32",226,135.826,135.826
24.06.2015,"615,00","615,00","615,00","615,00","2,33",200,123.0,123.0
02.07.2015,"615,00","615,00","615,00","615,00","0,00",80,49.2,49.2
03.07.2015,"605,00","605,00","605,00","605,00","-1,63",580,350.9,350.9
08.07.2015,"605,00","605,00","605,00","605,00","0,00",13,7.865,7.865
09.07.2015,"605,00","605,00","605,00","605,00","0,00",50,30.25,30.25
20.07.2015,"650,00","650,00","650,00","650,00","7,44",40,26.0,26.0
21.07.2015,"650,00","650,00","650,00","650,00","0,00",50,32.5,32.5
30.07.2015,"650,00","650,00","645,00","647,62","-0,37",210,136.0,136.0
31.07.2015,"660,00","660,00","651,00","655,50","1,22",180,117.99,117.99
10.08.2015,"660,00","660,00","660,00","660,00","0,69",100,66.0,66.0
