Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
17.11.2014,"90,00","90,00","90,00","90,00","0,00",218,19.62,19.62
24.03.2015,"90,00","90,00","90,00","90,00","0,00",250,22.5,22.5
02.10.2015,"60,00","60,00","60,00","60,00","-33,33",500,30.0,30.0
02.11.2015,"59,00","59,00","59,00","59,00","-1,67",1.126,66.434,66.434
03.12.2015,"60,00","60,00","60,00","60,00","1,69",2.100,126.0,126.0
25.12.2015,"60,00","60,00","60,00","60,00","0,00",100,6.0,6.0
30.12.2015,"60,00","60,00","60,00","60,00","0,00",10,600.0,600.0
28.01.2016,"60,00","60,00","60,00","60,00","0,00",100,6.0,6.0
01.03.2016,"60,00","60,00","60,00","60,00","0,00",10.456,627.36,627.36
28.03.2016,"120,00","120,00","120,00","120,00","100,00",200,24.0,24.0
29.03.2016,"200,00","200,00","200,00","200,00","66,67",500,100.0,100.0
18.07.2016,"131,00","131,00","131,00","131,00","-34,50",400,52.4,0.0
19.07.2016,"190,00","190,00","190,00","190,00","45,04",30,5.7,5.7
12.08.2016,"195,00","195,00","195,00","195,00","2,63",444,86.58,86.58
15.08.2016,"199,00","199,00","199,00","199,00","2,05",500,99.5,99.5
02.11.2016,"168,00","168,00","168,00","168,00","-15,58",151,25.368,25.368
09.11.2016,"166,00","166,00","166,00","166,00","-1,19",104,17.264,17.264
14.11.2016,"166,00","166,00","166,00","166,00","0,00",100,16.6,16.6
02.12.2016,"121,00","121,00","121,00","121,00","-27,11",85,10.285,10.285
19.12.2016,"159,00","159,00","159,00","159,00","31,40",100,15.9,15.9
20.12.2016,"158,00","158,00","158,00","158,00","-0,63",2.066,326.428,326.428
21.12.2016,"157,00","157,00","157,00","157,00","-0,63",215,33.755,33.755
07.02.2017,"157,00","157,00","157,00","157,00","0,00",205,32.185,32.185
14.02.2017,"177,00","177,00","177,00","177,00","12,74",400,70.8,70.8
16.02.2017,"200,00","200,00","200,00","200,00","12,99",652,130.4,130.4
02.03.2017,"279,00","279,00","279,00","279,00","39,50",400,111.6,111.6
06.03.2017,"288,00","288,00","288,00","288,00","3,23",150,43.2,43.2
07.03.2017,"288,00","288,00","288,00","288,00","0,00",150,43.2,43.2
20.03.2017,"160,00","160,00","160,00","160,00","-44,44",645,103.2,103.2
12.04.2017,"160,00","160,00","160,00","160,00","0,00",150,24.0,24.0
13.04.2017,"170,00","170,00","170,00","170,00","6,25",240,40.8,40.8
19.05.2017,"165,00","165,00","165,00","165,00","-2,94",368,60.72,60.72
12.06.2017,"150,00","150,00","150,00","150,00","-9,09",236,35.4,35.4
15.06.2017,"150,00","150,00","150,00","150,00","0,00",264,39.6,39.6
03.07.2017,"150,00","150,00","150,00","150,00","0,00",524,78.6,78.6
11.07.2017,"154,00","154,00","154,00","154,00","2,67",40,6.16,6.16
18.07.2017,"154,00","154,00","154,00","154,00","0,00",5,770.0,770.0
21.07.2017,"158,00","158,00","158,00","158,00","2,60",45,7.11,7.11
25.07.2017,"200,00","200,00","200,00","200,00","26,58",30,6.0,6.0
27.07.2017,"200,00","200,00","200,00","200,00","0,00",63,12.6,12.6
10.08.2017,"260,00","260,00","260,00","260,00","30,00",150,39.0,39.0
25.09.2017,"143,00","143,00","143,00","143,00","-45,00",100,14.3,14.3
06.10.2017,"152,00","152,00","152,00","152,00","6,29",192,29.184,29.184
25.10.2017,"150,00","150,00","150,00","150,00","-1,32",182,27.3,27.3
07.11.2017,"155,00","155,00","155,00","155,00","3,33",515,79.825,79.825
08.11.2017,"155,00","155,00","155,00","155,00","0,00",865,134.075,134.075
09.11.2017,"155,00","155,00","155,00","155,00","0,00",200,31.0,31.0
15.12.2017,"151,00","151,00","151,00","151,00","-2,58",90,13.59,13.59
18.12.2017,"155,00","155,00","155,00","155,00","2,65",970,150.35,150.35
15.01.2018,"160,00","160,00","160,00","160,00","3,23",111,17.76,17.76
17.01.2018,"200,00","200,00","200,00","200,00","25,00",781,156.2,156.2
24.01.2018,"212,00","212,00","212,00","212,00","6,00",300,63.6,63.6
26.01.2018,"218,00","218,00","218,00","218,00","2,83",795,173.31,173.31
30.01.2018,"230,00","230,00","230,00","230,00","5,50",310,71.3,71.3
31.01.2018,"221,00","221,00","221,00","221,00","-3,91",360,79.56,79.56
02.02.2018,"215,00","215,00","215,00","215,00","-2,71",11,2.365,2.365
07.02.2018,"199,00","199,00","199,00","199,00","-7,44",500,99.5,99.5
08.02.2018,"200,00","200,00","200,00","200,00","0,50",155,31.0,31.0
09.02.2018,"205,00","205,00","205,00","205,00","2,50",1.000,205.0,205.0
06.03.2018,"180,00","180,00","180,00","180,00","-12,20",118,21.24,21.24
09.03.2018,"175,00","175,00","175,00","175,00","-2,78",45,7.875,7.875
13.03.2018,"168,00","168,00","168,00","168,00","-4,00",142,23.856,23.856
23.03.2018,"166,00","168,00","166,00","166,40","-0,95",367,61.068,61.068
26.03.2018,"171,00","171,00","171,00","171,00","2,76",163,27.873,27.873
28.03.2018,"167,00","168,00","167,00","167,12","-2,27",250,41.78,41.78
10.04.2018,"167,00","167,00","167,00","167,00","-0,07",100,16.7,16.7
19.04.2018,"165,00","165,00","165,00","165,00","-1,20",562,92.73,92.73
