Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
16.12.2015,"2.000,00","2.000,00","2.000,00","2.000,00","-2,44",10,20.0,20.0
17.01.2020,"1.800,00","1.800,00","1.800,00","1.800,00","-10,00",50,90.0,90.0
21.01.2020,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",167,300.6,300.6
22.01.2020,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",45,81.0,81.0
04.02.2020,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",10,18.0,18.0
10.06.2020,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",19,34.2,0.0
14.07.2020,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",5,9.0,9.0
12.08.2020,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",50,90.0,90.0
24.09.2020,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",223,401.4,401.4
06.10.2020,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",25,45.0,45.0
14.10.2020,"1.801,00","1.801,00","1.801,00","1.801,00","0,06",113,203.513,203.513
05.11.2020,"1.981,00","1.981,00","1.981,00","1.981,00","9,99",20,39.62,39.62
24.11.2020,"2.179,00","2.179,00","2.179,00","2.179,00","9,99",20,43.58,43.58
30.11.2020,"2.222,00","2.222,00","2.222,00","2.222,00","1,97",30,66.66,66.66
03.12.2020,"2.250,00","2.250,00","2.250,00","2.250,00","1,26",20,45.0,45.0
30.12.2020,"2.317,00","2.317,00","2.317,00","2.317,00","2,98",183,424.011,424.011
20.07.2021,"2.317,00","2.317,00","2.317,00","2.317,00","0,00",50,115.85,115.85
15.04.2022,"2.200,00","2.200,00","2.200,00","2.200,00","-5,05",30,66.0,66.0
08.08.2024,"2.199,00","2.199,00","2.199,00","2.199,00","-2,96",403,886.197,886.197
11.11.2024,"6.050,00","6.050,00","6.050,00","6.050,00","175,13",1,6.05,0.0
