Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
21.04.2022,"61,00","61,00","61,00","61,00","0,00",5.507,335.927,335.927
26.04.2022,"61,00","61,00","61,00","61,00","0,00",5.632,343.552,343.552
27.04.2022,"61,00","61,00","61,00","61,00","0,00",5.117,312.137,312.137
28.04.2022,"61,00","61,00","61,00","61,00","0,00",5.506,335.866,335.866
29.04.2022,"61,00","61,00","61,00","61,00","0,00",5.479,334.219,334.219
04.05.2022,"61,00","61,00","61,00","61,00","0,00",10.706,653.066,653.066
12.05.2022,"61,00","61,00","61,00","61,00","0,00",9.007,549.427,549.427
16.05.2022,"61,00","61,00","61,00","61,00","0,00",5.182,316.102,316.102
18.05.2022,"61,00","61,00","61,00","61,00","0,00",1.129,68.869,68.869
26.05.2022,"61,00","61,00","61,00","61,00","0,00",2.756,168.116,168.116
30.05.2022,"61,00","61,00","61,00","61,00","0,00",2.132,130.052,130.052
01.06.2022,"61,00","61,00","61,00","61,00","0,00",707,43.127,43.127
02.06.2022,"61,00","61,00","61,00","61,00","0,00",545,33.245,33.245
07.06.2022,"61,00","61,00","61,00","61,00","0,00",8.791,536.251,536.251
08.06.2022,"61,00","61,00","61,00","61,00","0,00",9.082,554.002,554.002
09.06.2022,"61,00","61,00","61,00","61,00","0,00",5.853,357.033,357.033
06.07.2022,"61,00","61,00","61,00","61,00","0,00",3.216,196.176,196.176
12.07.2022,"61,00","61,00","61,00","61,00","0,00",278,16.958,16.958
20.07.2022,"61,00","61,00","61,00","61,00","0,00",1.086,66.246,66.246
21.07.2022,"61,00","61,00","61,00","61,00","0,00",760,46.36,46.36
29.07.2022,"61,00","61,00","61,00","61,00","0,00",638,38.918,38.918
15.08.2022,"61,00","61,00","61,00","61,00","0,00",591,36.051,36.051
23.08.2022,"61,00","61,00","61,00","61,00","0,00",1.100,67.1,67.1
24.08.2022,"61,00","61,00","61,00","61,00","0,00",1.391,84.851,84.851
25.08.2022,"61,00","61,00","61,00","61,00","0,00",203,12.383,12.383
30.08.2022,"61,00","61,00","61,00","61,00","0,00",294,17.934,17.934
06.09.2022,"61,00","61,00","61,00","61,00","0,00",864,52.704,52.704
28.09.2022,"61,00","61,00","61,00","61,00","0,00",1.042,63.562,63.562
29.09.2022,"61,00","61,00","61,00","61,00","0,00",757,46.177,46.177
12.10.2022,"61,00","61,00","61,00","61,00","0,00",1.079,65.819,65.819
13.10.2022,"61,00","61,00","61,00","61,00","0,00",861,52.521,52.521
16.11.2022,"61,00","61,00","61,00","61,00","0,00",524,31.964,31.964
22.12.2022,"61,00","61,00","61,00","61,00","0,00",783,47.763,47.763
23.12.2022,"61,00","61,00","61,00","61,00","0,00",182,11.102,11.102
12.01.2023,"61,00","61,00","61,00","61,00","0,00",763,46.543,46.543
28.02.2023,"61,00","61,00","61,00","61,00","0,00",852,51.972,51.972
31.07.2023,"61,00","61,00","61,00","61,00","0,00",285,17.385,17.385
13.09.2023,"61,00","61,00","61,00","61,00","0,00",159,9.699,9.699
28.11.2023,"61,00","61,00","61,00","61,00","0,00",306,18.666,18.666
03.01.2024,"61,00","61,00","61,00","61,00","0,00",490,29.89,29.89
09.04.2024,"61,00","61,00","61,00","61,00","0,00",2.589,157.929,157.929
12.09.2024,"61,00","61,00","61,00","61,00","0,00",242,14.762,14.762
