Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
02.11.2016,"3.239,00","3.239,00","3.239,00","3.239,00","2,99",97,314.183,314.183
08.06.2017,"3.142,00","3.142,00","3.142,00","3.142,00","-2,99",3,9.426,9.426
14.11.2017,"2.800,00","2.800,00","2.800,00","2.800,00","-10,88",1,2.8,0.0
14.03.2018,"2.716,00","2.716,00","2.716,00","2.716,00","-3,00",31,84.196,84.196
05.04.2018,"2.797,00","2.797,00","2.797,00","2.797,00","2,98",116,324.452,324.452
22.05.2018,"3.000,00","3.000,00","3.000,00","3.000,00","7,26",29,87.0,87.0
05.06.2018,"2.911,00","2.911,00","2.911,00","2.911,00","-2,97",5,14.555,14.555
04.09.2018,"3.276,00","3.276,00","3.276,00","3.276,00","12,54",36,117.936,117.936
06.02.2019,"2.851,00","2.851,00","2.851,00","2.851,00","-12,97",1,2.851,0.0
21.03.2019,"3.010,00","3.010,00","3.010,00","3.010,00","5,58",1,3.01,3.01
26.11.2020,"3.000,00","3.000,00","3.000,00","3.000,00","-0,33",40,120.0,120.0
27.11.2020,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",15,45.0,45.0
17.12.2020,"3.090,00","3.090,00","3.090,00","3.090,00","3,00",42,129.78,129.78
23.12.2020,"3.182,00","3.182,00","3.182,00","3.182,00","2,98",40,127.28,127.28
29.12.2020,"3.301,00","3.301,00","3.301,00","3.301,00","3,74",18,59.418,59.418
09.03.2021,"3.301,00","3.301,00","3.301,00","3.301,00","0,00",100,330.1,330.1
09.09.2021,"2.900,00","2.900,00","2.900,00","2.900,00","-12,15",115,333.5,333.5
27.12.2023,"2.987,00","2.987,00","2.987,00","2.987,00","3,00",20,59.74,59.74
20.03.2024,"3.076,00","3.076,00","3.076,00","3.076,00","2,98",21,64.596,64.596
22.03.2024,"3.168,00","3.168,00","3.168,00","3.168,00","2,99",20,63.36,63.36
27.03.2024,"3.168,00","3.168,00","3.168,00","3.168,00","0,00",20,63.36,63.36
