Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
02.12.2014,"57.000,00","57.000,00","57.000,00","57.000,00","3,64",2,114.0,114.0
04.12.2014,"57.000,00","57.000,00","57.000,00","57.000,00","0,00",4,228.0,228.0
10.12.2014,"56.000,00","56.000,00","56.000,00","56.000,00","-1,75",5,280.0,280.0
30.12.2014,"56.000,00","56.000,00","55.000,00","55.500,00","-0,89",4,222.0,222.0
23.01.2015,"55.500,00","55.500,00","55.500,00","55.500,00","0,00",1,55.5,55.5
26.01.2015,"55.400,00","55.400,00","55.400,00","55.400,00","-0,18",1,55.4,0.0
06.04.2015,"46.018,00","46.018,00","46.018,00","46.018,00","-16,94",2,92.036,92.036
07.04.2015,"49.000,00","49.000,00","49.000,00","49.000,00","6,48",12,588.0,588.0
09.04.2015,"49.000,00","49.000,00","49.000,00","49.000,00","0,00",2,98.0,98.0
04.05.2015,"47.000,00","47.000,00","47.000,00","47.000,00","-4,08",7,329.0,329.0
05.05.2015,"47.000,00","47.000,00","47.000,00","47.000,00","0,00",5,235.0,235.0
08.05.2015,"48.000,00","48.000,00","48.000,00","48.000,00","2,13",3,144.0,144.0
12.05.2015,"48.000,00","48.000,00","48.000,00","48.000,00","0,00",6,288.0,288.0
01.06.2015,"48.000,00","48.000,00","48.000,00","48.000,00","0,00",6,288.0,288.0
15.09.2015,"46.560,00","46.560,00","46.560,00","46.560,00","-3,00",2,93.12,93.12
04.11.2015,"40.500,00","40.500,00","40.500,00","40.500,00","-13,02",1,40.5,40.5
16.11.2015,"38.000,00","38.000,00","38.000,00","38.000,00","-6,17",2,76.0,76.0
18.11.2015,"39.000,00","39.000,00","39.000,00","39.000,00","2,63",17,663.0,663.0
07.12.2015,"40.000,00","40.000,00","40.000,00","40.000,00","2,56",1,40.0,40.0
16.12.2015,"40.000,00","40.000,00","40.000,00","40.000,00","0,00",12,480.0,480.0
18.12.2015,"38.800,00","38.800,00","38.800,00","38.800,00","-3,00",2,77.6,77.6
21.12.2015,"40.000,00","40.000,00","40.000,00","40.000,00","3,09",1,40.0,0.0
29.12.2015,"37.830,00","37.830,00","37.830,00","37.830,00","-5,42",5,189.15,189.15
05.01.2016,"39.500,00","39.500,00","39.500,00","39.500,00","4,41",2,79.0,79.0
