Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
17.11.2014,"580,00","580,00","575,00","575,51","0,04",390,224.45,224.45
18.11.2014,"575,00","575,00","574,00","574,67","-0,15",1.194,686.156,686.156
19.11.2014,"570,00","570,00","560,00","562,99","-2,03",428,240.96,240.96
21.11.2014,"573,00","573,00","573,00","573,00","0,47",329,188.517,188.517
25.11.2014,"570,00","570,00","570,00","570,00","-0,52",310,176.7,176.7
26.11.2014,"570,00","570,00","570,00","570,00","0,00",20,11.4,11.4
27.11.2014,"570,00","570,00","570,00","570,00","0,00",100,57.0,57.0
28.11.2014,"570,00","570,00","570,00","570,00","0,00",778,443.46,443.46
01.12.2014,"562,00","562,00","562,00","562,00","-1,40",100,56.2,56.2
04.12.2014,"570,00","570,00","570,00","570,00","-0,02",622,354.54,354.54
09.12.2014,"560,00","573,00","560,00","570,40","-0,27",500,285.2,285.2
16.12.2014,"570,00","570,00","570,00","570,00","-1,59",350,199.5,199.5
17.12.2014,"555,00","570,00","555,00","569,27","-0,13",409,232.83,232.83
19.12.2014,"570,00","570,00","570,00","570,00","0,13",200,114.0,114.0
22.12.2014,"560,00","560,00","560,00","560,00","-1,75",500,280.0,280.0
23.12.2014,"566,00","570,00","560,00","562,25","0,40",1.530,860.24,860.24
25.12.2014,"570,00","570,00","560,00","565,93","-0,71",123,69.61,69.61
26.12.2014,"581,00","585,00","580,00","580,50","2,57",1.491,865.53,865.53
29.12.2014,"595,00","597,00","595,00","596,00","2,67",1.000,596.0,596.0
05.01.2015,"578,00","578,00","578,00","578,00","-2,84",20,11.56,11.56
08.01.2015,"580,00","580,00","578,00","578,65","0,11",614,355.292,355.292
09.01.2015,"580,00","580,00","578,00","578,88","0,04",137,79.306,79.306
12.01.2015,"580,00","580,00","580,00","580,00","0,19",100,58.0,58.0
13.01.2015,"580,00","580,00","580,00","580,00","0,00",250,145.0,145.0
14.01.2015,"580,00","580,00","580,00","580,00","0,00",469,272.02,272.02
15.01.2015,"580,00","580,00","580,00","580,00","0,00",150,87.0,87.0
16.01.2015,"580,00","580,00","580,00","580,00","0,00",663,384.54,384.54
20.01.2015,"580,00","580,00","580,00","580,00","0,00",506,293.48,293.48
21.01.2015,"580,00","580,00","580,00","580,00","0,00",250,145.0,145.0
22.01.2015,"580,00","580,00","580,00","580,00","0,00",13,7.54,7.54
23.01.2015,"580,00","580,00","580,00","580,00","0,00",460,266.8,266.8
26.01.2015,"585,00","586,00","581,00","584,98","0,86",590,345.14,345.14
27.01.2015,"590,00","595,00","589,00","591,13","1,05",1.307,772.61,772.61
28.01.2015,"590,00","595,00","590,00","590,32","-0,14",310,183.0,183.0
29.01.2015,"590,00","590,00","590,00","590,00","-0,05",200,118.0,118.0
30.01.2015,"595,00","595,00","590,00","592,80","0,47",127,75.285,75.285
03.02.2015,"585,00","589,00","585,00","585,22","-1,28",662,387.418,387.418
04.02.2015,"590,00","590,00","590,00","590,00","0,82",200,118.0,118.0
05.02.2015,"595,00","595,00","590,00","593,66","0,62",149,88.455,88.455
06.02.2015,"587,00","590,00","587,00","588,30","-0,90",352,207.08,207.08
09.02.2015,"582,00","586,00","582,00","584,23","-0,69",1.129,659.594,659.594
10.02.2015,"582,00","582,00","582,00","582,00","-0,38",231,134.442,134.442
11.02.2015,"580,00","581,00","580,00","580,21","-0,31",380,220.48,220.48
12.02.2015,"576,00","576,00","576,00","576,00","-0,73",218,125.568,125.568
16.02.2015,"562,00","563,00","562,00","562,40","-2,18",100,56.24,56.24
17.02.2015,"560,00","562,00","560,00","561,19","-0,22",740,415.28,415.28
18.02.2015,"570,00","570,00","569,00","569,86","1,54",74,42.17,42.17
19.02.2015,"570,00","570,00","570,00","570,00","0,02",277,157.89,157.89
20.02.2015,"580,00","580,00","579,00","579,09","1,59",85,49.223,49.223
24.02.2015,"579,00","579,00","565,00","573,31","1,30",246,141.034,141.034
26.02.2015,"575,00","575,00","575,00","575,00","0,29",340,195.5,195.5
27.02.2015,"575,00","575,00","575,00","575,00","0,00",100,57.5,57.5
03.03.2015,"580,00","580,00","570,00","576,29","0,22",1.302,750.335,750.335
04.03.2015,"589,00","589,00","580,00","582,25","1,03",700,407.575,407.575
05.03.2015,"580,00","580,00","580,00","580,00","-0,39",200,116.0,116.0
09.03.2015,"580,00","580,00","569,00","577,33","-0,46",132,76.208,76.208
11.03.2015,"572,00","572,00","572,00","572,00","-2,86",15,8.58,8.58
12.03.2015,"570,00","570,00","570,00","570,00","-0,35",123,70.11,70.11
13.03.2015,"575,00","575,00","571,00","574,84","0,85",970,557.59,557.59
17.03.2015,"569,00","569,00","569,00","569,00","-1,02",134,76.246,76.246
19.03.2015,"570,00","570,00","570,00","570,00","0,18",155,88.35,88.35
25.03.2015,"553,00","553,00","553,00","553,00","-2,98",326,180.278,180.278
26.03.2015,"553,00","553,00","553,00","553,00","0,00",100,55.3,55.3
27.03.2015,"537,00","537,00","537,00","537,00","-2,89",40,21.48,21.48
30.03.2015,"537,00","537,00","537,00","537,00","0,00",500,268.5,268.5
01.04.2015,"521,00","521,00","521,00","521,00","-2,98",35,18.235,18.235
02.04.2015,"506,00","506,00","506,00","506,00","-2,88",840,425.04,425.04
03.04.2015,"520,00","520,00","507,00","510,34","0,86",175,89.31,89.31
06.04.2015,"510,00","519,00","506,00","509,98","-0,07",1.059,540.07,540.07
07.04.2015,"510,00","510,00","510,00","510,00","0,00",80,40.8,40.8
08.04.2015,"515,00","520,00","515,00","517,15","1,40",653,337.7,337.7
09.04.2015,"530,00","530,00","520,00","529,70","2,43",1.350,715.1,715.1
15.04.2015,"526,00","526,00","520,00","523,66","-1,14",362,189.566,189.566
16.04.2015,"530,00","530,00","525,00","529,40","1,10",525,277.935,277.935
17.04.2015,"540,00","540,00","539,00","539,75","1,96",1.581,853.34,853.34
20.04.2015,"526,00","530,00","526,00","527,83","-2,21",166,87.62,87.62
21.04.2015,"516,00","517,00","516,00","516,53","-2,14",190,98.14,98.14
22.04.2015,"520,00","520,00","520,00","520,00","0,67",200,104.0,104.0
23.04.2015,"515,00","516,00","515,00","515,66","-0,83",986,508.44,508.44
24.04.2015,"515,00","515,00","515,00","515,00","-0,13",70,36.05,36.05
27.04.2015,"525,00","525,00","525,00","525,00","1,94",275,144.375,144.375
28.04.2015,"515,00","515,00","515,00","515,00","-1,90",9,4.635,4.635
30.04.2015,"515,00","515,00","515,00","515,00","0,00",200,103.0,103.0
04.05.2015,"510,00","513,00","500,00","509,47","-1,07",1.331,678.11,678.11
06.05.2015,"495,00","495,00","495,00","495,00","-2,84",50,24.75,24.75
07.05.2015,"485,00","485,00","485,00","485,00","-2,02",200,97.0,97.0
08.05.2015,"485,00","485,00","485,00","485,00","0,00",500,242.5,242.5
11.05.2015,"490,00","490,00","490,00","490,00","1,03",10,4.9,4.9
12.05.2015,"473,00","481,00","472,00","477,90","-2,47",1.128,539.07,539.07
13.05.2015,"510,00","510,00","480,00","495,08","3,59",1.105,547.06,547.06
14.05.2015,"510,00","510,00","495,00","508,64","2,74",176,89.52,89.52
15.05.2015,"520,00","520,00","505,00","519,23","2,08",1.200,623.075,623.075
18.05.2015,"505,00","505,00","505,00","505,00","-2,74",70,35.35,35.35
19.05.2015,"500,00","500,00","498,00","499,32","-1,12",182,90.876,90.876
20.05.2015,"496,00","496,00","496,00","496,00","-0,66",880,436.48,436.48
21.05.2015,"496,00","496,00","495,00","495,40","-0,12",260,128.805,128.805
22.05.2015,"485,00","485,00","485,00","485,00","-2,10",20,9.7,9.7
26.05.2015,"486,00","499,00","486,00","495,88","2,24",104,51.571,51.571
27.05.2015,"485,00","485,00","485,00","485,00","-2,19",60,29.1,29.1
01.06.2015,"487,00","490,00","486,00","488,43","0,71",356,173.88,173.88
02.06.2015,"490,00","490,00","485,00","489,79","0,28",1.300,636.73,636.73
03.06.2015,"476,00","480,00","476,00","479,71","-2,06",237,113.692,113.692
04.06.2015,"467,00","467,00","467,00","467,00","-2,65",135,63.045,63.045
08.06.2015,"470,00","470,00","470,00","470,00","0,64",200,94.0,94.0
09.06.2015,"480,00","480,00","470,00","475,66","1,20",1.060,504.2,504.2
10.06.2015,"471,00","471,00","471,00","471,00","-0,98",51,24.021,24.021
11.06.2015,"470,00","475,00","470,00","474,51","0,75",590,279.96,279.96
12.06.2015,"471,00","471,00","471,00","471,00","-0,74",40,18.84,18.84
16.06.2015,"470,00","471,00","470,00","470,05","-0,20",1.819,855.03,855.03
17.06.2015,"460,00","461,00","460,00","460,12","-2,11",1.200,552.15,552.15
18.06.2015,"461,00","465,00","460,00","461,75","0,35",597,275.665,275.665
19.06.2015,"473,00","473,00","473,00","473,00","2,44",148,70.004,70.004
22.06.2015,"465,00","465,00","465,00","465,00","-1,69",100,46.5,46.5
24.06.2015,"470,00","470,00","460,00","468,41","0,73",270,126.47,126.47
25.06.2015,"465,00","465,00","464,00","464,30","-0,88",735,341.264,341.264
26.06.2015,"470,00","470,00","461,00","465,90","0,34",389,181.235,181.235
29.06.2015,"460,00","460,00","460,00","460,00","-1,27",15,6.9,6.9
30.06.2015,"465,00","465,00","462,00","462,55","0,55",55,25.44,25.44
01.07.2015,"470,00","470,00","470,00","470,00","1,61",275,129.25,129.25
02.07.2015,"461,00","470,00","461,00","463,98","-1,28",245,113.675,113.675
03.07.2015,"470,00","470,00","465,00","469,00","1,08",651,305.319,305.319
06.07.2015,"455,00","455,00","455,00","455,00","-2,99",57,25.935,25.935
07.07.2015,"460,00","460,00","460,00","460,00","1,10",50,23.0,23.0
08.07.2015,"460,00","460,00","460,00","460,00","0,00",51,23.46,23.46
09.07.2015,"460,00","460,00","460,00","460,00","0,00",100,46.0,46.0
10.07.2015,"469,00","469,00","469,00","469,00","1,96",206,96.614,96.614
13.07.2015,"465,00","465,00","465,00","465,00","-0,85",50,23.25,23.25
14.07.2015,"478,00","478,00","470,00","470,85","1,26",291,137.018,137.018
15.07.2015,"483,00","484,00","475,00","479,60","1,86",474,227.331,227.331
16.07.2015,"505,00","505,00","490,00","490,83","2,34",218,107.0,107.0
20.07.2015,"500,00","500,00","495,00","497,78","1,42",293,145.85,145.85
21.07.2015,"490,00","490,00","490,00","490,00","-1,56",200,98.0,98.0
22.07.2015,"500,00","500,00","500,00","500,00","2,04",506,253.0,253.0
23.07.2015,"498,00","498,00","498,00","498,00","-0,40",290,144.42,144.42
27.07.2015,"454,00","454,00","454,00","454,00","-8,84",20,9.08,9.08
28.07.2015,"495,00","495,00","495,00","495,00","9,03",44,21.78,21.78
29.07.2015,"500,00","500,00","495,00","495,95","0,19",131,64.97,64.97
30.07.2015,"482,00","482,00","482,00","482,00","-2,81",28,13.496,13.496
04.08.2015,"485,00","485,00","485,00","485,00","0,62",100,48.5,48.5
05.08.2015,"490,00","490,00","475,00","485,48","0,10",73,35.44,35.44
06.08.2015,"485,00","485,00","485,00","485,00","-0,10",28,13.58,13.58
07.08.2015,"480,00","480,00","480,00","480,00","-1,03",831,398.88,398.88
10.08.2015,"484,00","484,00","484,00","484,00","0,83",38,18.392,18.392
12.08.2015,"475,00","475,00","475,00","475,00","-1,86",50,23.75,23.75
13.08.2015,"480,00","480,00","480,00","480,00","1,05",100,48.0,48.0
14.08.2015,"485,00","485,00","480,00","481,62","0,34",222,106.92,106.92
17.08.2015,"475,00","477,00","475,00","476,54","-1,05",195,92.925,92.925
19.08.2015,"480,00","485,00","476,00","481,90","0,40",63,30.36,30.36
20.08.2015,"490,00","490,00","490,00","490,00","1,68",246,120.54,120.54
21.08.2015,"480,00","480,00","480,00","480,00","-2,04",124,59.52,59.52
24.08.2015,"480,00","480,00","480,00","480,00","0,00",80,38.4,38.4
02.09.2015,"460,00","460,00","460,00","460,00","-0,03",50,23.0,23.0
03.09.2015,"460,00","460,00","460,00","460,00","0,00",205,94.3,94.3
04.09.2015,"470,00","470,00","470,00","470,00","2,17",224,105.28,105.28
09.09.2015,"460,00","460,00","460,00","460,00","-2,13",20,9.2,9.2
11.09.2015,"460,00","460,00","460,00","460,00","0,00",800,368.0,368.0
14.09.2015,"462,00","462,00","460,00","460,28","0,06",726,334.16,334.16
15.09.2015,"460,00","460,00","460,00","460,00","-0,06",10,4.6,4.6
16.09.2015,"460,00","470,00","460,00","464,83","1,05",323,150.14,150.14
21.09.2015,"480,00","480,00","480,00","480,00","2,11",55,26.4,26.4
22.09.2015,"475,00","479,00","475,00","477,26","-0,57",230,109.77,109.77
23.09.2015,"480,00","480,00","479,00","479,92","0,56",930,446.328,446.328
24.09.2015,"480,00","480,00","480,00","480,00","0,02",562,269.76,269.76
25.09.2015,"485,00","485,00","485,00","485,00","1,04",50,24.25,24.25
28.09.2015,"480,00","480,00","476,00","479,96","-1,04",1.465,703.14,703.14
29.09.2015,"490,00","490,00","480,00","486,60","1,38",303,147.44,147.44
30.09.2015,"490,00","490,00","488,00","489,50","0,60",600,293.7,293.7
