Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
21.04.2015,"600,00","600,00","600,00","600,00","0,00",120,72.0,72.0
21.07.2015,"600,00","600,00","600,00","600,00","0,00",40,24.0,24.0
15.08.2017,"1.000,00","1.000,00","1.000,00","1.000,00","66,67",24,24.0,24.0
16.08.2017,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",75,75.0,75.0
20.02.2018,"800,00","800,00","800,00","800,00","-20,00",210,168.0,168.0
25.04.2018,"800,00","800,00","800,00","800,00","0,00",200,160.0,160.0
16.05.2018,"886,00","886,00","886,00","886,00","10,75",153,135.558,135.558
30.05.2018,"886,00","886,00","886,00","886,00","0,00",10,8.86,8.86
17.08.2018,"2.006,00","2.006,00","2.006,00","2.006,00","126,41",30,60.18,60.18
20.08.2018,"2.000,00","2.000,00","2.000,00","2.000,00","-0,30",15,30.0,30.0
21.08.2018,"2.000,00","2.000,00","2.000,00","2.000,00","0,00",9,18.0,18.0
22.08.2018,"1.999,00","1.999,00","1.999,00","1.999,00","-0,05",37,73.963,73.963
06.09.2018,"2.000,00","2.000,00","2.000,00","2.000,00","0,05",104,208.0,208.0
07.09.2018,"2.000,00","2.000,00","2.000,00","2.000,00","0,00",87,174.0,174.0
10.09.2018,"2.000,00","2.000,00","2.000,00","2.000,00","0,00",7,14.0,14.0
12.09.2018,"2.000,00","2.000,00","2.000,00","2.000,00","0,00",10,20.0,20.0
19.09.2018,"2.000,00","2.000,00","2.000,00","2.000,00","0,00",95,190.0,190.0
20.09.2018,"2.000,00","2.000,00","2.000,00","2.000,00","0,00",21,42.0,42.0
24.09.2018,"2.200,00","2.200,00","2.200,00","2.200,00","10,00",3,6.6,6.6
15.11.2018,"2.021,00","2.021,00","2.021,00","2.021,00","-8,14",150,303.15,303.15
19.11.2018,"1.999,00","1.999,00","1.999,00","1.999,00","-1,09",74,147.926,147.926
22.11.2018,"2.058,00","2.058,00","2.058,00","2.058,00","2,95",92,189.336,189.336
28.11.2018,"2.058,00","2.058,00","2.058,00","2.058,00","0,00",15,30.87,30.87
18.03.2019,"2.100,00","2.100,00","2.100,00","2.100,00","2,04",184,386.4,386.4
19.03.2019,"2.037,00","2.037,00","2.037,00","2.037,00","-3,00",30,61.11,61.11
20.03.2019,"2.106,00","2.106,00","2.106,00","2.106,00","3,39",328,690.768,690.768
12.04.2019,"2.366,00","2.366,00","2.366,00","2.366,00","12,35",260,615.16,615.16
16.04.2019,"2.451,00","2.451,00","2.451,00","2.451,00","3,59",150,367.65,367.65
17.04.2019,"2.524,00","2.524,00","2.524,00","2.524,00","2,98",92,232.208,232.208
24.04.2019,"2.599,00","2.599,00","2.599,00","2.599,00","2,97",30,77.97,77.97
13.02.2020,"2.676,00","2.676,00","2.676,00","2.676,00","2,96",313,837.588,837.588
26.02.2020,"2.596,00","2.596,00","2.596,00","2.596,00","-2,99",40,103.84,103.84
04.03.2020,"2.519,00","2.519,00","2.519,00","2.519,00","-2,97",40,100.76,100.76
05.03.2020,"2.444,00","2.444,00","2.444,00","2.444,00","-2,98",50,122.2,122.2
25.03.2020,"2.200,00","2.200,00","2.200,00","2.200,00","-9,98",15,33.0,33.0
29.04.2020,"2.500,00","2.500,00","2.500,00","2.500,00","13,64",6,15.0,15.0
12.02.2021,"2.500,00","2.500,00","2.500,00","2.500,00","0,00",50,125.0,125.0
06.07.2021,"2.200,00","2.200,00","2.200,00","2.200,00","-12,00",140,308.0,308.0
26.08.2021,"2.500,00","2.500,00","2.500,00","2.500,00","13,64",13,32.5,32.5
03.09.2021,"2.425,00","2.425,00","2.425,00","2.425,00","-3,00",48,116.4,116.4
20.09.2021,"2.521,00","2.521,00","2.521,00","2.521,00","3,96",20,50.42,50.42
24.09.2021,"2.521,00","2.521,00","2.521,00","2.521,00","0,00",69,173.949,173.949
29.10.2021,"2.500,00","2.500,00","2.500,00","2.500,00","-0,83",115,287.5,287.5
13.11.2023,"2.575,00","2.575,00","2.575,00","2.575,00","3,00",90,231.75,231.75
03.06.2024,"3.089,00","3.089,00","3.089,00","3.089,00","19,96",8,24.712,24.712
07.06.2024,"3.200,00","3.200,00","3.200,00","3.200,00","3,59",25,80.0,80.0
20.09.2024,"3.300,00","3.300,00","3.300,00","3.300,00","3,12",30,99.0,99.0
23.09.2024,"3.300,00","3.300,00","3.300,00","3.300,00","0,00",17,56.1,56.1
04.11.2024,"3.200,00","3.200,00","3.200,00","3.200,00","-3,03",53,169.6,169.6
