Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
12.01.2015,"19.200,00","19.200,00","19.200,00","19.200,00","-0,06",20,384.0,384.0
13.01.2015,"19.211,00","19.211,00","19.211,00","19.211,00","0,06",35,672.385,672.385
16.01.2015,"20.000,00","20.200,00","20.000,00","20.058,82","1,71",17,341.0,341.0
20.01.2015,"20.001,00","21.820,00","20.001,00","20.980,46","4,59",13,272.746,272.746
22.01.2015,"21.000,00","21.000,00","21.000,00","21.000,00","0,09",3,63.0,63.0
30.01.2015,"19.800,00","19.800,00","19.800,00","19.800,00","-5,71",5,99.0,99.0
02.02.2015,"19.800,00","19.800,00","19.800,00","19.800,00","0,00",23,455.4,455.4
04.02.2015,"20.350,00","20.350,00","20.350,00","20.350,00","2,78",6,122.1,122.1
05.02.2015,"20.390,00","20.390,00","20.390,00","20.390,00","0,20",2,40.78,40.78
06.02.2015,"20.000,00","20.000,00","20.000,00","20.000,00","-1,91",3,60.0,60.0
03.03.2015,"20.290,00","20.290,00","20.290,00","20.290,00","1,45",23,466.67,466.67
05.03.2015,"20.300,00","20.300,00","20.300,00","20.300,00","0,05",10,203.0,203.0
13.03.2015,"19.801,00","19.801,00","19.801,00","19.801,00","-1,00",4,79.204,79.204
16.03.2015,"19.800,00","19.800,00","19.800,00","19.800,00","-0,01",3,59.4,59.4
24.03.2015,"20.000,00","20.000,00","20.000,00","20.000,00","1,01",7,140.0,140.0
26.03.2015,"20.000,00","20.000,00","20.000,00","20.000,00","0,00",2,40.0,40.0
30.03.2015,"20.200,00","20.300,00","20.000,00","20.226,67","1,13",15,303.4,303.4
31.03.2015,"20.500,00","20.500,00","20.500,00","20.500,00","1,35",26,533.0,533.0
01.04.2015,"20.500,00","20.500,00","20.500,00","20.500,00","0,00",27,553.5,553.5
03.04.2015,"20.000,00","20.500,00","20.000,00","20.192,31","-1,50",13,262.5,262.5
08.04.2015,"21.000,00","21.000,00","21.000,00","21.000,00","4,00",38,798.0,798.0
17.04.2015,"22.900,00","22.900,00","22.900,00","22.900,00","9,05",3,68.7,68.7
21.04.2015,"22.900,00","22.900,00","22.900,00","22.900,00","0,00",5,114.5,114.5
23.04.2015,"25.190,00","25.190,00","25.190,00","25.190,00","10,00",1,25.19,25.19
24.04.2015,"25.000,00","25.000,00","25.000,00","25.000,00","-0,75",20,500.0,500.0
30.04.2015,"24.250,00","24.250,00","24.250,00","24.250,00","-3,00",1,24.25,24.25
07.05.2015,"23.000,00","23.000,00","23.000,00","23.000,00","-5,15",17,391.0,391.0
08.05.2015,"25.000,00","25.000,00","25.000,00","25.000,00","8,70",20,500.0,500.0
15.05.2015,"25.000,00","25.000,00","25.000,00","25.000,00","3,09",12,300.0,300.0
18.05.2015,"25.000,00","25.000,00","25.000,00","25.000,00","0,00",11,275.0,275.0
