Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
29.12.2014,"1.410,00","1.410,00","1.400,00","1.407,27","0,52",139,195.61,195.61
30.12.2014,"1.400,00","1.400,00","1.400,00","1.400,00","-0,52",50,70.0,70.0
02.01.2015,"1.400,00","1.400,00","1.400,00","1.400,00","0,00",22,30.8,30.8
13.01.2015,"1.400,00","1.400,00","1.400,00","1.400,00","0,00",21,29.4,29.4
16.01.2015,"1.400,00","1.440,00","1.400,00","1.428,99","2,07",69,98.6,98.6
20.01.2015,"1.400,00","1.400,00","1.400,00","1.400,00","-2,03",10,14.0,14.0
21.01.2015,"1.400,00","1.400,00","1.400,00","1.400,00","0,00",50,70.0,70.0
26.01.2015,"1.380,00","1.380,00","1.380,00","1.380,00","-1,43",20,27.6,27.6
27.01.2015,"1.380,00","1.380,00","1.380,00","1.380,00","0,00",23,31.74,31.74
30.01.2015,"1.380,00","1.380,00","1.380,00","1.380,00","0,00",121,166.98,166.98
03.02.2015,"1.390,00","1.390,00","1.390,00","1.390,00","0,72",40,55.6,55.6
05.02.2015,"1.380,00","1.380,00","1.380,00","1.380,00","-0,72",24,33.12,33.12
06.02.2015,"1.400,00","1.400,00","1.380,00","1.398,56","1,34",376,525.86,525.86
11.02.2015,"1.400,00","1.430,00","1.400,00","1.403,21","0,33",448,628.64,628.64
17.02.2015,"1.381,00","1.381,00","1.381,00","1.381,00","-1,58",75,103.575,103.575
18.02.2015,"1.422,00","1.422,00","1.422,00","1.422,00","2,97",25,35.55,35.55
02.03.2015,"1.410,00","1.429,00","1.410,00","1.422,98","0,07",48,68.303,68.303
05.03.2015,"1.398,00","1.398,00","1.301,00","1.349,50","-5,16",40,53.98,53.98
11.03.2015,"1.310,00","1.310,00","1.310,00","1.310,00","-2,93",150,196.5,196.5
12.03.2015,"1.301,00","1.301,00","1.301,00","1.301,00","-0,69",14,18.214,18.214
16.03.2015,"1.265,00","1.265,00","1.265,00","1.265,00","-2,77",43,54.395,54.395
18.03.2015,"1.265,00","1.265,00","1.265,00","1.265,00","0,00",24,30.36,30.36
19.03.2015,"1.300,00","1.300,00","1.300,00","1.300,00","2,77",126,163.8,163.8
20.03.2015,"1.300,00","1.300,00","1.261,00","1.286,81","-1,01",68,87.503,87.503
25.03.2015,"1.269,00","1.269,00","1.269,00","1.269,00","-1,38",1,1.269,1.269
26.03.2015,"1.200,00","1.200,00","1.200,00","1.200,00","-5,44",13,15.6,15.6
27.03.2015,"1.201,00","1.201,00","1.200,00","1.200,79","0,07",126,151.3,151.3
03.04.2015,"1.200,00","1.200,00","1.200,00","1.200,00","-0,07",11,13.2,13.2
07.04.2015,"1.199,00","1.199,00","1.199,00","1.199,00","-0,08",552,661.848,661.848
09.04.2015,"1.180,00","1.180,00","1.180,00","1.180,00","-1,52",80,94.4,94.4
14.04.2015,"1.165,00","1.165,00","1.165,00","1.165,00","-1,27",325,378.625,378.625
15.04.2015,"1.165,00","1.165,00","1.165,00","1.165,00","0,00",25,29.125,29.125
16.04.2015,"1.101,00","1.101,00","1.101,00","1.101,00","-5,49",21,23.121,23.121
17.04.2015,"1.101,00","1.166,00","1.101,00","1.139,62","3,51",135,153.849,153.849
20.04.2015,"1.140,00","1.140,00","1.140,00","1.140,00","0,03",200,228.0,228.0
21.04.2015,"1.146,00","1.150,00","1.146,00","1.146,62","0,58",477,546.94,546.94
22.04.2015,"1.180,00","1.180,00","1.145,00","1.177,02","2,65",126,148.305,148.305
23.04.2015,"1.245,00","1.245,00","1.210,00","1.232,63","4,72",397,489.354,489.354
29.04.2015,"1.200,00","1.200,00","1.200,00","1.200,00","-2,65",221,265.2,265.2
05.05.2015,"1.160,00","1.160,00","1.160,00","1.160,00","-3,33",35,40.6,40.6
13.05.2015,"1.200,00","1.200,00","1.160,00","1.190,17","2,60",234,278.5,278.5
14.05.2015,"1.225,00","1.225,00","1.225,00","1.225,00","2,93",20,24.5,24.5
19.05.2015,"1.189,00","1.189,00","1.189,00","1.189,00","-2,94",660,784.74,784.74
21.05.2015,"1.250,00","1.250,00","1.250,00","1.250,00","5,13",5,6.25,6.25
28.05.2015,"1.146,00","1.146,00","1.146,00","1.146,00","-8,32",14,16.044,16.044
01.06.2015,"1.151,00","1.151,00","1.151,00","1.151,00","0,44",60,69.06,69.06
02.06.2015,"1.151,00","1.151,00","1.151,00","1.151,00","0,00",43,49.493,49.493
04.06.2015,"1.185,00","1.185,00","1.161,00","1.179,00","2,43",40,47.16,47.16
08.06.2015,"1.152,00","1.160,00","1.152,00","1.155,20","-2,02",25,28.88,28.88
10.06.2015,"1.179,00","1.179,00","1.179,00","1.179,00","2,06",30,35.37,35.37
11.06.2015,"1.145,00","1.151,00","1.145,00","1.147,33","-2,69",18,20.652,20.652
12.06.2015,"1.150,00","1.150,00","1.145,00","1.146,66","-0,06",582,667.355,667.355
15.06.2015,"1.130,00","1.130,00","1.115,00","1.120,17","-2,31",29,32.485,32.485
16.06.2015,"1.100,00","1.100,00","1.100,00","1.100,00","-1,80",40,44.0,44.0
22.06.2015,"1.100,00","1.100,00","1.100,00","1.100,00","0,00",20,22.0,22.0
30.06.2015,"1.210,00","1.210,00","1.210,00","1.210,00","10,00",22,26.62,26.62
10.07.2015,"1.100,00","1.100,00","1.100,00","1.100,00","-9,09",45,49.5,49.5
13.07.2015,"1.070,00","1.070,00","1.070,00","1.070,00","-2,73",7,7.49,7.49
14.07.2015,"1.060,00","1.070,00","1.060,00","1.068,43","-0,15",51,54.49,54.49
15.07.2015,"1.100,00","1.100,00","1.100,00","1.100,00","2,95",50,55.0,55.0
16.07.2015,"1.100,00","1.100,00","1.100,00","1.100,00","0,00",30,33.0,33.0
20.07.2015,"1.130,00","1.130,00","1.130,00","1.130,00","2,73",49,55.37,55.37
21.07.2015,"1.100,00","1.100,00","1.100,00","1.100,00","-2,65",38,41.8,41.8
22.07.2015,"1.120,00","1.120,00","1.120,00","1.120,00","1,82",45,50.4,50.4
30.07.2015,"1.101,00","1.101,00","1.101,00","1.101,00","-1,70",20,22.02,22.02
06.08.2015,"1.210,00","1.210,00","1.210,00","1.210,00","9,90",26,31.46,31.46
12.08.2015,"1.210,00","1.210,00","1.210,00","1.210,00","0,00",51,61.71,61.71
13.08.2015,"1.201,00","1.201,00","1.201,00","1.201,00","-0,74",20,24.02,24.02
14.08.2015,"1.201,00","1.201,00","1.201,00","1.201,00","0,00",8,9.608,9.608
18.08.2015,"1.201,00","1.201,00","1.201,00","1.201,00","0,00",7,8.407,8.407
24.08.2015,"1.110,00","1.110,00","1.110,00","1.110,00","-7,58",120,133.2,133.2
31.08.2015,"1.143,00","1.143,00","1.143,00","1.143,00","2,97",171,195.453,195.453
01.09.2015,"1.143,00","1.143,00","1.143,00","1.143,00","0,00",2,2.286,2.286
02.09.2015,"1.111,00","1.112,00","1.111,00","1.111,50","-2,76",40,44.46,44.46
04.09.2015,"1.100,00","1.111,00","1.100,00","1.107,80","-0,33",150,166.17,166.17
09.09.2015,"1.140,00","1.140,00","1.140,00","1.140,00","2,91",77,87.78,87.78
14.09.2015,"1.140,00","1.140,00","1.140,00","1.140,00","0,00",10,11.4,11.4
15.09.2015,"1.140,00","1.140,00","1.140,00","1.140,00","0,00",11,12.54,12.54
18.09.2015,"1.110,00","1.170,00","1.110,00","1.134,52","-0,48",93,105.51,105.51
25.09.2015,"1.168,00","1.168,00","1.168,00","1.168,00","2,95",83,96.944,96.944
28.09.2015,"1.170,00","1.170,00","1.169,00","1.169,74","0,15",135,157.915,157.915
30.09.2015,"1.235,00","1.235,00","1.205,00","1.221,38","4,41",152,185.65,185.65
01.10.2015,"1.237,00","1.237,00","1.235,00","1.236,12","1,21",205,253.405,253.405
02.10.2015,"1.270,00","1.270,00","1.260,00","1.266,98","2,50",116,146.97,146.97
08.10.2015,"1.200,00","1.201,00","1.200,00","1.200,43","-5,25",70,84.03,84.03
13.10.2015,"1.260,00","1.260,00","1.260,00","1.260,00","4,96",37,46.62,46.62
14.10.2015,"1.265,00","1.265,00","1.265,00","1.265,00","0,40",7,8.855,8.855
16.10.2015,"1.220,00","1.220,00","1.220,00","1.220,00","-3,56",50,61.0,61.0
27.10.2015,"1.135,00","1.170,00","1.135,00","1.154,02","-5,41",92,106.17,106.17
28.10.2015,"1.120,00","1.150,00","1.120,00","1.139,75","-1,24",158,180.08,180.08
29.10.2015,"1.170,00","1.170,00","1.170,00","1.170,00","2,65",100,117.0,117.0
04.11.2015,"1.053,00","1.053,00","1.053,00","1.053,00","-10,00",32,33.696,33.696
05.11.2015,"1.050,00","1.100,00","1.050,00","1.064,42","1,08",52,55.35,55.35
06.11.2015,"1.070,00","1.071,00","1.070,00","1.070,16","0,54",115,123.068,123.068
09.11.2015,"1.050,00","1.100,00","1.050,00","1.053,32","-1,57",111,116.918,116.918
13.11.2015,"1.022,00","1.050,00","1.022,00","1.022,55","-2,92",459,469.35,469.35
16.11.2015,"1.000,00","1.000,00","1.000,00","1.000,00","-2,21",17,17.0,17.0
20.11.2015,"1.010,00","1.100,00","1.010,00","1.046,43","4,64",42,43.95,43.95
24.11.2015,"1.030,00","1.100,00","1.000,00","1.030,00","-1,57",430,442.9,442.9
25.11.2015,"1.050,00","1.100,00","1.005,00","1.046,31","1,58",464,485.487,485.487
26.11.2015,"1.100,00","1.101,00","1.100,00","1.100,86","5,21",210,231.18,0.0
27.11.2015,"1.130,00","1.130,00","1.100,00","1.105,07","0,38",148,163.55,163.55
30.11.2015,"1.099,00","1.100,00","1.050,00","1.054,56","-4,57",869,916.411,0.0
03.12.2015,"1.050,00","1.051,00","1.050,00","1.050,75","-0,36",67,70.4,70.4
07.12.2015,"1.000,00","1.050,00","1.000,00","1.049,09","-0,16",219,229.75,229.75
10.12.2015,"1.000,00","1.000,00","1.000,00","1.000,00","-4,68",147,147.0,147.0
11.12.2015,"1.050,00","1.050,00","1.050,00","1.050,00","5,00",32,33.6,33.6
15.12.2015,"1.080,00","1.080,00","1.080,00","1.080,00","2,86",30,32.4,32.4
16.12.2015,"1.080,00","1.080,00","1.080,00","1.080,00","0,00",105,113.4,113.4
17.12.2015,"1.000,00","1.000,00","1.000,00","1.000,00","-7,41",982,982.0,982.0
18.12.2015,"1.003,00","1.003,00","1.003,00","1.003,00","0,30",50,50.15,50.15
21.12.2015,"1.030,00","1.030,00","1.030,00","1.030,00","2,69",44,45.32,45.32
25.12.2015,"1.080,00","1.080,00","1.080,00","1.080,00","4,85",400,432.0,432.0
28.12.2015,"1.050,00","1.050,00","1.050,00","1.050,00","-2,78",70,73.5,0.0
29.12.2015,"1.011,00","1.011,00","1.011,00","1.011,00","-3,71",2,2.022,2.022
30.12.2015,"1.111,00","1.112,00","1.111,00","1.111,38","9,93",281,312.297,312.297
05.01.2016,"1.080,00","1.080,00","1.079,00","1.079,29","-2,89",70,75.55,75.55
12.01.2016,"1.100,00","1.100,00","1.100,00","1.100,00","1,92",80,88.0,88.0
20.01.2016,"1.130,00","1.130,00","1.130,00","1.130,00","2,73",25,28.25,28.25
21.01.2016,"1.060,00","1.100,00","1.030,00","1.042,02","-7,79",267,278.22,278.22
25.01.2016,"1.030,00","1.030,00","1.030,00","1.030,00","-1,15",30,30.9,30.9
26.01.2016,"1.100,00","1.100,00","1.100,00","1.100,00","6,80",10,11.0,11.0
27.01.2016,"1.013,00","1.013,00","1.013,00","1.013,00","-7,91",600,607.8,607.8
28.01.2016,"1.000,00","1.040,00","1.000,00","1.019,67","0,66",659,671.965,671.965
29.01.2016,"1.050,00","1.050,00","1.050,00","1.050,00","2,97",105,110.25,110.25
01.02.2016,"1.080,00","1.080,00","1.080,00","1.080,00","2,86",45,48.6,48.6
02.02.2016,"1.080,00","1.080,00","1.080,00","1.080,00","0,00",132,142.56,142.56
03.02.2016,"1.095,00","1.100,00","1.095,00","1.096,52","1,53",66,72.37,72.37
08.02.2016,"1.095,00","1.095,00","1.095,00","1.095,00","-0,14",48,52.56,52.56
10.02.2016,"1.100,00","1.100,00","1.070,00","1.094,00","-0,54",10,10.94,10.94
12.02.2016,"1.012,00","1.012,00","1.012,00","1.012,00","-7,50",380,384.56,384.56
17.02.2016,"1.002,00","1.011,00","1.002,00","1.006,69","-0,52",290,291.94,291.94
18.02.2016,"1.005,00","1.035,00","1.003,00","1.009,72","0,30",497,501.83,501.83
19.02.2016,"1.099,00","1.099,00","1.099,00","1.099,00","8,84",100,109.9,109.9
22.02.2016,"1.099,00","1.099,00","1.099,00","1.099,00","0,00",40,43.96,43.96
