Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
13.01.2015,"380,00","380,00","380,00","380,00","0,00",6,2.28,2.28
23.01.2015,"385,00","385,00","385,00","385,00","1,32",12,4.62,4.62
28.01.2015,"385,00","386,00","385,00","385,60","0,16",182,70.18,70.18
30.01.2015,"390,00","390,00","390,00","390,00","1,14",230,89.7,89.7
02.02.2015,"390,00","390,00","390,00","390,00","0,00",80,31.2,31.2
06.02.2015,"381,00","381,00","381,00","381,00","-2,31",10,3.81,3.81
12.02.2015,"380,00","381,00","380,00","380,18","-0,22",71,26.993,26.993
18.02.2015,"380,00","380,00","380,00","380,00","-0,05",221,83.98,83.98
19.02.2015,"380,00","380,00","380,00","380,00","0,00",234,88.92,88.92
27.02.2015,"380,00","380,00","380,00","380,00","0,00",66,25.08,25.08
03.03.2015,"380,00","380,00","380,00","380,00","0,00",234,88.92,88.92
05.03.2015,"380,00","382,00","380,00","380,05","0,01",435,165.32,165.32
06.03.2015,"390,00","390,00","390,00","390,00","2,62",47,18.33,18.33
11.03.2015,"380,00","380,00","380,00","380,00","-2,56",80,30.4,30.4
16.03.2015,"380,00","380,00","380,00","380,00","0,00",60,22.8,22.8
17.03.2015,"380,00","380,00","380,00","380,00","0,00",340,129.2,129.2
18.03.2015,"380,00","380,00","380,00","380,00","0,00",190,72.2,72.2
29.04.2015,"369,00","369,00","369,00","369,00","-2,89",200,73.8,73.8
08.05.2015,"350,00","350,00","350,00","350,00","-5,15",417,145.95,145.95
11.05.2015,"350,00","350,00","350,00","350,00","0,00",123,43.05,43.05
12.05.2015,"330,00","330,00","330,00","330,00","-5,71",10,3.3,3.3
21.05.2015,"331,00","331,00","331,00","331,00","0,30",25,8.275,8.275
22.05.2015,"330,00","330,00","330,00","330,00","-0,30",9,2.97,2.97
02.06.2015,"330,00","330,00","330,00","330,00","0,00",9,2.97,2.97
05.06.2015,"330,00","330,00","330,00","330,00","0,00",15,4.95,4.95
10.06.2015,"330,00","330,00","330,00","330,00","0,00",6,1.98,1.98
11.06.2015,"330,00","330,00","330,00","330,00","0,00",46,15.18,15.18
16.06.2015,"330,00","330,00","330,00","330,00","0,00",501,165.33,165.33
17.06.2015,"331,00","331,00","331,00","331,00","0,30",98,32.438,32.438
07.07.2015,"330,00","330,00","330,00","330,00","-0,30",200,66.0,66.0
