Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
30.12.2014,"1.055,00","1.055,00","1.055,00","1.055,00","-29,67",10,10.55,10.55
26.01.2015,"1.051,00","1.051,00","1.051,00","1.051,00","-0,38",11,11.561,11.561
04.02.2015,"1.085,00","1.085,00","1.085,00","1.085,00","3,24",25,27.125,27.125
16.02.2015,"1.085,00","1.085,00","1.085,00","1.085,00","0,00",10,10.85,10.85
07.04.2015,"1.117,00","1.117,00","1.117,00","1.117,00","2,95",2,2.234,2.234
21.04.2015,"1.150,00","1.150,00","1.150,00","1.150,00","2,95",5,5.75,5.75
23.04.2015,"1.200,00","1.200,00","1.200,00","1.200,00","4,35",10,12.0,12.0
13.05.2015,"1.101,00","1.101,00","1.101,00","1.101,00","-8,25",3,3.303,3.303
26.05.2015,"1.100,00","1.100,00","1.100,00","1.100,00","-0,09",5,5.5,5.5
27.05.2015,"1.100,00","1.100,00","1.100,00","1.100,00","0,00",5,5.5,5.5
04.06.2015,"1.100,00","1.100,00","1.100,00","1.100,00","0,00",15,16.5,16.5
10.06.2015,"1.201,00","1.201,00","1.201,00","1.201,00","9,18",61,73.261,73.261
23.07.2015,"1.237,00","1.237,00","1.237,00","1.237,00","3,00",100,123.7,123.7
18.09.2015,"1.500,00","1.500,00","1.500,00","1.500,00","21,26",30,45.0,45.0
02.11.2015,"1.711,00","1.711,00","1.711,00","1.711,00","14,07",17,29.087,29.087
20.11.2015,"1.900,00","1.900,00","1.900,00","1.900,00","11,05",25,47.5,47.5
09.12.2015,"1.950,00","1.950,00","1.950,00","1.950,00","2,63",50,97.5,97.5
28.12.2015,"2.600,00","2.600,00","2.600,00","2.600,00","33,33",45,117.0,117.0
30.12.2015,"2.600,00","2.600,00","2.600,00","2.600,00","0,00",17,44.2,44.2
15.01.2016,"2.700,00","2.700,00","2.700,00","2.700,00","3,85",37,99.9,99.9
22.01.2016,"2.781,00","2.781,00","2.781,00","2.781,00","3,00",75,208.575,208.575
12.02.2016,"2.507,00","2.507,00","2.507,00","2.507,00","-9,85",70,175.49,175.49
29.02.2016,"2.500,00","2.500,00","2.500,00","2.500,00","-0,28",200,500.0,500.0
07.03.2016,"2.551,00","2.551,00","2.551,00","2.551,00","2,04",100,255.1,255.1
08.03.2016,"2.550,00","2.550,00","2.550,00","2.550,00","-0,04",10,25.5,25.5
11.03.2016,"2.500,00","2.500,00","2.500,00","2.500,00","-1,96",8,20.0,20.0
21.11.2016,"2.003,00","2.003,00","2.003,00","2.003,00","-19,88",54,108.162,108.162
01.12.2016,"2.350,00","2.350,00","2.350,00","2.350,00","17,32",10,23.5,23.5
02.12.2016,"2.350,00","2.350,00","2.350,00","2.350,00","0,00",4,9.4,9.4
05.12.2016,"2.300,00","2.300,00","2.300,00","2.300,00","-2,13",30,69.0,69.0
06.12.2016,"2.300,00","2.300,00","2.300,00","2.300,00","0,00",103,236.9,236.9
02.02.2017,"2.001,00","2.001,00","2.001,00","2.001,00","-13,00",5,10.005,10.005
17.02.2017,"2.001,00","2.001,00","2.001,00","2.001,00","0,00",50,100.05,100.05
20.02.2017,"2.132,00","2.132,00","2.132,00","2.132,00","6,55",20,42.64,42.64
24.02.2017,"2.100,00","2.100,00","2.100,00","2.100,00","-1,50",10,21.0,21.0
27.02.2017,"2.150,00","2.150,00","2.150,00","2.150,00","2,38",20,43.0,43.0
22.03.2017,"2.086,00","2.086,00","2.086,00","2.086,00","-2,98",50,104.3,104.3
24.03.2017,"2.024,00","2.024,00","2.024,00","2.024,00","-2,97",13,26.312,26.312
04.04.2017,"2.025,00","2.025,00","2.025,00","2.025,00","0,05",100,202.5,202.5
28.04.2017,"2.085,00","2.085,00","2.085,00","2.085,00","2,96",42,87.57,87.57
15.05.2017,"2.332,00","2.332,00","2.332,00","2.332,00","11,85",55,128.26,128.26
19.05.2017,"2.505,00","2.505,00","2.505,00","2.505,00","7,42",75,187.875,187.875
29.05.2017,"2.510,00","2.510,00","2.510,00","2.510,00","0,20",100,251.0,251.0
01.06.2017,"2.999,00","2.999,00","2.999,00","2.999,00","19,48",10,29.99,29.99
19.06.2017,"2.720,00","2.720,00","2.720,00","2.720,00","-9,30",3,8.16,8.16
20.06.2017,"2.434,00","2.434,00","2.434,00","2.434,00","-10,51",148,360.232,360.232
22.06.2017,"2.510,00","2.510,00","2.510,00","2.510,00","3,12",35,87.85,87.85
30.06.2017,"2.500,00","2.500,00","2.500,00","2.500,00","-0,40",30,75.0,75.0
04.07.2017,"2.450,00","2.450,00","2.450,00","2.450,00","-2,00",10,24.5,24.5
07.07.2017,"2.500,00","2.500,00","2.500,00","2.500,00","2,04",40,100.0,100.0
13.07.2017,"2.519,00","2.519,00","2.519,00","2.519,00","0,76",7,17.633,17.633
19.07.2017,"2.648,00","2.648,00","2.648,00","2.648,00","5,12",25,66.2,66.2
21.07.2017,"2.800,00","2.800,00","2.800,00","2.800,00","5,74",75,210.0,210.0
24.07.2017,"3.000,00","3.000,00","3.000,00","3.000,00","7,14",271,813.0,813.0
25.07.2017,"3.153,00","3.153,00","3.153,00","3.153,00","5,10",65,204.945,204.945
26.07.2017,"3.358,00","3.358,00","3.358,00","3.358,00","6,50",30,100.74,100.74
27.07.2017,"3.358,00","3.358,00","3.358,00","3.358,00","0,00",2,6.716,6.716
28.07.2017,"3.358,00","3.358,00","3.358,00","3.358,00","0,00",2,6.716,6.716
01.08.2017,"3.358,00","3.358,00","3.358,00","3.358,00","0,00",20,67.16,67.16
03.08.2017,"3.001,00","3.001,00","3.001,00","3.001,00","-10,63",62,186.062,186.062
09.08.2017,"3.300,00","3.300,00","3.300,00","3.300,00","9,96",10,33.0,33.0
14.08.2017,"3.399,00","3.399,00","3.399,00","3.399,00","3,00",42,142.758,142.758
15.08.2017,"3.400,00","3.400,00","3.400,00","3.400,00","0,03",100,340.0,340.0
22.08.2017,"3.400,00","3.400,00","3.400,00","3.400,00","0,00",46,156.4,156.4
24.08.2017,"3.400,00","3.400,00","3.400,00","3.400,00","0,00",74,251.6,251.6
29.08.2017,"3.300,00","3.300,00","3.300,00","3.300,00","-2,94",10,33.0,33.0
04.09.2017,"3.201,00","3.201,00","3.201,00","3.201,00","-3,00",5,16.005,16.005
18.09.2017,"3.107,00","3.200,00","3.107,00","3.153,50","-1,48",100,315.35,315.35
21.09.2017,"3.248,00","3.248,00","3.248,00","3.248,00","3,00",50,162.4,162.4
03.10.2017,"3.200,00","3.200,00","3.200,00","3.200,00","-1,48",10,32.0,32.0
04.10.2017,"3.100,00","3.100,00","3.100,00","3.100,00","-3,12",50,155.0,155.0
13.10.2017,"3.100,00","3.100,00","3.100,00","3.100,00","0,00",10,31.0,31.0
24.10.2017,"3.100,00","3.100,00","3.100,00","3.100,00","0,00",50,155.0,155.0
03.11.2017,"3.007,00","3.007,00","3.007,00","3.007,00","-3,00",60,180.42,180.42
27.11.2017,"2.710,00","2.710,00","2.710,00","2.710,00","-9,88",30,81.3,81.3
14.12.2017,"2.716,00","2.716,00","2.716,00","2.716,00","0,22",54,146.664,146.664
10.01.2018,"2.797,00","2.797,00","2.797,00","2.797,00","2,98",159,444.723,444.723
17.01.2018,"3.148,00","3.148,00","3.148,00","3.148,00","12,55",54,169.992,169.992
18.01.2018,"3.202,00","3.202,00","3.202,00","3.202,00","1,72",20,64.04,64.04
22.01.2018,"3.106,00","3.106,00","3.106,00","3.106,00","-3,00",10,31.06,31.06
24.01.2018,"3.100,00","3.100,00","3.100,00","3.100,00","-0,19",23,71.3,71.3
25.01.2018,"3.100,00","3.100,00","3.100,00","3.100,00","0,00",45,139.5,139.5
26.01.2018,"3.200,00","3.200,00","3.200,00","3.200,00","3,23",60,192.0,192.0
06.02.2018,"3.110,00","3.110,00","3.110,00","3.110,00","-2,81",76,236.36,236.36
12.02.2018,"3.020,00","3.020,00","3.020,00","3.020,00","-2,89",17,51.34,51.34
20.02.2018,"3.110,00","3.110,00","3.110,00","3.110,00","2,98",250,777.5,777.5
21.02.2018,"3.100,00","3.100,00","3.100,00","3.100,00","-0,32",20,62.0,62.0
05.03.2018,"3.231,00","3.231,00","3.231,00","3.231,00","4,23",75,242.325,242.325
06.03.2018,"3.235,00","3.235,00","3.235,00","3.235,00","0,12",16,51.76,51.76
07.03.2018,"3.332,00","3.332,00","3.332,00","3.332,00","3,00",65,216.58,216.58
08.03.2018,"3.360,00","3.360,00","3.360,00","3.360,00","0,84",50,168.0,168.0
09.03.2018,"3.610,00","3.610,00","3.610,00","3.610,00","7,44",39,140.79,140.79
12.03.2018,"3.700,00","3.700,00","3.700,00","3.700,00","2,49",174,643.8,643.8
15.03.2018,"4.243,00","4.243,00","4.243,00","4.243,00","2,99",10,42.43,42.43
16.03.2018,"4.200,00","4.200,00","4.150,00","4.182,84","-1,42",204,853.3,853.3
23.03.2018,"4.058,00","4.058,00","4.058,00","4.058,00","-2,98",134,543.772,543.772
29.03.2018,"4.000,00","4.000,00","4.000,00","4.000,00","-1,43",170,680.0,680.0
03.04.2018,"4.000,00","4.000,00","4.000,00","4.000,00","0,00",10,40.0,40.0
19.04.2018,"3.990,00","3.990,00","3.986,00","3.987,14","-0,32",7,27.91,27.91
07.05.2018,"3.868,00","3.868,00","3.868,00","3.868,00","-2,99",50,193.4,193.4
14.05.2018,"3.867,00","3.867,00","3.865,00","3.865,64","-0,06",47,181.685,181.685
21.05.2018,"3.990,00","3.990,00","3.990,00","3.990,00","3,22",10,39.9,39.9
28.05.2018,"4.000,00","4.000,00","3.990,00","3.992,29","0,06",131,522.99,522.99
29.05.2018,"4.109,00","4.109,00","4.000,00","4.081,75","2,24",160,653.08,653.08
31.05.2018,"4.100,00","4.100,00","4.100,00","4.100,00","0,45",20,82.0,82.0
04.06.2018,"4.200,00","4.200,00","4.200,00","4.200,00","2,44",70,294.0,294.0
06.06.2018,"4.150,00","4.150,00","4.150,00","4.150,00","-1,19",30,124.5,124.5
07.06.2018,"4.151,00","4.200,00","4.151,00","4.175,02","0,60",102,425.852,425.852
08.06.2018,"4.300,00","4.300,00","4.300,00","4.300,00","2,99",50,215.0,215.0
11.06.2018,"4.300,00","4.300,00","4.300,00","4.300,00","0,00",50,215.0,215.0
12.06.2018,"4.300,00","4.300,00","4.300,00","4.300,00","0,00",163,700.9,700.9
13.06.2018,"4.321,00","4.321,00","4.321,00","4.321,00","0,49",80,345.68,345.68
20.06.2018,"4.500,00","4.500,00","4.497,00","4.498,50","4,11",214,962.68,962.68
28.06.2018,"4.502,00","4.503,00","4.502,00","4.502,33","0,09",30,135.07,135.07
05.07.2018,"4.650,00","4.650,00","4.650,00","4.650,00","3,28",35,162.75,162.75
12.07.2018,"4.650,00","4.650,00","4.650,00","4.650,00","0,00",30,139.5,139.5
18.07.2018,"4.650,00","4.650,00","4.650,00","4.650,00","0,00",10,46.5,46.5
23.07.2018,"4.750,00","4.750,00","4.750,00","4.750,00","2,15",100,475.0,475.0
10.08.2018,"5.000,00","5.000,00","4.900,00","4.978,49","4,81",93,463.0,463.0
16.08.2018,"5.007,00","5.007,00","5.007,00","5.007,00","0,57",39,195.273,195.273
24.08.2018,"4.857,00","5.000,00","4.857,00","4.878,81","-2,56",118,575.7,575.7
30.08.2018,"4.900,00","4.900,00","4.900,00","4.900,00","0,43",1,4.9,4.9
14.09.2018,"4.850,00","4.900,00","4.850,00","4.851,32","-0,99",38,184.35,184.35
20.09.2018,"4.996,00","4.996,00","4.996,00","4.996,00","2,98",24,119.904,119.904
27.09.2018,"5.155,00","5.156,00","5.155,00","5.155,62","3,19",80,412.45,412.45
02.10.2018,"5.500,00","5.500,00","5.500,00","5.500,00","6,68",74,407.0,407.0
08.10.2018,"5.350,00","5.350,00","5.350,00","5.350,00","-2,73",50,267.5,267.5
15.10.2018,"4.950,00","4.950,00","4.950,00","4.950,00","-7,48",40,198.0,198.0
22.10.2018,"5.700,00","5.700,00","5.405,00","5.661,18","5,82",152,860.5,860.5
24.10.2018,"6.000,00","6.000,00","6.000,00","6.000,00","5,98",22,132.0,132.0
02.11.2018,"5.900,00","5.900,00","5.900,00","5.900,00","-1,67",4,23.6,23.6
05.11.2018,"5.800,00","5.800,00","5.800,00","5.800,00","-1,69",16,92.8,92.8
12.11.2018,"5.626,00","5.626,00","5.626,00","5.626,00","-3,00",20,112.52,112.52
22.11.2018,"5.628,00","5.629,00","5.628,00","5.628,42","0,04",48,270.164,270.164
28.11.2018,"5.500,00","5.500,00","5.500,00","5.500,00","-2,28",30,165.0,165.0
04.12.2018,"5.335,00","5.335,00","5.335,00","5.335,00","-3,00",10,53.35,53.35
05.12.2018,"5.300,00","5.300,00","5.300,00","5.300,00","-0,66",20,106.0,106.0
07.12.2018,"4.955,00","4.955,00","4.955,00","4.955,00","-6,51",113,559.915,559.915
27.12.2018,"4.808,00","4.808,00","4.808,00","4.808,00","-2,97",45,216.36,216.36
14.01.2019,"5.201,00","5.201,00","5.201,00","5.201,00","8,17",10,52.01,52.01
15.01.2019,"5.300,00","5.300,00","5.300,00","5.300,00","1,90",114,604.2,604.2
28.01.2019,"5.300,00","5.300,00","5.300,00","5.300,00","0,00",5,26.5,26.5
19.02.2019,"5.250,00","5.250,00","5.250,00","5.250,00","-0,09",5,26.25,26.25
28.02.2019,"5.499,00","5.499,00","5.499,00","5.499,00","4,74",10,54.99,54.99
04.03.2019,"5.400,00","5.400,00","5.400,00","5.400,00","-1,80",50,270.0,270.0
07.03.2019,"5.350,00","5.351,00","5.350,00","5.350,16","-0,92",113,604.568,604.568
18.03.2019,"5.350,00","5.400,00","5.350,00","5.384,38","0,64",32,172.3,172.3
20.03.2019,"5.400,00","5.400,00","5.350,00","5.354,55","-0,55",110,589.0,589.0
25.03.2019,"5.400,00","5.401,00","5.400,00","5.400,11","0,85",38,205.204,205.204
26.03.2019,"5.400,00","5.400,00","5.400,00","5.400,00","0,00",30,162.0,162.0
27.03.2019,"5.500,00","5.500,00","5.500,00","5.500,00","1,85",15,82.5,82.5
02.04.2019,"5.400,00","5.400,00","5.400,00","5.400,00","-1,82",30,162.0,162.0
08.04.2019,"5.400,00","5.400,00","5.350,00","5.360,78","-0,73",51,273.4,273.4
22.04.2019,"5.260,00","5.260,00","5.260,00","5.260,00","-1,88",22,115.72,115.72
20.05.2019,"5.300,00","5.300,00","5.300,00","5.300,00","0,76",75,397.5,397.5
21.05.2019,"5.400,00","5.400,00","5.351,00","5.369,69","1,31",97,520.86,520.86
22.05.2019,"5.500,00","5.500,00","5.500,00","5.500,00","2,43",99,544.5,544.5
28.05.2019,"5.557,00","5.557,00","5.557,00","5.557,00","1,04",15,83.355,83.355
29.05.2019,"5.665,00","5.665,00","5.665,00","5.665,00","1,94",20,113.3,113.3
31.05.2019,"5.665,00","5.665,00","5.665,00","5.665,00","0,00",35,198.275,198.275
11.06.2019,"5.600,00","5.600,00","5.600,00","5.600,00","-1,15",10,56.0,56.0
13.06.2019,"5.600,00","5.600,00","5.599,00","5.599,57","-0,01",35,195.985,195.985
17.06.2019,"5.600,00","5.600,00","5.600,00","5.600,00","0,01",29,162.4,162.4
18.06.2019,"5.351,00","5.352,00","5.351,00","5.351,56","-4,44",90,481.64,481.64
20.06.2019,"5.350,00","5.350,00","5.350,00","5.350,00","-0,03",21,112.35,112.35
08.07.2019,"5.200,00","5.200,00","5.200,00","5.200,00","-2,80",17,88.4,88.4
31.07.2019,"5.350,00","5.350,00","5.200,00","5.275,00","5,50",20,105.5,105.5
05.08.2019,"5.117,00","5.117,00","5.117,00","5.117,00","-3,00",68,347.956,347.956
13.08.2019,"5.117,00","5.117,00","5.117,00","5.117,00","0,00",5,25.585,25.585
06.09.2019,"5.117,00","5.117,00","5.117,00","5.117,00","0,00",60,307.02,307.02
10.09.2019,"5.150,00","5.150,00","5.150,00","5.150,00","0,64",142,731.3,731.3
11.09.2019,"5.150,00","5.150,00","5.150,00","5.150,00","0,00",150,772.5,772.5
13.09.2019,"5.150,00","5.150,00","5.150,00","5.150,00","0,00",150,772.5,772.5
17.09.2019,"5.200,00","5.200,00","5.200,00","5.200,00","0,97",158,821.6,821.6
19.09.2019,"5.300,00","5.300,00","5.300,00","5.300,00","1,92",50,265.0,265.0
20.09.2019,"5.350,00","5.350,00","5.350,00","5.350,00","0,94",30,160.5,160.5
