Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
29.12.2014,"5.150,00","5.150,00","5.120,00","5.122,50","0,11",60,307.35,307.35
30.12.2014,"5.298,00","5.299,00","5.298,00","5.298,50","3,44",10,52.985,52.985
05.01.2015,"5.400,00","5.400,00","5.299,00","5.349,50","0,96",10,53.495,53.495
08.01.2015,"5.301,00","5.301,00","5.301,00","5.301,00","-0,91",55,291.555,291.555
12.01.2015,"5.350,00","5.350,00","5.350,00","5.350,00","0,92",5,26.75,26.75
15.01.2015,"5.300,00","5.300,00","5.300,00","5.300,00","-0,93",15,79.5,79.5
16.01.2015,"5.350,00","5.350,00","5.300,00","5.316,67","0,31",30,159.5,159.5
22.01.2015,"5.350,00","5.350,00","5.350,00","5.350,00","0,63",94,502.9,502.9
23.01.2015,"5.400,00","5.450,00","5.400,00","5.401,46","0,96",103,556.35,556.35
28.01.2015,"5.400,00","5.400,00","5.350,00","5.388,97","-0,23",68,366.45,366.45
29.01.2015,"5.450,00","5.450,00","5.410,00","5.423,33","0,64",75,406.75,406.75
02.02.2015,"5.450,00","5.450,00","5.450,00","5.450,00","0,49",92,501.4,501.4
04.02.2015,"5.450,00","5.450,00","5.450,00","5.450,00","0,00",50,272.5,272.5
11.02.2015,"5.450,00","5.450,00","5.450,00","5.450,00","0,00",60,327.0,327.0
17.02.2015,"5.400,00","5.400,00","5.400,00","5.400,00","-0,92",55,297.0,297.0
19.02.2015,"5.449,00","5.449,00","5.449,00","5.449,00","0,91",17,92.633,92.633
03.03.2015,"5.399,00","5.399,00","5.399,00","5.399,00","-0,02",1,5.399,5.399
04.03.2015,"5.400,00","5.400,00","5.399,00","5.399,68","0,01",102,550.767,550.767
09.03.2015,"5.250,00","5.250,00","5.250,00","5.250,00","-2,77",62,325.5,325.5
11.03.2015,"5.320,00","5.320,00","5.250,00","5.268,85","0,36",52,273.98,273.98
12.03.2015,"5.250,00","5.350,00","5.250,00","5.300,00","0,59",20,106.0,106.0
16.03.2015,"5.300,00","5.300,00","5.300,00","5.300,00","0,00",22,116.6,116.6
17.03.2015,"5.300,00","5.300,00","5.300,00","5.300,00","0,00",35,185.5,185.5
18.03.2015,"5.390,00","5.390,00","5.350,00","5.373,53","1,39",85,456.75,456.75
19.03.2015,"5.400,00","5.400,00","5.400,00","5.400,00","0,49",33,178.2,178.2
20.03.2015,"5.399,00","5.400,00","5.399,00","5.399,26","-0,01",19,102.586,102.586
24.03.2015,"5.350,00","5.350,00","5.350,00","5.350,00","-0,93",137,732.95,732.95
26.03.2015,"5.449,00","5.449,00","5.449,00","5.449,00","0,92",13,70.837,70.837
27.03.2015,"5.450,00","5.450,00","5.450,00","5.450,00","0,02",22,119.9,119.9
30.03.2015,"5.450,00","5.450,00","5.450,00","5.450,00","0,00",28,152.6,152.6
02.04.2015,"5.400,00","5.450,00","5.400,00","5.435,63","-0,26",87,472.9,472.9
03.04.2015,"5.350,00","5.360,00","5.350,00","5.353,92","-1,50",97,519.33,519.33
08.04.2015,"6.056,00","6.056,00","6.056,00","6.056,00","10,00",1,6.056,6.056
09.04.2015,"6.402,00","6.600,00","6.150,00","6.384,15","5,42",130,829.94,829.94
14.04.2015,"6.300,00","6.400,00","6.300,00","6.363,95","-0,32",86,547.3,547.3
15.04.2015,"6.300,00","6.300,00","6.300,00","6.300,00","-1,00",128,806.4,806.4
20.04.2015,"6.229,00","6.229,00","6.229,00","6.229,00","-0,03",12,74.748,74.748
22.04.2015,"6.050,00","6.199,00","6.050,00","6.153,96","-1,20",142,873.862,873.862
23.04.2015,"6.100,00","6.140,00","6.100,00","6.103,92","-0,81",51,311.3,311.3
27.04.2015,"5.907,00","6.001,00","5.907,00","5.961,65","-2,10",79,470.97,470.97
28.04.2015,"5.901,00","5.901,00","5.901,00","5.901,00","-1,02",60,354.06,354.06
04.05.2015,"6.100,00","6.100,00","6.099,00","6.099,88","2,60",74,451.391,451.391
06.05.2015,"6.000,00","6.099,00","6.000,00","6.054,77","-0,73",31,187.698,187.698
20.05.2015,"5.520,00","5.520,00","5.461,00","5.500,33","-9,35",45,247.515,247.515
01.06.2015,"5.336,00","5.500,00","5.336,00","5.439,26","-1,11",27,146.86,146.86
03.06.2015,"5.400,00","5.400,00","5.400,00","5.400,00","-0,72",8,43.2,43.2
08.06.2015,"5.400,00","5.400,00","5.400,00","5.400,00","0,00",50,270.0,270.0
15.06.2015,"5.300,00","5.301,00","5.300,00","5.300,94","-1,83",18,95.417,95.417
22.06.2015,"5.450,00","5.450,00","5.450,00","5.450,00","2,81",12,65.4,65.4
30.06.2015,"5.500,00","5.500,00","5.500,00","5.500,00","0,92",2,11.0,11.0
03.07.2015,"5.500,00","5.500,00","5.500,00","5.500,00","0,00",10,55.0,55.0
08.07.2015,"5.500,00","5.500,00","5.490,00","5.495,45","-0,08",33,181.35,181.35
09.07.2015,"5.500,00","5.500,00","5.500,00","5.500,00","0,08",117,643.5,643.5
10.07.2015,"5.500,00","5.500,00","5.500,00","5.500,00","0,00",20,110.0,110.0
14.07.2015,"5.500,00","5.500,00","5.500,00","5.500,00","0,00",80,440.0,440.0
15.07.2015,"5.500,00","5.500,00","5.500,00","5.500,00","0,00",20,110.0,110.0
16.07.2015,"5.382,00","5.382,00","5.382,00","5.382,00","-2,15",4,21.528,21.528
21.07.2015,"5.500,00","5.500,00","5.500,00","5.500,00","2,19",23,126.5,126.5
28.07.2015,"5.410,00","5.410,00","5.410,00","5.410,00","-1,64",7,37.87,37.87
29.07.2015,"5.500,00","5.500,00","5.500,00","5.500,00","1,66",143,786.5,786.5
04.08.2015,"5.500,00","5.500,00","5.500,00","5.500,00","0,00",136,748.0,748.0
05.08.2015,"5.500,00","5.665,00","5.500,00","5.529,64","0,54",56,309.66,309.66
14.08.2015,"5.670,00","5.670,00","5.670,00","5.670,00","2,99",10,56.7,56.7
17.08.2015,"5.840,00","5.840,00","5.670,00","5.802,67","2,34",45,261.12,261.12
25.08.2015,"6.000,00","6.000,00","5.976,00","5.977,41","2,74",34,203.232,203.232
01.09.2015,"6.000,00","6.000,00","6.000,00","6.000,00","0,38",40,240.0,240.0
02.09.2015,"6.050,00","6.050,00","6.000,00","6.014,20","0,24",81,487.15,487.15
03.09.2015,"6.082,00","6.082,00","6.082,00","6.082,00","1,13",12,72.984,72.984
04.09.2015,"6.150,00","6.150,00","6.150,00","6.150,00","1,12",34,209.1,209.1
07.09.2015,"6.090,00","6.090,00","6.090,00","6.090,00","-0,98",55,334.95,334.95
09.09.2015,"6.150,00","6.150,00","6.090,00","6.132,69","0,70",156,956.7,956.7
11.09.2015,"6.101,00","6.200,00","6.101,00","6.177,36","0,73",11,67.951,67.951
14.09.2015,"6.200,00","6.200,00","6.200,00","6.200,00","0,37",25,155.0,155.0
17.09.2015,"6.200,00","6.300,00","6.200,00","6.223,08","0,37",13,80.9,80.9
18.09.2015,"6.201,00","6.201,00","6.201,00","6.201,00","-0,35",17,105.417,105.417
21.09.2015,"6.200,00","6.200,00","6.200,00","6.200,00","-0,02",18,111.6,111.6
22.09.2015,"6.300,00","6.300,00","6.300,00","6.300,00","1,61",7,44.1,44.1
23.09.2015,"6.300,00","6.300,00","6.300,00","6.300,00","0,00",23,144.9,144.9
24.09.2015,"6.300,00","6.300,00","6.300,00","6.300,00","0,00",4,25.2,25.2
25.09.2015,"6.500,00","6.500,00","6.350,00","6.368,75","1,09",16,101.9,101.9
28.09.2015,"6.360,00","6.360,00","6.360,00","6.360,00","-0,14",34,216.24,216.24
01.10.2015,"6.360,00","6.360,00","6.360,00","6.360,00","0,00",24,152.64,152.64
02.10.2015,"6.360,00","6.360,00","6.360,00","6.360,00","0,00",6,38.16,38.16
06.10.2015,"6.361,00","6.361,00","6.361,00","6.361,00","0,02",90,572.49,572.49
13.10.2015,"6.360,00","6.365,00","6.360,00","6.360,59","-0,01",17,108.13,108.13
19.10.2015,"6.361,00","6.361,00","6.361,00","6.361,00","0,01",108,686.988,686.988
21.10.2015,"6.500,00","6.500,00","6.500,00","6.500,00","2,19",43,279.5,279.5
27.10.2015,"6.503,00","6.503,00","6.503,00","6.503,00","0,05",10,65.03,65.03
28.10.2015,"6.698,00","6.698,00","6.695,00","6.695,37","2,96",81,542.325,542.325
29.10.2015,"6.700,00","6.700,00","6.700,00","6.700,00","0,07",30,201.0,201.0
30.10.2015,"6.901,00","6.901,00","6.901,00","6.901,00","3,00",57,393.357,393.357
03.11.2015,"7.150,00","7.150,00","7.000,00","7.091,89","1,31",37,262.4,262.4
05.11.2015,"7.100,00","7.100,00","7.100,00","7.100,00","0,00",96,681.6,681.6
06.11.2015,"7.001,00","7.001,00","7.001,00","7.001,00","-1,39",2,14.002,14.002
09.11.2015,"6.950,00","6.950,00","6.950,00","6.950,00","-0,73",76,528.2,528.2
10.11.2015,"6.910,00","6.910,00","6.910,00","6.910,00","-0,58",6,41.46,41.46
11.11.2015,"6.901,00","6.901,00","6.901,00","6.901,00","-0,13",50,345.05,345.05
17.11.2015,"7.050,00","7.050,00","7.050,00","7.050,00","2,16",46,324.3,324.3
18.11.2015,"7.150,00","7.150,00","7.050,00","7.139,74","1,27",78,556.9,556.9
01.12.2015,"7.200,00","7.200,00","7.200,00","7.200,00","0,00",35,252.0,252.0
07.12.2015,"7.277,00","7.278,00","7.277,00","7.277,66","1,08",100,727.766,727.766
14.12.2015,"7.495,00","7.495,00","7.495,00","7.495,00","2,99",50,374.75,0.0
25.12.2015,"7.510,00","7.550,00","7.510,00","7.526,14","-0,25",83,624.67,624.67
28.12.2015,"7.503,00","7.511,00","7.501,00","7.505,72","-0,27",113,848.146,848.146
11.01.2016,"7.503,00","7.503,00","7.503,00","7.503,00","-0,04",2,15.006,15.006
12.01.2016,"7.500,00","7.504,00","7.500,00","7.502,39","-0,01",70,525.167,525.167
