Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
13.01.2015,"945,00","945,00","945,00","945,00","0,00",114,107.73,107.73
08.05.2015,"945,00","945,00","945,00","945,00","0,00",101,95.445,95.445
30.07.2015,"945,00","945,00","945,00","945,00","0,00",143,135.135,135.135
16.11.2015,"945,00","945,00","945,00","945,00","0,00",47,44.415,44.415
19.05.2016,"945,00","945,00","945,00","945,00","16,67",96,90.72,90.72
06.04.2017,"945,00","945,00","945,00","945,00","0,00",205,193.725,193.725
15.08.2017,"945,00","945,00","945,00","945,00","0,00",149,140.805,140.805
29.11.2017,"945,00","945,00","945,00","945,00","0,00",176,166.32,166.32
12.06.2018,"945,00","945,00","945,00","945,00","0,00",79,74.655,74.655
11.04.2019,"945,00","945,00","945,00","945,00","0,00",105,99.225,99.225
25.06.2020,"973,00","973,00","973,00","973,00","2,96",810,788.13,788.13
