Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2014-12-02,"450,00","450,00","450,00","450,00","47,54",180,81.0,81.0
2014-12-04,"409,00","409,00","409,00","409,00","-9,11",100,40.9,40.9
2014-12-05,"410,00","410,00","410,00","410,00","0,24",683,280.03,280.03
2014-12-22,"357,00","357,00","357,00","357,00","-12,93",100,35.7,35.7
2015-01-26,"367,00","367,00","367,00","367,00","2,80",25,9.175,9.175
2015-02-02,"367,00","367,00","367,00","367,00","0,00",575,211.025,211.025
2015-02-03,"367,00","367,00","367,00","367,00","0,00",396,145.332,145.332
2015-02-13,"367,00","367,00","367,00","367,00","0,00",50,18.35,18.35
2015-03-25,"375,00","375,00","375,00","375,00","2,18",5,1.875,1.875
2015-04-14,"310,00","310,00","310,00","310,00","-17,33",100,31.0,31.0
2015-06-25,"250,00","250,00","250,00","250,00","-19,35",576,144.0,144.0
2015-08-18,"265,00","265,00","265,00","265,00","6,00",1.467,388.755,388.755
2015-10-05,"300,00","300,00","300,00","300,00","13,21",100,30.0,30.0
2015-10-22,"300,00","300,00","300,00","300,00","0,00",446,133.8,133.8
2015-10-28,"299,00","299,00","299,00","299,00","-0,33",330,98.67,98.67
2015-10-30,"299,00","299,00","299,00","299,00","0,00",50,14.95,14.95
2015-11-04,"270,00","270,00","270,00","270,00","-9,70",1.167,315.09,315.09
2015-11-05,"290,00","290,00","290,00","290,00","7,41",100,29.0,29.0
2015-11-10,"290,00","290,00","290,00","290,00","0,00",200,58.0,58.0
2015-11-19,"290,00","290,00","290,00","290,00","0,00",54,15.66,15.66
2015-11-25,"345,00","345,00","345,00","345,00","18,97",60,20.7,20.7
2015-12-24,"345,00","345,00","345,00","345,00","0,00",10,3.45,3.45
2016-01-05,"345,00","345,00","345,00","345,00","0,00",50,17.25,17.25
2016-03-04,"311,00","311,00","311,00","311,00","-9,86",50,15.55,15.55
2016-03-09,"340,00","340,00","340,00","340,00","9,32",90,30.6,30.6
2016-03-11,"339,00","339,00","339,00","339,00","-0,29",41,13.899,13.899
2016-03-15,"338,00","338,00","338,00","338,00","-0,29",30,10.14,10.14
2016-03-22,"335,00","335,00","335,00","335,00","-0,89",30,10.05,10.05
2016-03-31,"325,00","325,00","325,00","325,00","-2,99",1.115,362.375,362.375
2016-04-01,"300,00","300,00","300,00","300,00","-7,69",1.150,345.0,345.0
2016-04-05,"300,00","300,00","300,00","300,00","0,00",750,225.0,225.0
2016-05-03,"299,00","299,00","299,00","299,00","-0,33",500,149.5,149.5
2016-05-05,"300,00","300,00","300,00","300,00","0,33",70,21.0,21.0
2016-05-18,"299,00","299,00","299,00","299,00","-0,33",200,59.8,59.8
2016-05-23,"300,00","300,00","300,00","300,00","0,33",1.157,347.1,347.1
2016-05-31,"301,00","301,00","301,00","301,00","0,33",110,33.11,33.11
2016-06-01,"300,00","300,00","300,00","300,00","-0,33",350,105.0,105.0
2016-06-03,"300,00","300,00","300,00","300,00","0,00",100,30.0,30.0
2016-06-23,"300,00","300,00","280,00","297,78","-0,74",180,53.6,53.6
2016-08-05,"310,00","310,00","306,00","306,80","3,03",500,153.4,153.4
2016-08-08,"310,00","310,00","310,00","310,00","1,04",80,24.8,24.8
2016-08-10,"329,00","329,00","329,00","329,00","6,13",100,32.9,32.9
2016-08-15,"330,00","330,00","329,00","329,49","0,15",226,74.464,74.464
2016-08-23,"320,00","320,00","320,00","320,00","-2,88",20,6.4,6.4
2016-08-25,"350,00","350,00","350,00","350,00","9,38",35,12.25,12.25
2016-09-01,"385,00","385,00","385,00","385,00","10,00",20,7.7,7.7
2016-09-06,"385,00","385,00","385,00","385,00","0,00",25,9.625,9.625
2016-10-05,"385,00","385,00","385,00","385,00","0,00",1.258,484.33,484.33
2016-10-06,"400,00","400,00","400,00","400,00","3,90",196,78.4,78.4
2016-10-19,"412,00","412,00","412,00","412,00","3,00",356,146.672,146.672
2016-10-21,"453,00","453,00","453,00","453,00","9,95",1.500,679.5,679.5
2016-10-26,"466,00","466,00","466,00","466,00","2,87",5,2.33,2.33
2016-10-31,"481,00","481,00","481,00","481,00","3,22",160,76.96,76.96
2016-11-01,"495,00","495,00","495,00","495,00","2,91",199,98.505,98.505
2016-11-02,"500,00","500,00","500,00","500,00","1,01",200,100.0,100.0
2016-11-09,"500,00","500,00","500,00","500,00","0,00",200,100.0,100.0
2016-11-14,"550,00","550,00","550,00","550,00","10,00",100,55.0,55.0
2016-11-15,"550,00","550,00","550,00","550,00","0,00",90,49.5,49.5
2016-11-18,"600,00","600,00","600,00","600,00","9,09",100,60.0,60.0
2016-12-14,"550,00","550,00","550,00","550,00","-8,33",40,22.0,0.0
2016-12-15,"550,00","550,00","550,00","550,00","0,00",672,369.6,369.6
2016-12-26,"605,00","605,00","605,00","605,00","0,00",1.599,967.395,967.395
2016-12-29,"665,00","665,00","665,00","665,00","9,92",50,33.25,33.25
2017-01-03,"731,00","731,00","731,00","731,00","9,92",40,29.24,29.24
2017-02-15,"731,00","731,00","731,00","731,00","0,00",40,29.24,29.24
2017-02-16,"750,00","750,00","750,00","750,00","2,60",60,45.0,45.0
2017-02-17,"728,00","728,00","728,00","728,00","-2,93",30,21.84,21.84
2017-02-24,"707,00","707,00","707,00","707,00","-2,88",20,14.14,14.14
2017-02-28,"707,00","707,00","707,00","707,00","0,00",30,21.21,21.21
2017-03-01,"686,00","686,00","686,00","686,00","-2,97",490,336.14,336.14
2017-03-06,"730,00","730,00","630,00","692,50","0,95",40,27.7,27.7
2017-03-07,"730,00","730,00","730,00","730,00","5,42",155,113.15,113.15
2017-03-13,"657,00","657,00","657,00","657,00","-10,00",15,9.855,9.855
2017-03-23,"639,00","639,00","639,00","639,00","-2,74",5,3.195,3.195
2017-03-27,"700,00","700,00","700,00","700,00","9,55",5,3.5,3.5
2017-03-29,"639,00","639,00","639,00","639,00","-8,71",127,81.153,81.153
2017-04-04,"640,00","640,00","640,00","640,00","0,16",1.000,640.0,640.0
2017-04-07,"601,00","601,00","601,00","601,00","-6,09",10,6.01,6.01
2017-04-19,"640,00","640,00","640,00","640,00","6,49",666,426.24,426.24
2017-04-27,"680,00","680,00","680,00","680,00","0,00",1.288,875.84,875.84
2017-09-07,"659,00","659,00","659,00","659,00","-3,09",100,65.9,65.9
2017-10-27,"550,00","550,00","550,00","550,00","-16,54",500,275.0,275.0
2017-11-02,"550,00","550,00","550,00","550,00","0,00",30,16.5,16.5
2017-11-07,"566,00","566,00","566,00","566,00","2,91",600,339.6,339.6
2017-11-16,"550,00","550,00","550,00","550,00","-2,83",10,5.5,5.5
2017-11-20,"550,00","550,00","550,00","550,00","0,00",350,192.5,192.5
2017-11-21,"540,00","540,00","540,00","540,00","-1,82",120,64.8,64.8
2017-11-24,"534,00","534,00","534,00","534,00","-1,11",200,106.8,106.8
2018-01-04,"518,00","518,00","518,00","518,00","-3,00",350,181.3,181.3
2018-01-29,"490,00","490,00","490,00","490,00","-5,41",110,53.9,53.9
2018-02-14,"490,00","490,00","490,00","490,00","0,00",200,98.0,98.0
2018-03-07,"490,00","490,00","490,00","490,00","0,00",50,24.5,24.5
2018-07-25,"558,00","558,00","558,00","558,00","13,88",105,58.59,58.59
2018-08-16,"558,00","558,00","558,00","558,00","0,00",320,178.56,178.56
2018-08-23,"574,00","574,00","574,00","574,00","2,87",500,287.0,287.0
2018-09-17,"557,00","557,00","557,00","557,00","-2,96",360,200.52,200.52
2018-09-20,"560,00","560,00","560,00","560,00","0,54",500,280.0,280.0
2018-09-24,"560,00","560,00","560,00","560,00","0,00",15,8.4,8.4
2018-11-01,"618,00","618,00","618,00","618,00","10,36",360,222.48,222.48
2018-11-28,"700,00","700,00","700,00","700,00","13,27",270,189.0,189.0
2018-11-29,"700,00","700,00","700,00","700,00","0,00",80,56.0,56.0
2018-12-18,"660,00","660,00","660,00","660,00","-5,71",400,264.0,264.0
2018-12-26,"660,00","660,00","660,00","660,00","0,00",50,33.0,33.0
2019-02-14,"660,00","660,00","660,00","660,00","0,00",1.000,660.0,660.0
2019-03-04,"691,00","691,00","691,00","691,00","4,70",380,262.58,262.58
2019-03-22,"691,00","691,00","691,00","691,00","0,00",100,69.1,69.1
2019-04-17,"648,00","648,00","648,00","648,00","-6,22",150,97.2,97.2
2019-04-19,"648,00","648,00","648,00","648,00","0,00",20,12.96,12.96
2019-05-29,"700,00","700,00","700,00","700,00","8,02",885,619.5,619.5
2019-06-21,"679,00","679,00","679,00","679,00","-3,00",400,271.6,271.6
2019-08-08,"620,00","620,00","620,00","620,00","-8,69",1.504,932.48,932.48
2019-08-14,"620,00","620,00","620,00","620,00","0,00",100,62.0,62.0
2019-09-03,"679,00","679,00","679,00","679,00","2,88",115,78.085,78.085
2019-09-19,"660,00","660,00","660,00","660,00","-2,80",300,198.0,198.0
2020-06-29,"600,00","600,00","600,00","600,00","-9,09",300,180.0,180.0
2020-06-30,"618,00","618,00","618,00","618,00","3,00",1.000,618.0,618.0
2020-07-02,"618,00","618,00","618,00","618,00","0,00",150,92.7,92.7
2020-07-06,"618,00","618,00","618,00","618,00","0,00",100,61.8,61.8
2020-07-30,"618,00","618,00","618,00","618,00","0,00",200,123.6,123.6
2020-11-12,"666,00","666,00","666,00","666,00","7,77",15,9.99,9.99
2020-11-13,"700,00","700,00","700,00","700,00","5,11",185,129.5,129.5
2020-11-16,"700,00","700,00","700,00","700,00","0,00",300,210.0,210.0
2020-11-18,"700,00","700,00","700,00","700,00","0,00",340,238.0,238.0
2020-11-23,"699,00","699,00","699,00","699,00","-0,14",200,139.8,139.8
2020-11-24,"700,00","700,00","700,00","700,00","0,14",360,252.0,252.0
2020-11-26,"700,00","700,00","700,00","700,00","0,00",70,49.0,49.0
2020-12-14,"679,00","679,00","679,00","679,00","-3,00",25,16.975,16.975
2021-01-05,"679,00","679,00","679,00","679,00","0,00",22,14.938,14.938
2021-01-18,"690,00","690,00","690,00","690,00","1,62",40,27.6,27.6
2021-01-20,"690,00","690,00","690,00","690,00","0,00",129,89.01,89.01
2021-01-21,"690,00","690,00","690,00","690,00","0,00",129,89.01,89.01
2021-02-16,"701,00","701,00","701,00","701,00","1,59",50,35.05,35.05
2021-02-23,"731,00","731,00","731,00","731,00","4,28",168,122.808,122.808
2021-03-01,"750,00","750,00","750,00","750,00","2,60",170,127.5,127.5
2021-03-12,"750,00","750,00","750,00","750,00","0,00",50,37.5,37.5
2021-03-25,"750,00","750,00","750,00","750,00","0,00",450,337.5,337.5
2021-04-23,"750,00","750,00","750,00","750,00","0,00",50,37.5,37.5
2021-04-28,"750,00","750,00","750,00","750,00","0,00",120,90.0,90.0
2021-05-05,"750,00","750,00","750,00","750,00","0,00",50,37.5,37.5
2021-05-14,"633,00","633,00","633,00","633,00","-15,60",100,63.3,63.3
2021-06-30,"661,00","661,00","661,00","661,00","4,42",50,33.05,33.05
2021-07-27,"652,00","652,00","652,00","652,00","-1,36",50,32.6,32.6
2021-09-21,"681,00","681,00","681,00","681,00","4,45",50,34.05,34.05
2021-09-27,"700,00","700,00","700,00","700,00","2,79",61,42.7,42.7
2021-10-22,"700,00","700,00","700,00","700,00","0,00",30,21.0,21.0
2021-10-27,"700,00","700,00","700,00","700,00","0,00",61,42.7,42.7
2021-11-17,"700,00","700,00","700,00","700,00","0,00",50,35.0,35.0
2022-01-13,"704,00","704,00","704,00","704,00","0,57",25,17.6,17.6
2022-01-17,"711,00","711,00","711,00","711,00","0,99",30,21.33,21.33
2022-02-21,"732,00","732,00","732,00","732,00","2,95",30,21.96,21.96
2022-02-24,"750,00","750,00","750,00","750,00","2,46",120,90.0,90.0
2022-03-07,"750,00","750,00","750,00","750,00","0,00",100,75.0,75.0
2022-03-16,"751,00","751,00","751,00","751,00","0,13",1.100,826.1,826.1
2022-03-18,"760,00","760,00","760,00","760,00","1,20",550,418.0,418.0
2022-05-12,"782,00","782,00","782,00","782,00","2,89",10,7.82,7.82
2022-05-31,"805,00","805,00","805,00","805,00","2,94",50,40.25,40.25
2022-07-22,"815,00","815,00","815,00","815,00","1,24",10,8.15,8.15
2022-11-23,"815,00","815,00","815,00","815,00","0,00",200,163.0,163.0
2022-12-16,"816,00","816,00","816,00","816,00","0,12",400,326.4,326.4
2022-12-23,"840,00","840,00","840,00","840,00","2,94",120,100.8,100.8
2023-01-20,"840,00","840,00","840,00","840,00","0,00",95,79.8,79.8
2023-02-14,"722,00","722,00","722,00","722,00","-14,05",505,364.61,364.61
2023-07-06,"850,00","850,00","850,00","850,00","17,73",100,85.0,85.0
2023-07-11,"865,00","865,00","865,00","865,00","1,76",70,60.55,60.55
2023-10-05,"1.000,00","1.000,00","1.000,00","1.000,00","15,61",100,100.0,100.0
2023-11-09,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",200,200.0,200.0
2023-11-13,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",260,260.0,260.0
2023-11-29,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",600,600.0,600.0
2023-12-19,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",100,100.0,100.0
2024-01-31,"1.200,00","1.200,00","1.200,00","1.200,00","20,00",295,354.0,354.0
2024-02-05,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",153,183.6,183.6
2024-05-14,"1.697,00","1.697,00","1.697,00","1.697,00","41,42",50,84.85,84.85
2024-05-17,"1.688,00","1.688,00","1.688,00","1.688,00","-0,53",76,128.288,128.288
2024-05-29,"1.690,00","1.690,00","1.690,00","1.690,00","0,12",50,84.5,84.5
2024-06-27,"1.600,00","1.600,00","1.600,00","1.600,00","-5,33",200,320.0,320.0
2024-07-10,"1.500,00","1.500,00","1.500,00","1.500,00","-6,25",600,900.0,900.0
2024-07-12,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",368,552.0,552.0
2024-07-29,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",600,900.0,900.0
2024-07-30,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",240,360.0,360.0
2024-08-07,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",200,300.0,300.0
2024-08-13,"1.505,00","1.505,00","1.505,00","1.505,00","0,33",100,150.5,150.5
2024-08-14,"1.649,00","1.649,00","1.649,00","1.649,00","9,57",15,24.735,24.735
2024-08-23,"1.610,00","1.610,00","1.610,00","1.610,00","-2,37",83,133.63,133.63
2024-08-26,"1.600,00","1.600,00","1.600,00","1.600,00","-0,62",150,240.0,240.0
2024-09-13,"1.646,00","1.646,00","1.646,00","1.646,00","2,88",120,197.52,197.52
2024-09-17,"1.646,00","1.646,00","1.646,00","1.646,00","0,00",265,436.19,436.19
2024-09-18,"1.646,00","1.646,00","1.646,00","1.646,00","0,00",10,16.46,16.46
2024-09-19,"1.700,00","1.700,00","1.700,00","1.700,00","3,28",200,340.0,340.0
2024-09-20,"1.770,00","1.770,00","1.770,00","1.770,00","4,12",135,238.95,238.95
2024-09-23,"1.800,00","1.800,00","1.800,00","1.800,00","1,69",94,169.2,169.2
2024-09-24,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",16,28.8,28.8
2024-10-02,"1.800,00","1.800,00","1.800,00","1.800,00","0,00",100,180.0,180.0
2024-10-09,"1.750,00","1.750,00","1.750,00","1.750,00","-2,78",16,28.0,28.0
2024-10-10,"1.700,00","1.700,00","1.700,00","1.700,00","-2,86",200,340.0,340.0
2024-10-18,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",2,3.4,3.4
2024-10-21,"1.650,00","1.650,00","1.650,00","1.650,00","-2,94",208,343.2,343.2
