Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
20.11.2014,"5.000,00","5.000,00","5.000,00","5.000,00","0,00",132,660.0,660.0
24.11.2014,"4.910,00","4.999,00","4.910,00","4.984,17","-0,82",12,59.81,59.81
25.11.2014,"4.950,00","4.962,00","4.950,00","4.950,24","-0,68",101,499.974,499.974
26.11.2014,"4.950,00","4.951,00","4.950,00","4.950,88","0,01",17,84.165,84.165
01.12.2014,"5.140,00","5.210,00","5.138,00","5.200,80","1,30",163,847.73,847.73
02.12.2014,"5.050,00","5.200,00","5.050,00","5.157,34","-0,84",148,763.286,763.286
04.12.2014,"5.150,00","5.150,00","5.050,00","5.097,37","-1,16",19,96.85,96.85
05.12.2014,"5.051,00","5.051,00","5.051,00","5.051,00","-0,91",55,277.805,277.805
09.12.2014,"5.001,00","5.001,00","5.001,00","5.001,00","-0,99",10,50.01,50.01
11.12.2014,"5.000,00","5.000,00","5.000,00","5.000,00","0,00",48,240.0,240.0
15.12.2014,"5.000,00","5.000,00","5.000,00","5.000,00","-0,96",103,515.0,515.0
16.12.2014,"5.002,00","5.002,00","5.001,00","5.001,74","0,03",38,190.066,190.066
22.12.2014,"5.000,00","5.030,00","5.000,00","5.022,78","0,36",45,226.025,226.025
26.12.2014,"5.050,00","5.050,00","5.050,00","5.050,00","0,42",6,30.3,30.3
30.12.2014,"5.100,00","5.100,00","5.070,00","5.087,79","0,75",68,345.97,345.97
02.01.2015,"5.100,00","5.100,00","5.100,00","5.100,00","0,24",40,204.0,204.0
05.01.2015,"5.050,00","5.050,00","5.050,00","5.050,00","-0,98",14,70.7,70.7
12.01.2015,"5.100,00","5.100,00","5.050,00","5.082,47","0,97",77,391.35,391.35
14.01.2015,"5.050,00","5.100,00","5.050,00","5.095,88","0,55",167,851.012,851.012
15.01.2015,"5.099,00","5.099,00","5.090,00","5.093,46","-0,05",13,66.215,66.215
20.01.2015,"5.051,00","5.051,00","5.050,00","5.050,15","-0,06",66,333.31,333.31
22.01.2015,"5.070,00","5.097,00","5.050,00","5.057,67","-0,32",114,576.574,576.574
26.01.2015,"5.100,00","5.100,00","5.100,00","5.100,00","0,45",191,974.1,974.1
27.01.2015,"5.080,00","5.080,00","5.080,00","5.080,00","-0,39",8,40.64,40.64
28.01.2015,"5.120,00","5.149,00","5.100,00","5.105,93","0,51",123,628.03,628.03
30.01.2015,"5.150,00","5.150,00","5.140,00","5.146,95","0,05",101,519.842,519.842
03.02.2015,"5.102,00","5.105,00","5.101,00","5.101,31","-0,78",183,933.54,933.54
04.02.2015,"5.148,00","5.148,00","5.102,00","5.126,21","0,49",19,97.398,97.398
05.02.2015,"5.102,00","5.120,00","5.102,00","5.106,96","-0,38",68,347.273,347.273
06.02.2015,"5.148,00","5.148,00","5.102,00","5.143,82","0,72",22,113.164,113.164
09.02.2015,"5.150,00","5.150,00","5.120,00","5.127,63","-0,31",126,646.082,646.082
10.02.2015,"5.150,00","5.150,00","5.121,00","5.148,01","0,40",73,375.805,375.805
18.02.2015,"5.280,00","5.300,00","5.253,00","5.280,21","-0,26",117,617.784,617.784
23.02.2015,"5.700,00","5.700,00","5.700,00","5.700,00","4,04",2,11.4,11.4
24.02.2015,"5.500,00","5.700,00","5.499,00","5.501,88","-3,48",178,979.335,979.335
05.03.2015,"5.350,00","5.400,00","5.350,00","5.378,41","-0,41",44,236.65,236.65
09.03.2015,"5.375,00","5.375,00","5.360,00","5.371,82","-0,15",137,735.94,735.94
11.03.2015,"5.360,00","5.360,00","5.350,00","5.359,73","0,00",74,396.62,396.62
16.03.2015,"5.250,00","5.300,00","5.250,00","5.275,42","-0,97",120,633.05,633.05
23.03.2015,"5.100,00","5.100,00","5.098,00","5.099,91","0,00",70,356.994,356.994
25.03.2015,"5.050,00","5.050,00","5.012,00","5.045,66","0,80",180,908.218,908.218
27.03.2015,"5.051,00","5.053,00","5.051,00","5.051,90","-0,90",20,101.038,101.038
30.03.2015,"5.100,00","5.100,00","5.100,00","5.100,00","0,95",35,178.5,178.5
01.04.2015,"5.065,00","5.066,00","5.065,00","5.065,35","-0,34",31,157.026,157.026
02.04.2015,"5.100,00","5.100,00","5.075,00","5.088,16","0,45",19,96.675,96.675
06.04.2015,"5.150,00","5.150,00","5.100,00","5.140,00","0,78",55,282.7,282.7
08.04.2015,"5.150,00","5.150,00","5.110,00","5.148,88","0,70",143,736.29,736.29
14.04.2015,"5.150,00","5.150,00","5.130,00","5.133,93","-0,29",56,287.5,287.5
17.04.2015,"5.156,00","5.200,00","5.156,00","5.192,35","0,07",23,119.424,119.424
20.04.2015,"5.200,00","5.200,00","5.199,00","5.199,95","0,15",62,322.397,322.397
22.04.2015,"4.950,00","5.057,00","4.950,00","4.983,37","-3,84",43,214.285,214.285
23.04.2015,"4.850,00","4.851,00","4.850,00","4.850,22","-2,67",186,902.14,902.14
24.04.2015,"4.851,00","4.851,00","4.851,00","4.851,00","0,02",4,19.404,19.404
27.04.2015,"4.870,00","4.900,00","4.870,00","4.898,33","0,98",18,88.17,88.17
28.04.2015,"4.950,00","4.950,00","4.950,00","4.950,00","1,05",50,247.5,247.5
29.04.2015,"4.950,00","4.950,00","4.950,00","4.950,00","0,00",82,405.9,405.9
30.04.2015,"4.950,00","4.950,00","4.950,00","4.950,00","0,00",76,376.2,376.2
04.05.2015,"4.950,00","4.950,00","4.950,00","4.950,00","0,00",1,4.95,4.95
05.05.2015,"5.000,00","5.000,00","4.950,00","4.996,14","0,93",72,359.722,359.722
06.05.2015,"5.000,00","5.000,00","5.000,00","5.000,00","0,08",86,430.0,430.0
07.05.2015,"4.901,00","4.950,00","4.901,00","4.931,62","-1,37",128,631.248,631.248
08.05.2015,"4.902,00","4.902,00","4.902,00","4.902,00","-0,60",27,132.354,132.354
11.05.2015,"4.851,00","4.906,00","4.851,00","4.891,78","-0,21",144,704.416,704.416
13.05.2015,"4.900,00","4.900,00","4.890,00","4.899,63","0,47",54,264.58,264.58
14.05.2015,"4.850,00","4.850,00","4.850,00","4.850,00","-1,01",1,4.85,4.85
15.05.2015,"4.999,00","4.999,00","4.880,00","4.918,88","1,42",120,590.265,590.265
18.05.2015,"4.950,00","5.000,00","4.950,00","4.970,36","1,05",84,417.51,417.51
21.05.2015,"4.875,00","4.900,00","4.854,00","4.886,09","0,74",161,786.66,786.66
22.05.2015,"4.949,00","4.949,00","4.851,00","4.892,94","0,14",97,474.615,474.615
26.05.2015,"4.889,00","4.900,00","4.851,00","4.858,06","-0,71",54,262.335,262.335
27.05.2015,"4.861,00","4.900,00","4.861,00","4.883,19","0,52",135,659.23,659.23
28.05.2015,"4.899,00","4.899,00","4.861,00","4.877,96","-0,11",23,112.193,112.193
02.06.2015,"4.850,00","4.850,00","4.849,00","4.849,99","-0,21",170,824.498,824.498
10.06.2015,"4.939,00","4.939,00","4.910,00","4.922,17","-0,19",12,59.066,59.066
11.06.2015,"4.908,00","4.908,00","4.908,00","4.908,00","-0,29",17,83.436,83.436
15.06.2015,"4.901,00","4.930,00","4.900,00","4.901,82","-0,42",40,196.073,196.073
16.06.2015,"4.900,00","4.900,00","4.900,00","4.900,00","-0,04",43,210.7,210.7
17.06.2015,"4.850,00","4.852,00","4.850,00","4.850,50","-1,01",80,388.04,388.04
18.06.2015,"4.811,00","4.820,00","4.811,00","4.816,23","-0,71",43,207.098,207.098
19.06.2015,"4.800,00","4.830,00","4.800,00","4.806,55","-0,20",143,687.336,687.336
22.06.2015,"4.710,00","4.798,00","4.710,00","4.778,57","-0,58",14,66.9,66.9
26.06.2015,"4.800,00","4.800,00","4.771,00","4.786,82","-0,24",140,670.155,670.155
29.06.2015,"4.770,00","4.800,00","4.750,00","4.779,92","-0,14",130,621.39,621.39
30.06.2015,"4.780,00","4.800,00","4.750,00","4.794,09","0,30",195,934.847,934.847
02.07.2015,"4.715,00","4.760,00","4.715,00","4.759,61","-0,03",116,552.115,552.115
03.07.2015,"4.702,00","4.703,00","4.702,00","4.702,93","-1,19",55,258.661,258.661
06.07.2015,"4.700,00","4.759,00","4.700,00","4.706,10","0,07",123,578.85,578.85
09.07.2015,"4.750,00","4.780,00","4.730,00","4.746,36","0,52",184,873.33,873.33
10.07.2015,"4.779,00","4.779,00","4.750,00","4.765,03","0,39",91,433.618,433.618
14.07.2015,"4.760,00","4.780,00","4.740,00","4.758,41","0,47",94,447.291,447.291
16.07.2015,"4.810,00","4.845,00","4.810,00","4.822,27","0,49",77,371.315,371.315
21.07.2015,"4.898,00","4.898,00","4.818,00","4.825,81","-0,47",149,719.046,719.046
22.07.2015,"4.821,00","4.821,00","4.820,00","4.820,75","-0,10",60,289.245,289.245
23.07.2015,"4.850,00","4.890,00","4.821,00","4.843,94","0,48",50,242.197,242.197
24.07.2015,"4.820,00","4.820,00","4.820,00","4.820,00","-0,49",20,96.4,96.4
27.07.2015,"4.820,00","4.820,00","4.801,00","4.804,28","-0,33",29,139.324,139.324
29.07.2015,"4.850,00","4.850,00","4.850,00","4.850,00","0,01",48,232.8,232.8
30.07.2015,"4.851,00","4.899,00","4.851,00","4.877,31","0,56",134,653.56,653.56
04.08.2015,"4.860,00","4.860,00","4.855,00","4.856,19","-0,43",63,305.94,305.94
05.08.2015,"4.880,00","4.900,00","4.872,00","4.879,32","0,48",96,468.415,468.415
06.08.2015,"4.900,00","4.900,00","4.866,00","4.874,08","-0,11",105,511.778,511.778
10.08.2015,"4.855,00","4.890,00","4.855,00","4.863,75","-0,56",8,38.91,38.91
11.08.2015,"4.860,00","4.860,00","4.860,00","4.860,00","-0,08",3,14.58,14.58
12.08.2015,"4.880,00","4.881,00","4.880,00","4.880,53","0,42",113,551.5,551.5
13.08.2015,"4.880,00","4.890,00","4.863,00","4.883,62","0,06",140,683.707,683.707
14.08.2015,"4.880,00","4.889,00","4.880,00","4.884,14","0,01",37,180.713,180.713
18.08.2015,"4.901,00","4.940,00","4.887,00","4.899,85","0,39",61,298.891,298.891
20.08.2015,"4.952,00","4.952,00","4.949,00","4.949,68","0,19",75,371.226,371.226
21.08.2015,"4.962,00","4.970,00","4.960,00","4.965,64","0,32",153,759.743,759.743
02.09.2015,"4.860,00","4.900,00","4.860,00","4.889,71","-0,21",138,674.78,674.78
04.09.2015,"4.900,00","4.900,00","4.900,00","4.900,00","0,60",133,651.7,651.7
07.09.2015,"4.900,00","4.901,00","4.900,00","4.900,57","0,01",175,857.6,857.6
09.09.2015,"4.900,00","4.900,00","4.900,00","4.900,00","-0,01",132,646.8,646.8
10.09.2015,"4.902,00","4.902,00","4.900,00","4.900,70","0,01",92,450.864,450.864
11.09.2015,"4.912,00","4.912,00","4.902,00","4.904,13","0,07",191,936.688,936.688
15.09.2015,"4.920,00","4.921,00","4.910,00","4.914,76","-0,63",170,835.509,835.509
16.09.2015,"4.920,00","4.920,00","4.920,00","4.920,00","0,11",74,364.08,364.08
17.09.2015,"4.950,00","4.950,00","4.930,00","4.944,22","0,49",77,380.705,380.705
18.09.2015,"4.940,00","4.950,00","4.931,00","4.945,71","0,03",115,568.757,568.757
21.09.2015,"4.940,00","4.951,00","4.940,00","4.947,40","0,03",124,613.477,613.477
22.09.2015,"4.980,00","4.980,00","4.950,00","4.958,23","0,22",95,471.032,471.032
23.09.2015,"4.960,00","4.960,00","4.952,00","4.959,33","0,02",60,297.56,297.56
