Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
31.10.2016,"18.510,00","18.510,00","18.510,00","18.510,00","54,25",50,925.5,925.5
28.11.2016,"18.510,00","18.510,00","18.510,00","18.510,00","0,00",11,203.61,203.61
22.12.2016,"18.510,00","18.510,00","18.510,00","18.510,00","0,00",13,240.63,240.63
22.05.2017,"18.510,00","18.510,00","18.510,00","18.510,00","0,00",45,832.95,832.95
25.04.2018,"18.510,00","18.510,00","18.510,00","18.510,00","0,00",37,684.87,684.87
05.07.2018,"18.510,00","18.510,00","18.510,00","18.510,00","0,00",14,259.14,259.14
29.08.2018,"18.510,00","18.510,00","18.510,00","18.510,00","0,00",14,259.14,259.14
27.09.2019,"18.510,00","18.510,00","18.510,00","18.510,00","0,00",15,277.65,277.65
03.10.2022,"18.510,00","18.510,00","18.510,00","18.510,00","0,00",15,277.65,277.65
19.07.2024,"18.510,00","18.510,00","18.510,00","18.510,00","0,00",33,610.83,610.83
