Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2014-12-29,"750,00","750,00","750,00","750,00","0,00",1.100,825.0,825.0
2015-05-07,"750,00","750,00","750,00","750,00","0,00",110,82.5,82.5
2015-10-22,"750,00","750,00","750,00","750,00","0,00",125,93.75,93.75
2018-07-17,"750,00","750,00","750,00","750,00","0,00",11,8.25,8.25
2019-03-04,"750,00","750,00","750,00","750,00","0,00",20,15.0,15.0
2023-05-12,"750,00","750,00","750,00","750,00","0,00",566,424.5,424.5
2023-11-10,"750,00","750,00","750,00","750,00","0,00",9,6.75,6.75
2023-12-11,"750,00","750,00","750,00","750,00","0,00",409,306.75,306.75
2023-12-20,"750,00","750,00","750,00","750,00","0,00",10,7.5,7.5
2024-08-16,"750,00","750,00","750,00","750,00","0,00",94,70.5,70.5
