Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
24.11.2014,"307,00","307,00","307,00","307,00","0,00",24,7.368,7.368
26.11.2014,"307,00","307,00","307,00","307,00","0,00",23,7.061,7.061
24.12.2014,"307,00","307,00","307,00","307,00","0,00",18,5.526,5.526
06.02.2015,"307,00","307,00","307,00","307,00","0,00",22,6.754,6.754
07.07.2015,"307,00","307,00","307,00","307,00","0,00",21,6.447,6.447
31.05.2016,"615,00","615,00","615,00","615,00","100,33",17,10.455,10.455
07.09.2017,"615,00","615,00","615,00","615,00","0,00",38,23.37,23.37
25.07.2018,"615,00","615,00","615,00","615,00","0,00",24,14.76,14.76
26.05.2021,"615,00","615,00","615,00","615,00","0,00",20,12.3,12.3
22.02.2023,"923,00","923,00","923,00","923,00","50,08",20,18.46,18.46
30.03.2023,"923,00","923,00","923,00","923,00","0,00",14,12.922,12.922
03.11.2023,"923,00","923,00","923,00","923,00","0,00",46,42.458,42.458
13.03.2024,"923,00","923,00","923,00","923,00","0,00",30,27.69,27.69
21.03.2024,"923,00","923,00","923,00","923,00","0,00",18,16.614,16.614
