Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
24.11.2014,"1.300,00","1.300,00","1.300,00","1.300,00","0,00",100,130.0,130.0
20.02.2015,"1.300,00","1.300,00","1.300,00","1.300,00","0,00",30,39.0,39.0
27.04.2015,"1.300,00","1.300,00","1.300,00","1.300,00","0,00",10,13.0,13.0
30.04.2015,"1.300,00","1.300,00","1.300,00","1.300,00","0,00",65,84.5,84.5
27.07.2015,"1.147,00","1.147,00","1.147,00","1.147,00","-11,77",50,57.35,57.35
24.09.2015,"1.150,00","1.150,00","1.150,00","1.150,00","0,26",201,231.15,231.15
02.10.2015,"1.499,00","1.499,00","1.499,00","1.499,00","30,35",5,7.495,7.495
18.02.2016,"1.499,00","1.499,00","1.499,00","1.499,00","0,00",500,749.5,749.5
02.06.2016,"1.300,00","1.300,00","1.300,00","1.300,00","-13,28",50,65.0,65.0
05.09.2016,"1.205,00","1.205,00","1.205,00","1.205,00","-7,31",60,72.3,72.3
06.09.2016,"1.200,00","1.200,00","1.200,00","1.200,00","-0,41",127,152.4,152.4
20.10.2016,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",31,37.2,37.2
14.11.2016,"1.330,00","1.330,00","1.330,00","1.330,00","10,83",50,66.5,66.5
15.11.2016,"1.201,00","1.201,00","1.201,00","1.201,00","-9,70",150,180.15,180.15
16.11.2016,"1.330,00","1.330,00","1.330,00","1.330,00","10,74",270,359.1,359.1
17.11.2016,"1.500,00","1.500,00","1.500,00","1.500,00","12,78",25,37.5,37.5
18.11.2016,"1.650,00","1.650,00","1.650,00","1.650,00","10,00",50,82.5,82.5
01.12.2016,"1.650,00","1.650,00","1.650,00","1.650,00","0,00",117,193.05,193.05
02.12.2016,"1.330,00","1.330,00","1.330,00","1.330,00","-19,39",292,388.36,388.36
22.12.2016,"1.463,00","1.463,00","1.463,00","1.463,00","10,00",22,32.186,32.186
02.02.2017,"1.507,00","1.507,00","1.507,00","1.507,00","3,01",50,75.35,75.35
27.04.2017,"1.650,00","1.650,00","1.650,00","1.650,00","9,49",55,90.75,90.75
05.07.2017,"1.650,00","1.650,00","1.650,00","1.650,00","0,00",50,82.5,82.5
