Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2016-02-03,"550,00","550,00","550,00","550,00","0,00",155,85.25,85.25
2016-02-16,"550,00","550,00","550,00","550,00","0,00",417,229.35,229.35
2016-07-04,"550,00","550,00","550,00","550,00","0,00",174,95.7,95.7
2017-06-29,"550,00","550,00","550,00","550,00","0,00",70,38.5,38.5
2017-08-07,"550,00","550,00","550,00","550,00","0,00",192,105.6,105.6
2018-01-17,"550,00","550,00","550,00","550,00","0,00",197,108.35,108.35
2018-03-23,"621,00","621,00","621,00","621,00","12,91",164,101.844,101.844
2018-06-26,"603,00","603,00","603,00","603,00","-2,90",147,88.641,88.641
2019-04-05,"603,00","603,00","603,00","603,00","0,00",280,168.84,168.84
2019-11-12,"603,00","603,00","603,00","603,00","0,00",79,47.637,47.637
2021-04-09,"603,00","603,00","603,00","603,00","0,00",201,121.203,121.203
2021-09-22,"603,00","603,00","603,00","603,00","0,00",67,40.401,40.401
2023-09-05,"603,00","603,00","603,00","603,00","0,00",225,135.675,135.675
2023-09-06,"603,00","603,00","603,00","603,00","0,00",100,60.3,60.3
2023-12-20,"603,00","603,00","603,00","603,00","0,00",180,108.54,108.54
