Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2014-12-19,"360,00","360,00","360,00","360,00","-2,17",10,3.6,3.6
2015-02-17,"370,00","370,00","370,00","370,00","2,78",80,29.6,29.6
2015-03-05,"360,00","360,00","360,00","360,00","-2,70",100,36.0,36.0
2015-03-23,"350,00","350,00","350,00","350,00","-2,78",1.100,385.0,385.0
2017-06-14,"350,00","350,00","350,00","350,00","-2,78",900,315.0,315.0
2018-11-29,"320,00","320,00","320,00","320,00","-8,57",500,160.0,160.0
2018-12-13,"285,00","285,00","285,00","285,00","-10,94",510,145.35,145.35
2019-01-21,"270,00","270,00","270,00","270,00","-5,26",300,81.0,81.0
2019-03-19,"240,00","240,00","240,00","240,00","-11,11",200,48.0,48.0
2019-04-18,"220,00","220,00","220,00","220,00","-8,33",500,110.0,110.0
2019-05-17,"214,00","214,00","214,00","214,00","-2,73",551,117.914,117.914
2019-06-17,"208,00","208,00","208,00","208,00","-2,80",700,145.6,145.6
2019-06-27,"202,00","202,00","202,00","202,00","-2,88",1.000,202.0,202.0
2019-10-18,"196,00","196,00","196,00","196,00","-2,97",390,76.44,76.44
2019-11-12,"191,00","191,00","191,00","191,00","-2,55",380,72.58,72.58
2020-01-29,"188,00","188,00","188,00","188,00","-1,57",1.000,188.0,188.0
2020-03-03,"185,00","185,00","185,00","185,00","-1,60",400,74.0,74.0
2020-03-18,"170,00","170,00","170,00","170,00","-8,11",465,79.05,79.05
2020-03-20,"161,00","161,00","161,00","161,00","-5,29",500,80.5,80.5
2020-03-26,"152,00","152,00","152,00","152,00","-5,59",500,76.0,76.0
2020-09-18,"150,00","150,00","150,00","150,00","-1,32",1.400,210.0,210.0
2021-01-28,"149,00","149,00","149,00","149,00","0,00",3.300,491.7,491.7
2021-04-12,"146,00","146,00","146,00","146,00","-0,68",300,43.8,43.8
2021-07-22,"150,00","150,00","150,00","150,00","2,74",100,15.0,15.0
2022-06-09,"152,00","152,00","152,00","152,00","1,33",10,1.52,1.52
2022-06-23,"152,00","152,00","152,00","152,00","0,00",1.910,290.32,290.32
2022-08-08,"152,00","152,00","152,00","152,00","0,00",1.232,187.264,187.264
2022-11-10,"156,00","156,00","156,00","156,00","2,63",5.066,790.296,790.296
2022-11-24,"160,00","160,00","160,00","160,00","2,56",760,121.6,121.6
2023-01-05,"158,00","158,00","158,00","158,00","-1,25",10,1.58,1.58
