Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2015-01-26,"400,00","400,00","400,00","400,00","13,31",110,44.0,44.0
2015-01-28,"427,00","427,00","427,00","427,00","6,75",13,5.551,5.551
2015-01-30,"485,00","485,00","485,00","485,00","13,58",100,48.5,48.5
2015-02-10,"427,00","427,00","427,00","427,00","-11,96",31,13.237,13.237
2015-02-13,"425,00","425,00","425,00","425,00","-0,47",100,42.5,42.5
2015-03-05,"425,00","425,00","425,00","425,00","0,00",331,140.675,140.675
2015-03-10,"500,00","500,00","500,00","500,00","17,65",286,143.0,143.0
2015-03-11,"501,00","501,00","501,00","501,00","0,20",69,34.569,34.569
2015-03-13,"501,00","501,00","501,00","501,00","0,00",147,73.647,73.647
2015-03-17,"599,00","599,00","599,00","599,00","19,56",559,334.841,334.841
2015-03-18,"650,00","650,00","650,00","650,00","8,51",100,65.0,65.0
2015-03-19,"750,00","750,00","750,00","750,00","15,38",160,120.0,120.0
2015-03-20,"750,00","750,00","750,00","750,00","0,00",2,1.5,1.5
2015-04-02,"500,00","500,00","500,00","500,00","-33,33",521,260.5,260.5
2015-04-06,"501,00","501,00","501,00","501,00","0,20",352,176.352,176.352
2015-04-08,"506,00","506,00","506,00","506,00","1,00",195,98.67,98.67
2015-04-21,"511,00","511,00","511,00","511,00","0,99",258,131.838,131.838
2015-04-22,"517,00","517,00","517,00","517,00","1,17",1.480,765.16,765.16
2015-04-27,"518,00","518,00","518,00","518,00","0,19",200,103.6,103.6
2015-05-04,"503,00","503,00","503,00","503,00","-2,90",482,242.446,242.446
2015-05-05,"510,00","510,00","510,00","510,00","1,39",50,25.5,25.5
2015-05-07,"489,00","489,00","489,00","489,00","-4,12",60,29.34,29.34
2015-05-13,"504,00","504,00","504,00","504,00","3,07",100,50.4,50.4
2015-05-14,"505,00","505,00","505,00","505,00","0,20",27,13.635,13.635
2015-05-18,"526,00","526,00","526,00","526,00","4,16",220,115.72,115.72
2015-05-20,"520,00","520,00","520,00","520,00","-1,14",244,126.88,126.88
2015-05-21,"522,00","522,00","522,00","522,00","0,38",180,93.96,93.96
2015-05-22,"525,00","525,00","525,00","525,00","0,57",142,74.55,74.55
2015-05-26,"522,00","522,00","522,00","522,00","-0,57",20,10.44,10.44
2015-05-28,"526,00","526,00","526,00","526,00","0,77",400,210.4,210.4
2015-06-01,"525,00","525,00","525,00","525,00","-0,19",25,13.125,13.125
2015-06-03,"532,00","532,00","532,00","532,00","1,33",100,53.2,53.2
2015-06-05,"531,00","531,00","531,00","531,00","-0,19",50,26.55,26.55
2015-06-08,"530,00","530,00","530,00","530,00","-0,19",50,26.5,26.5
2015-06-29,"515,00","515,00","515,00","515,00","-2,83",330,169.95,169.95
2015-10-26,"400,00","400,00","400,00","400,00","-22,33",77,30.8,30.8
2015-11-02,"400,00","400,00","400,00","400,00","0,00",70,28.0,28.0
2015-11-05,"400,00","400,00","400,00","400,00","0,00",156,62.4,62.4
2015-11-09,"400,00","400,00","400,00","400,00","0,00",75,30.0,30.0
2015-12-04,"400,00","400,00","400,00","400,00","0,00",110,44.0,44.0
2015-12-24,"380,00","380,00","380,00","380,00","-5,00",15,5.7,5.7
2015-12-25,"380,00","380,00","380,00","380,00","0,00",117,44.46,0.0
2016-01-05,"383,00","383,00","383,00","383,00","0,79",238,91.154,91.154
2016-01-12,"380,00","380,00","380,00","380,00","-0,78",95,36.1,36.1
2016-01-26,"391,00","391,00","391,00","391,00","2,89",85,33.235,33.235
2016-02-10,"380,00","380,00","380,00","380,00","-2,81",80,30.4,30.4
2016-02-11,"380,00","380,00","380,00","380,00","0,00",15,5.7,5.7
2016-02-17,"380,00","380,00","380,00","380,00","0,00",50,19.0,19.0
