Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2014-12-25,"615,00","615,00","615,00","615,00","2,50",5,3.075,3.075
2017-03-01,"615,00","615,00","615,00","615,00","0,00",344,211.56,211.56
2017-09-07,"400,00","400,00","400,00","400,00","-34,96",8,3.2,3.2
2017-11-02,"520,00","520,00","520,00","520,00","30,00",16,8.32,8.32
2018-02-19,"600,00","600,00","600,00","600,00","15,38",750,450.0,450.0
2018-04-20,"600,00","600,00","600,00","600,00","0,00",157,94.2,94.2
2018-11-02,"700,00","700,00","700,00","700,00","16,67",95,66.5,66.5
2018-11-08,"700,00","700,00","700,00","700,00","0,00",64,44.8,44.8
2019-03-20,"700,00","700,00","700,00","700,00","0,00",182,127.4,127.4
2019-05-17,"700,00","700,00","700,00","700,00","0,00",136,95.2,95.2
2019-05-20,"700,00","700,00","700,00","700,00","0,00",600,420.0,420.0
2019-05-21,"700,00","700,00","700,00","700,00","0,00",1.395,976.5,976.5
2021-07-15,"600,00","600,00","600,00","600,00","-14,29",6,3.6,3.6
2022-01-05,"600,00","600,00","600,00","600,00","0,00",14,8.4,8.4
2022-06-08,"450,00","450,00","450,00","450,00","-25,00",48,21.6,21.6
2022-11-04,"600,00","600,00","600,00","600,00","33,33",6,3.6,3.6
2023-01-05,"450,00","450,00","450,00","450,00","-25,00",30,13.5,13.5
2023-05-31,"350,00","350,00","350,00","350,00","-22,22",174,60.9,60.9
