Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2022-04-21,"61,00","61,00","61,00","61,00","0,00",5.507,335.927,335.927
2022-04-26,"61,00","61,00","61,00","61,00","0,00",5.632,343.552,343.552
2022-04-27,"61,00","61,00","61,00","61,00","0,00",5.117,312.137,312.137
2022-04-28,"61,00","61,00","61,00","61,00","0,00",5.506,335.866,335.866
2022-04-29,"61,00","61,00","61,00","61,00","0,00",5.479,334.219,334.219
2022-05-04,"61,00","61,00","61,00","61,00","0,00",10.706,653.066,653.066
2022-05-12,"61,00","61,00","61,00","61,00","0,00",9.007,549.427,549.427
2022-05-16,"61,00","61,00","61,00","61,00","0,00",5.182,316.102,316.102
2022-05-18,"61,00","61,00","61,00","61,00","0,00",1.129,68.869,68.869
2022-05-26,"61,00","61,00","61,00","61,00","0,00",2.756,168.116,168.116
2022-05-30,"61,00","61,00","61,00","61,00","0,00",2.132,130.052,130.052
2022-06-01,"61,00","61,00","61,00","61,00","0,00",707,43.127,43.127
2022-06-02,"61,00","61,00","61,00","61,00","0,00",545,33.245,33.245
2022-06-07,"61,00","61,00","61,00","61,00","0,00",8.791,536.251,536.251
2022-06-08,"61,00","61,00","61,00","61,00","0,00",9.082,554.002,554.002
2022-06-09,"61,00","61,00","61,00","61,00","0,00",5.853,357.033,357.033
2022-07-06,"61,00","61,00","61,00","61,00","0,00",3.216,196.176,196.176
2022-07-12,"61,00","61,00","61,00","61,00","0,00",278,16.958,16.958
2022-07-20,"61,00","61,00","61,00","61,00","0,00",1.086,66.246,66.246
2022-07-21,"61,00","61,00","61,00","61,00","0,00",760,46.36,46.36
2022-07-29,"61,00","61,00","61,00","61,00","0,00",638,38.918,38.918
2022-08-15,"61,00","61,00","61,00","61,00","0,00",591,36.051,36.051
2022-08-23,"61,00","61,00","61,00","61,00","0,00",1.100,67.1,67.1
2022-08-24,"61,00","61,00","61,00","61,00","0,00",1.391,84.851,84.851
2022-08-25,"61,00","61,00","61,00","61,00","0,00",203,12.383,12.383
2022-08-30,"61,00","61,00","61,00","61,00","0,00",294,17.934,17.934
2022-09-06,"61,00","61,00","61,00","61,00","0,00",864,52.704,52.704
2022-09-28,"61,00","61,00","61,00","61,00","0,00",1.042,63.562,63.562
2022-09-29,"61,00","61,00","61,00","61,00","0,00",757,46.177,46.177
2022-10-12,"61,00","61,00","61,00","61,00","0,00",1.079,65.819,65.819
2022-10-13,"61,00","61,00","61,00","61,00","0,00",861,52.521,52.521
2022-11-16,"61,00","61,00","61,00","61,00","0,00",524,31.964,31.964
2022-12-22,"61,00","61,00","61,00","61,00","0,00",783,47.763,47.763
2022-12-23,"61,00","61,00","61,00","61,00","0,00",182,11.102,11.102
2023-01-12,"61,00","61,00","61,00","61,00","0,00",763,46.543,46.543
2023-02-28,"61,00","61,00","61,00","61,00","0,00",852,51.972,51.972
2023-07-31,"61,00","61,00","61,00","61,00","0,00",285,17.385,17.385
2023-09-13,"61,00","61,00","61,00","61,00","0,00",159,9.699,9.699
2023-11-28,"61,00","61,00","61,00","61,00","0,00",306,18.666,18.666
2024-01-03,"61,00","61,00","61,00","61,00","0,00",490,29.89,29.89
2024-04-09,"61,00","61,00","61,00","61,00","0,00",2.589,157.929,157.929
2024-09-12,"61,00","61,00","61,00","61,00","0,00",242,14.762,14.762
