Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2022-09-16,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",22,26.4,26.4
2022-11-07,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",19,22.8,22.8
2023-01-03,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",102,122.4,122.4
2023-01-18,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",7,8.4,8.4
2023-01-23,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",35,42.0,42.0
2023-04-10,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",14,16.8,16.8
2023-06-12,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",12,14.4,14.4
2023-11-10,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",19,22.8,22.8
2023-12-06,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",9,10.8,10.8
2024-08-07,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",41,49.2,49.2
