Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2016-11-02,"3.239,00","3.239,00","3.239,00","3.239,00","2,99",97,314.183,314.183
2017-06-08,"3.142,00","3.142,00","3.142,00","3.142,00","-2,99",3,9.426,9.426
2017-11-14,"2.800,00","2.800,00","2.800,00","2.800,00","-10,88",1,2.8,0.0
2018-03-14,"2.716,00","2.716,00","2.716,00","2.716,00","-3,00",31,84.196,84.196
2018-04-05,"2.797,00","2.797,00","2.797,00","2.797,00","2,98",116,324.452,324.452
2018-05-22,"3.000,00","3.000,00","3.000,00","3.000,00","7,26",29,87.0,87.0
2018-06-05,"2.911,00","2.911,00","2.911,00","2.911,00","-2,97",5,14.555,14.555
2018-09-04,"3.276,00","3.276,00","3.276,00","3.276,00","12,54",36,117.936,117.936
2019-02-06,"2.851,00","2.851,00","2.851,00","2.851,00","-12,97",1,2.851,0.0
2019-03-21,"3.010,00","3.010,00","3.010,00","3.010,00","5,58",1,3.01,3.01
2020-11-26,"3.000,00","3.000,00","3.000,00","3.000,00","-0,33",40,120.0,120.0
2020-11-27,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",15,45.0,45.0
2020-12-17,"3.090,00","3.090,00","3.090,00","3.090,00","3,00",42,129.78,129.78
2020-12-23,"3.182,00","3.182,00","3.182,00","3.182,00","2,98",40,127.28,127.28
2020-12-29,"3.301,00","3.301,00","3.301,00","3.301,00","3,74",18,59.418,59.418
2021-03-09,"3.301,00","3.301,00","3.301,00","3.301,00","0,00",100,330.1,330.1
2021-09-09,"2.900,00","2.900,00","2.900,00","2.900,00","-12,15",115,333.5,333.5
2023-12-27,"2.987,00","2.987,00","2.987,00","2.987,00","3,00",20,59.74,59.74
2024-03-20,"3.076,00","3.076,00","3.076,00","3.076,00","2,98",21,64.596,64.596
2024-03-22,"3.168,00","3.168,00","3.168,00","3.168,00","2,99",20,63.36,63.36
2024-03-27,"3.168,00","3.168,00","3.168,00","3.168,00","0,00",20,63.36,63.36
