Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2015-02-06,"5.900,00","5.900,00","5.900,00","5.900,00","0,34",50,295.0,295.0
2015-02-11,"5.900,00","5.900,00","5.900,00","5.900,00","0,00",21,123.9,123.9
2015-02-12,"5.500,00","5.500,00","5.500,00","5.500,00","-6,78",8,44.0,44.0
2015-02-13,"5.500,00","5.500,00","5.500,00","5.500,00","0,00",4,22.0,22.0
2016-02-04,"5.500,00","5.500,00","5.500,00","5.500,00","0,00",10,55.0,55.0
2016-02-22,"8.001,00","8.001,00","8.001,00","8.001,00","45,47",10,80.01,80.01
2016-02-26,"8.000,00","8.000,00","8.000,00","8.000,00","-0,01",12,96.0,96.0
2016-03-03,"7.201,00","7.201,00","7.201,00","7.201,00","-9,99",11,79.211,79.211
2016-06-22,"5.530,00","5.530,00","5.530,00","5.530,00","-23,21",10,55.3,55.3
2016-08-18,"5.055,00","5.055,00","5.055,00","5.055,00","-8,59",10,50.55,50.55
2016-09-07,"5.500,00","5.500,00","5.500,00","5.500,00","8,80",10,55.0,55.0
2017-05-29,"6.000,00","6.000,00","6.000,00","6.000,00","9,09",7,42.0,42.0
2017-09-29,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",10,60.0,60.0
2017-10-04,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",20,120.0,120.0
2018-02-02,"5.000,00","5.000,00","5.000,00","5.000,00","-16,67",3,15.0,15.0
2018-05-10,"6.000,00","6.000,00","6.000,00","6.000,00","20,00",15,90.0,90.0
2018-08-01,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",24,144.0,144.0
2019-05-07,"6.300,00","6.300,00","6.300,00","6.300,00","5,00",11,69.3,69.3
2019-05-08,"7.200,00","7.200,00","7.200,00","7.200,00","14,29",10,72.0,72.0
2023-06-16,"6.984,00","6.984,00","6.984,00","6.984,00","-3,00",104,726.336,726.336
