Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2014-12-02,"57.000,00","57.000,00","57.000,00","57.000,00","3,64",2,114.0,114.0
2014-12-04,"57.000,00","57.000,00","57.000,00","57.000,00","0,00",4,228.0,228.0
2014-12-10,"56.000,00","56.000,00","56.000,00","56.000,00","-1,75",5,280.0,280.0
2014-12-30,"56.000,00","56.000,00","55.000,00","55.500,00","-0,89",4,222.0,222.0
2015-01-23,"55.500,00","55.500,00","55.500,00","55.500,00","0,00",1,55.5,55.5
2015-01-26,"55.400,00","55.400,00","55.400,00","55.400,00","-0,18",1,55.4,0.0
2015-04-06,"46.018,00","46.018,00","46.018,00","46.018,00","-16,94",2,92.036,92.036
2015-04-07,"49.000,00","49.000,00","49.000,00","49.000,00","6,48",12,588.0,588.0
2015-04-09,"49.000,00","49.000,00","49.000,00","49.000,00","0,00",2,98.0,98.0
2015-05-04,"47.000,00","47.000,00","47.000,00","47.000,00","-4,08",7,329.0,329.0
2015-05-05,"47.000,00","47.000,00","47.000,00","47.000,00","0,00",5,235.0,235.0
2015-05-08,"48.000,00","48.000,00","48.000,00","48.000,00","2,13",3,144.0,144.0
2015-05-12,"48.000,00","48.000,00","48.000,00","48.000,00","0,00",6,288.0,288.0
2015-06-01,"48.000,00","48.000,00","48.000,00","48.000,00","0,00",6,288.0,288.0
2015-09-15,"46.560,00","46.560,00","46.560,00","46.560,00","-3,00",2,93.12,93.12
2015-11-04,"40.500,00","40.500,00","40.500,00","40.500,00","-13,02",1,40.5,40.5
2015-11-16,"38.000,00","38.000,00","38.000,00","38.000,00","-6,17",2,76.0,76.0
2015-11-18,"39.000,00","39.000,00","39.000,00","39.000,00","2,63",17,663.0,663.0
2015-12-07,"40.000,00","40.000,00","40.000,00","40.000,00","2,56",1,40.0,40.0
2015-12-16,"40.000,00","40.000,00","40.000,00","40.000,00","0,00",12,480.0,480.0
2015-12-18,"38.800,00","38.800,00","38.800,00","38.800,00","-3,00",2,77.6,77.6
2015-12-21,"40.000,00","40.000,00","40.000,00","40.000,00","3,09",1,40.0,0.0
2015-12-29,"37.830,00","37.830,00","37.830,00","37.830,00","-5,42",5,189.15,189.15
2016-01-05,"39.500,00","39.500,00","39.500,00","39.500,00","4,41",2,79.0,79.0
2016-01-25,"40.000,00","40.000,00","40.000,00","40.000,00","1,27",8,320.0,320.0
2016-01-27,"40.002,00","40.002,00","40.002,00","40.002,00","0,00",10,400.02,400.02
2016-02-18,"40.002,00","40.002,00","40.002,00","40.002,00","0,00",1,40.002,40.002
2016-02-25,"40.002,00","40.002,00","40.002,00","40.002,00","0,00",5,200.01,200.01
2016-02-26,"40.002,00","40.002,00","40.002,00","40.002,00","0,00",1,40.002,40.002
2016-03-03,"40.002,00","40.002,00","40.002,00","40.002,00","0,00",3,120.006,120.006
2016-03-07,"40.002,00","40.002,00","40.002,00","40.002,00","0,00",2,80.004,80.004
2016-03-11,"40.002,00","40.002,00","40.002,00","40.002,00","0,00",6,240.012,240.012
2016-03-25,"40.000,00","40.000,00","40.000,00","40.000,00","0,00",3,120.0,0.0
2016-03-28,"40.000,00","40.000,00","40.000,00","40.000,00","0,00",1,40.0,40.0
2016-04-04,"40.000,00","40.000,00","40.000,00","40.000,00","0,00",4,160.0,160.0
2016-04-05,"40.000,00","40.001,00","40.000,00","40.000,50","0,00",4,160.002,160.002
2016-04-11,"40.000,00","40.000,00","40.000,00","40.000,00","0,00",5,200.0,200.0
2016-04-12,"40.000,00","40.000,00","40.000,00","40.000,00","0,00",4,160.0,160.0
2016-04-20,"40.000,00","40.000,00","40.000,00","40.000,00","0,00",4,160.0,160.0
2016-05-05,"40.000,00","40.000,00","40.000,00","40.000,00","0,00",3,120.0,120.0
2016-06-09,"40.000,00","40.000,00","40.000,00","40.000,00","0,00",1,40.0,40.0
2016-06-28,"40.000,00","40.000,00","40.000,00","40.000,00","0,00",1,40.0,40.0
2016-07-11,"38.800,00","38.800,00","38.800,00","38.800,00","-3,00",1,38.8,38.8
2016-07-13,"40.000,00","40.000,00","40.000,00","40.000,00","3,09",3,120.0,120.0
2016-07-18,"38.801,00","38.801,00","38.801,00","38.801,00","-3,00",1,38.801,38.801
2016-08-05,"39.970,00","39.970,00","39.970,00","39.970,00","3,01",20,799.4,799.4
2016-08-15,"40.000,00","40.000,00","40.000,00","40.000,00","0,08",1,40.0,40.0
2016-09-02,"41.204,00","41.204,00","41.204,00","41.204,00","3,01",3,123.612,0.0
2016-09-07,"42.440,00","42.440,00","42.440,00","42.440,00","3,00",3,127.32,127.32
2016-09-13,"41.203,00","41.203,00","41.203,00","41.203,00","-2,91",1,41.203,41.203
2016-09-14,"41.000,00","41.000,00","40.500,00","40.777,78","-1,03",9,367.0,367.0
2016-09-23,"41.116,00","41.116,00","41.116,00","41.116,00","0,83",3,123.348,123.348
2016-10-05,"39.901,00","39.901,00","39.901,00","39.901,00","-2,96",1,39.901,39.901
2016-10-13,"41.098,00","41.098,00","41.098,00","41.098,00","3,00",5,205.49,205.49
2016-10-18,"42.010,00","42.010,00","42.010,00","42.010,00","2,22",3,126.03,126.03
2016-10-25,"41.000,00","41.000,00","41.000,00","41.000,00","-2,40",13,533.0,533.0
2016-10-31,"42.000,00","42.000,00","42.000,00","42.000,00","2,44",3,126.0,126.0
2016-11-18,"42.010,00","42.010,00","42.010,00","42.010,00","0,02",7,294.07,294.07
2016-11-22,"43.128,00","43.128,00","43.128,00","43.128,00","2,66",12,517.536,517.536
2016-12-09,"43.001,00","43.001,00","43.001,00","43.001,00","-0,29",2,86.002,86.002
2016-12-15,"43.000,00","43.000,00","43.000,00","43.000,00","0,00",1,43.0,43.0
2016-12-19,"43.000,00","43.000,00","43.000,00","43.000,00","0,00",2,86.0,86.0
2016-12-23,"40.050,00","40.050,00","40.050,00","40.050,00","-6,86",6,240.3,240.3
2016-12-29,"42.000,00","42.000,00","42.000,00","42.000,00","4,87",1,42.0,0.0
2017-01-17,"43.000,00","43.000,00","43.000,00","43.000,00","2,38",2,86.0,86.0
2017-01-25,"42.000,00","42.000,00","42.000,00","42.000,00","-2,33",4,168.0,168.0
2017-01-27,"43.000,00","43.000,00","43.000,00","43.000,00","2,38",1,43.0,43.0
2017-01-30,"41.710,00","41.710,00","41.710,00","41.710,00","-3,00",4,166.84,166.84
2017-01-31,"42.961,00","42.961,00","42.961,00","42.961,00","3,00",12,515.532,515.532
2017-02-06,"43.800,00","43.800,00","43.800,00","43.800,00","0,50",5,219.0,219.0
2017-02-07,"44.000,00","44.000,00","44.000,00","44.000,00","0,46",2,88.0,88.0
2017-02-14,"43.000,00","43.000,00","43.000,00","43.000,00","-2,27",2,86.0,86.0
2017-02-15,"41.710,00","41.710,00","41.710,00","41.710,00","-3,00",3,125.13,125.13
2017-03-17,"42.960,00","42.960,00","42.960,00","42.960,00","3,00",1,42.96,42.96
2017-03-27,"42.001,00","42.001,00","42.001,00","42.001,00","-2,23",1,42.001,42.001
2017-04-06,"42.500,00","42.501,00","42.500,00","42.500,40","1,19",5,212.502,212.502
2017-04-18,"42.500,00","42.500,00","42.500,00","42.500,00","0,00",4,170.0,170.0
2017-05-09,"43.775,00","43.775,00","43.775,00","43.775,00","3,00",6,262.65,262.65
2017-05-12,"43.775,00","43.775,00","43.775,00","43.775,00","0,00",1,43.775,43.775
2017-05-15,"43.775,00","43.775,00","43.775,00","43.775,00","0,00",1,43.775,43.775
2017-06-06,"46.000,00","46.000,00","46.000,00","46.000,00","2,06",7,322.0,322.0
2017-06-07,"44.620,00","44.620,00","44.620,00","44.620,00","-3,00",2,89.24,89.24
2017-06-21,"45.000,00","45.000,00","45.000,00","45.000,00","0,85",1,45.0,0.0
2017-07-05,"46.000,00","46.000,00","46.000,00","46.000,00","2,22",16,736.0,736.0
2017-07-07,"47.380,00","47.380,00","47.380,00","47.380,00","3,00",1,47.38,47.38
2017-07-10,"47.380,00","47.380,00","47.380,00","47.380,00","0,00",1,47.38,47.38
2017-07-12,"48.000,00","48.000,00","47.000,00","47.666,67","0,61",6,286.0,0.0
2017-07-18,"49.000,00","49.000,00","49.000,00","49.000,00","2,80",4,196.0,196.0
2017-07-19,"49.000,00","49.000,00","49.000,00","49.000,00","0,00",5,245.0,245.0
2017-07-20,"52.100,00","52.100,00","49.203,00","50.168,67","2,39",6,301.012,0.0
2017-07-21,"49.501,00","49.501,00","49.501,00","49.501,00","-1,33",3,148.503,148.503
2017-07-26,"52.000,00","52.000,00","52.000,00","52.000,00","5,05",4,208.0,208.0
2017-07-31,"50.440,00","50.440,00","50.440,00","50.440,00","-3,00",5,252.2,252.2
2017-08-04,"51.700,00","51.700,00","51.700,00","51.700,00","2,50",2,103.4,103.4
2017-08-08,"55.000,00","55.000,00","54.501,00","54.750,50","5,90",2,109.501,109.501
2017-08-29,"53.108,00","53.108,00","53.108,00","53.108,00","-3,00",4,212.432,212.432
2017-10-03,"58.418,00","58.418,00","58.418,00","58.418,00","10,00",3,175.254,175.254
2017-10-06,"60.500,00","60.500,00","60.500,00","60.500,00","3,56",1,60.5,60.5
2017-10-10,"66.550,00","66.550,00","66.550,00","66.550,00","10,00",1,66.55,0.0
2017-10-12,"66.550,00","66.550,00","66.550,00","66.550,00","0,00",1,66.55,0.0
2017-10-16,"60.500,00","60.500,00","60.500,00","60.500,00","0,00",1,60.5,60.5
2017-11-06,"58.686,00","58.686,00","58.686,00","58.686,00","-3,00",2,117.372,117.372
2017-11-21,"57.750,00","57.750,00","57.750,00","57.750,00","-2,94",2,115.5,115.5
2017-11-29,"57.750,00","57.750,00","57.750,00","57.750,00","0,00",1,57.75,57.75
2017-12-06,"56.009,00","56.009,00","56.009,00","56.009,00","-3,01",1,56.009,56.009
2017-12-11,"59.000,00","59.000,00","59.000,00","59.000,00","5,34",3,177.0,177.0
2017-12-21,"57.000,00","57.000,00","57.000,00","57.000,00","-1,72",1,57.0,57.0
2017-12-25,"55.290,00","55.290,00","55.290,00","55.290,00","-3,00",1,55.29,55.29
2018-01-09,"53.640,00","56.948,00","53.640,00","55.845,33","1,00",3,167.536,167.536
2018-01-10,"56.000,00","56.000,00","56.000,00","56.000,00","0,28",3,168.0,168.0
2018-03-12,"61.599,00","61.599,00","61.599,00","61.599,00","10,00",3,184.797,184.797
2018-03-13,"62.500,00","62.500,00","62.500,00","62.500,00","1,46",10,625.0,625.0
2018-03-14,"62.000,00","62.000,00","61.000,00","61.571,43","-1,49",7,431.0,0.0
2018-04-17,"55.000,00","55.000,00","55.000,00","55.000,00","-10,67",8,440.0,440.0
2018-04-18,"55.500,00","55.500,00","55.500,00","55.500,00","0,91",1,55.5,55.5
2018-05-02,"55.500,00","55.500,00","55.500,00","55.500,00","0,00",1,55.5,0.0
2018-05-04,"55.502,00","55.502,00","55.502,00","55.502,00","0,00",3,166.506,166.506
2018-05-09,"57.000,00","57.000,00","57.000,00","57.000,00","2,70",1,57.0,57.0
2018-05-15,"59.000,00","59.000,00","59.000,00","59.000,00","3,51",2,118.0,118.0
2018-05-17,"56.500,00","56.500,00","56.500,00","56.500,00","-4,24",8,452.0,0.0
2018-06-04,"56.500,00","56.500,00","56.500,00","56.500,00","0,00",14,791.0,791.0
2018-06-05,"57.000,00","57.000,00","57.000,00","57.000,00","0,88",7,399.0,399.0
2018-06-06,"60.000,00","60.000,00","60.000,00","60.000,00","5,26",2,120.0,120.0
2018-06-08,"60.000,00","60.000,00","60.000,00","60.000,00","0,00",10,600.0,600.0
2018-06-12,"58.200,00","58.200,00","58.200,00","58.200,00","-3,00",6,349.2,349.2
2018-06-25,"60.250,00","60.250,00","60.250,00","60.250,00","3,52",5,301.25,301.25
2018-06-26,"61.000,00","61.000,00","61.000,00","61.000,00","1,24",4,244.0,244.0
2018-07-03,"60.302,00","61.000,00","60.302,00","60.767,33","-0,38",3,182.302,182.302
2018-07-17,"59.500,00","59.500,00","59.500,00","59.500,00","-2,09",2,119.0,119.0
2018-08-20,"58.000,00","58.000,00","58.000,00","58.000,00","-2,52",4,232.0,232.0
2018-09-03,"61.001,00","61.001,00","61.001,00","61.001,00","5,17",7,427.007,427.007
2018-09-13,"61.100,00","61.100,00","61.100,00","61.100,00","0,16",1,61.1,61.1
2018-09-18,"61.100,00","61.100,00","61.100,00","61.100,00","0,00",3,183.3,183.3
2018-09-24,"61.100,00","61.100,00","61.100,00","61.100,00","0,00",1,61.1,61.1
2018-09-27,"62.831,00","62.831,00","62.830,00","62.830,25","2,83",12,753.963,753.963
2018-10-01,"61.101,00","61.101,00","61.101,00","61.101,00","-2,75",2,122.202,122.202
2018-10-03,"61.101,00","61.101,00","61.101,00","61.101,00","0,00",3,183.303,183.303
2018-10-04,"61.100,00","61.100,00","61.100,00","61.100,00","0,00",5,305.5,305.5
2018-10-05,"59.267,00","59.267,00","59.267,00","59.267,00","-3,00",4,237.068,237.068
2018-10-08,"57.489,00","58.999,00","57.489,00","58.567,57","-1,18",7,409.973,409.973
2018-10-09,"57.000,00","57.000,00","57.000,00","57.000,00","-2,68",2,114.0,114.0
2018-10-10,"62.000,00","62.000,00","61.000,00","61.500,00","7,89",4,246.0,0.0
2018-10-12,"60.000,00","60.000,00","60.000,00","60.000,00","-2,44",1,60.0,60.0
2018-10-15,"60.000,00","60.000,00","60.000,00","60.000,00","0,00",2,120.0,120.0
2018-10-18,"59.005,00","59.005,00","59.005,00","59.005,00","0,01",3,177.015,177.015
2018-10-22,"68.126,00","68.126,00","68.126,00","68.126,00","10,00",13,885.638,885.638
2018-10-24,"68.126,00","68.126,00","68.126,00","68.126,00","0,00",9,613.134,613.134
2018-10-25,"67.000,00","67.000,00","67.000,00","67.000,00","-1,65",9,603.0,603.0
2018-10-30,"68.000,00","68.000,00","67.000,00","67.111,11","0,17",9,604.0,604.0
2018-11-07,"68.000,00","68.000,00","68.000,00","68.000,00","1,32",1,68.0,68.0
2018-11-08,"69.000,00","69.000,00","69.000,00","69.000,00","1,47",7,483.0,483.0
2018-11-13,"70.000,00","70.000,00","70.000,00","70.000,00","1,45",5,350.0,350.0
2018-11-21,"70.000,00","70.000,00","70.000,00","70.000,00","0,00",6,420.0,420.0
2018-12-12,"67.900,00","67.900,00","67.900,00","67.900,00","-3,00",2,135.8,135.8
