Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
21.01.2015,"500,00","500,00","500,00","500,00","0,00",60,30.0,30.0
27.02.2015,"500,00","500,00","500,00","500,00","0,00",43,21.5,21.5
01.04.2015,"500,00","500,00","500,00","500,00","0,00",130,65.0,65.0
28.04.2015,"500,00","500,00","500,00","500,00","0,00",14,7.0,7.0
27.05.2015,"603,00","603,00","603,00","603,00","20,60",121,72.963,72.963
28.05.2015,"608,00","608,00","608,00","608,00","0,83",122,74.176,74.176
15.09.2015,"720,00","720,00","720,00","720,00","18,42",98,70.56,70.56
03.11.2015,"800,00","800,00","800,00","800,00","11,11",102,81.6,81.6
13.06.2016,"1.000,00","1.000,00","1.000,00","1.000,00","25,00",254,254.0,254.0
22.08.2016,"1.200,00","1.200,00","1.200,00","1.200,00","20,00",8,9.6,9.6
27.10.2016,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",225,270.0,270.0
08.11.2016,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",363,435.6,435.6
10.11.2016,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",313,375.6,375.6
17.11.2016,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",546,655.2,655.2
22.11.2016,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",390,468.0,468.0
27.12.2016,"1.200,00","1.200,00","1.200,00","1.200,00","-16,67",161,193.2,193.2
27.01.2017,"1.150,00","1.150,00","1.150,00","1.150,00","-4,17",30,34.5,34.5
16.02.2017,"1.200,00","1.200,00","1.200,00","1.200,00","4,35",136,163.2,163.2
23.02.2017,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",184,220.8,220.8
09.03.2017,"1.100,00","1.100,00","1.100,00","1.100,00","-8,33",100,110.0,110.0
10.03.2017,"1.000,00","1.000,00","1.000,00","1.000,00","-9,09",5,5.0,5.0
15.11.2017,"900,00","900,00","900,00","900,00","-10,00",886,797.4,797.4
31.10.2018,"900,00","900,00","900,00","900,00","0,00",176,158.4,158.4
19.12.2018,"1.200,00","1.200,00","1.200,00","1.200,00","33,33",400,480.0,480.0
21.12.2018,"1.399,00","1.399,00","1.399,00","1.399,00","16,58",6,8.394,8.394
11.03.2019,"1.000,00","1.000,00","1.000,00","1.000,00","-28,57",258,258.0,258.0
19.03.2019,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",215,215.0,215.0
16.05.2019,"1.200,00","1.200,00","1.200,00","1.200,00","20,00",245,294.0,294.0
17.05.2019,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",830,996.0,996.0
22.05.2019,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",116,139.2,139.2
31.07.2019,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",125,150.0,150.0
10.09.2019,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",10,12.0,12.0
06.11.2019,"1.100,00","1.100,00","1.100,00","1.100,00","-8,33",100,110.0,110.0
20.02.2020,"1.200,00","1.200,00","1.200,00","1.200,00","9,09",198,237.6,237.6
27.04.2020,"1.080,00","1.080,00","1.080,00","1.080,00","-10,00",141,152.28,152.28
08.05.2020,"1.200,00","1.200,00","1.200,00","1.200,00","11,11",300,360.0,360.0
23.06.2020,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",164,196.8,196.8
05.02.2021,"1.200,00","1.200,00","1.200,00","1.200,00","0,00",11,13.2,13.2
31.03.2021,"1.500,00","1.500,00","1.500,00","1.500,00","25,00",200,300.0,300.0
01.04.2021,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",310,465.0,465.0
02.04.2021,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",103,154.5,154.5
04.05.2021,"1.568,00","1.568,00","1.568,00","1.568,00","4,53",25,39.2,39.2
15.06.2022,"1.801,00","1.801,00","1.801,00","1.801,00","14,86",139,250.339,250.339
04.01.2023,"1.800,00","1.800,00","1.800,00","1.800,00","-0,06",41,73.8,73.8
27.03.2023,"2.101,00","2.101,00","2.101,00","2.101,00","16,72",38,79.838,79.838
