Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2014-11-27,"7.060,00","7.060,00","7.060,00","7.060,00","8,62",35,247.1,247.1
2014-11-28,"7.555,00","7.555,00","7.555,00","7.555,00","7,01",24,181.32,181.32
2015-03-03,"7.329,00","7.329,00","7.329,00","7.329,00","-2,99",13,95.277,95.277
2015-05-27,"7.329,00","7.329,00","7.329,00","7.329,00","0,00",10,73.29,73.29
2018-09-06,"7.110,00","7.110,00","7.110,00","7.110,00","-2,99",40,284.4,284.4
2021-03-01,"9.240,00","9.240,00","9.240,00","9.240,00","29,96",103,951.72,951.72
2021-06-10,"9.240,00","9.240,00","9.240,00","9.240,00","0,00",61,563.64,563.64
2022-06-01,"9.240,00","9.240,00","9.240,00","9.240,00","0,00",10,92.4,92.4
2022-08-16,"9.240,00","9.240,00","9.240,00","9.240,00","0,00",29,267.96,267.96
2022-09-26,"9.240,00","9.240,00","9.240,00","9.240,00","0,00",18,166.32,166.32
2022-10-04,"9.240,00","9.240,00","9.240,00","9.240,00","0,00",91,840.84,840.84
2022-10-10,"9.240,00","9.240,00","9.240,00","9.240,00","0,00",84,776.16,776.16
2022-10-20,"9.240,00","9.240,00","9.240,00","9.240,00","0,00",60,554.4,554.4
2022-12-22,"9.240,00","9.240,00","9.240,00","9.240,00","0,00",25,231.0,231.0
2023-03-09,"9.240,00","9.240,00","9.240,00","9.240,00","0,00",10,92.4,92.4
