Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2014-11-17,"580,00","580,00","575,00","575,51","0,04",390,224.45,224.45
2014-11-18,"575,00","575,00","574,00","574,67","-0,15",1.194,686.156,686.156
2014-11-19,"570,00","570,00","560,00","562,99","-2,03",428,240.96,240.96
2014-11-21,"573,00","573,00","573,00","573,00","0,47",329,188.517,188.517
2014-11-25,"570,00","570,00","570,00","570,00","-0,52",310,176.7,176.7
2014-11-26,"570,00","570,00","570,00","570,00","0,00",20,11.4,11.4
2014-11-27,"570,00","570,00","570,00","570,00","0,00",100,57.0,57.0
2014-11-28,"570,00","570,00","570,00","570,00","0,00",778,443.46,443.46
2014-12-01,"562,00","562,00","562,00","562,00","-1,40",100,56.2,56.2
2014-12-04,"570,00","570,00","570,00","570,00","-0,02",622,354.54,354.54
2014-12-09,"560,00","573,00","560,00","570,40","-0,27",500,285.2,285.2
2014-12-16,"570,00","570,00","570,00","570,00","-1,59",350,199.5,199.5
2014-12-17,"555,00","570,00","555,00","569,27","-0,13",409,232.83,232.83
2014-12-19,"570,00","570,00","570,00","570,00","0,13",200,114.0,114.0
2014-12-22,"560,00","560,00","560,00","560,00","-1,75",500,280.0,280.0
2014-12-23,"566,00","570,00","560,00","562,25","0,40",1.530,860.24,860.24
2014-12-25,"570,00","570,00","560,00","565,93","-0,71",123,69.61,69.61
2014-12-26,"581,00","585,00","580,00","580,50","2,57",1.491,865.53,865.53
2014-12-29,"595,00","597,00","595,00","596,00","2,67",1.000,596.0,596.0
2015-01-05,"578,00","578,00","578,00","578,00","-2,84",20,11.56,11.56
2015-01-08,"580,00","580,00","578,00","578,65","0,11",614,355.292,355.292
2015-01-09,"580,00","580,00","578,00","578,88","0,04",137,79.306,79.306
2015-01-12,"580,00","580,00","580,00","580,00","0,19",100,58.0,58.0
2015-01-13,"580,00","580,00","580,00","580,00","0,00",250,145.0,145.0
2015-01-14,"580,00","580,00","580,00","580,00","0,00",469,272.02,272.02
2015-01-15,"580,00","580,00","580,00","580,00","0,00",150,87.0,87.0
2015-01-16,"580,00","580,00","580,00","580,00","0,00",663,384.54,384.54
2015-01-20,"580,00","580,00","580,00","580,00","0,00",506,293.48,293.48
2015-01-21,"580,00","580,00","580,00","580,00","0,00",250,145.0,145.0
2015-01-22,"580,00","580,00","580,00","580,00","0,00",13,7.54,7.54
2015-01-23,"580,00","580,00","580,00","580,00","0,00",460,266.8,266.8
2015-01-26,"585,00","586,00","581,00","584,98","0,86",590,345.14,345.14
2015-01-27,"590,00","595,00","589,00","591,13","1,05",1.307,772.61,772.61
2015-01-28,"590,00","595,00","590,00","590,32","-0,14",310,183.0,183.0
2015-01-29,"590,00","590,00","590,00","590,00","-0,05",200,118.0,118.0
2015-01-30,"595,00","595,00","590,00","592,80","0,47",127,75.285,75.285
2015-02-03,"585,00","589,00","585,00","585,22","-1,28",662,387.418,387.418
2015-02-04,"590,00","590,00","590,00","590,00","0,82",200,118.0,118.0
2015-02-05,"595,00","595,00","590,00","593,66","0,62",149,88.455,88.455
