Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2015-07-06,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",16,48.0,48.0
2016-05-11,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",3,9.0,9.0
2016-12-22,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",3,9.0,9.0
2017-01-11,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",3,9.0,9.0
2017-06-20,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",3,9.0,9.0
2018-02-15,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",8,24.0,24.0
2018-05-22,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",2,6.0,6.0
2018-11-21,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",16,48.0,48.0
2018-12-04,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",2,6.0,6.0
2019-02-25,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",6,18.0,18.0
2019-03-19,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",4,12.0,12.0
2019-12-24,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",4,12.0,12.0
2021-02-24,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",2,6.0,6.0
2021-06-09,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",13,39.0,39.0
2022-06-14,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",3,9.0,9.0
2022-09-05,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",2,6.0,6.0
2023-01-09,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",11,33.0,33.0
2023-03-01,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",3,9.0,9.0
2023-12-26,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",15,45.0,45.0
2024-02-19,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",4,12.0,12.0
2024-03-14,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",13,39.0,39.0
2024-05-29,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",3,9.0,9.0
2024-06-03,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",7,21.0,21.0
2024-06-12,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",2,6.0,6.0
2024-09-12,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",4,12.0,12.0
