Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2015-04-27,"5.000,00","5.000,00","5.000,00","5.000,00","0,00",21,105.0,105.0
2021-07-30,"2.500,00","2.500,00","2.500,00","2.500,00","-50,00",6,15.0,15.0
2021-09-13,"3.208,00","3.208,00","3.208,00","3.208,00","28,32",13,41.704,41.704
2021-11-03,"3.112,00","3.112,00","3.112,00","3.112,00","-2,99",49,152.488,152.488
2021-11-05,"3.019,00","3.019,00","3.019,00","3.019,00","-2,99",75,226.425,226.425
2021-11-26,"2.929,00","2.929,00","2.929,00","2.929,00","-2,98",16,46.864,46.864
2022-02-23,"2.899,00","2.899,00","2.899,00","2.899,00","-1,02",6,17.394,17.394
2022-05-16,"2.899,00","2.899,00","2.899,00","2.899,00","0,00",24,69.576,69.576
2022-06-16,"2.850,00","2.850,00","2.850,00","2.850,00","-1,69",36,102.6,102.6
2022-09-13,"2.000,00","2.000,00","2.000,00","2.000,00","-29,82",49,98.0,98.0
2022-11-10,"2.060,00","2.060,00","2.060,00","2.060,00","3,00",39,80.34,80.34
2022-11-29,"2.100,00","2.100,00","2.100,00","2.100,00","1,94",27,56.7,56.7
2022-12-23,"2.500,00","2.500,00","2.500,00","2.500,00","19,05",8,20.0,20.0
2023-02-07,"2.504,00","2.504,00","2.504,00","2.504,00","0,16",61,152.744,152.744
2023-02-08,"2.605,00","2.605,00","2.605,00","2.605,00","4,03",13,33.865,33.865
2023-02-23,"3.050,00","3.050,00","3.050,00","3.050,00","17,08",39,118.95,118.95
2023-02-24,"3.100,00","3.100,00","3.100,00","3.100,00","1,64",21,65.1,65.1
2023-03-14,"3.650,00","3.650,00","3.650,00","3.650,00","17,74",50,182.5,182.5
2023-06-15,"2.800,00","2.800,00","2.800,00","2.800,00","-23,29",224,627.2,627.2
2023-06-26,"2.716,00","2.716,00","2.716,00","2.716,00","-3,00",5,13.58,13.58
2023-12-01,"2.750,00","2.750,00","2.750,00","2.750,00","1,25",8,22.0,22.0
2024-02-07,"3.500,00","3.500,00","3.500,00","3.500,00","27,27",10,35.0,35.0
2024-02-08,"3.500,00","3.500,00","3.500,00","3.500,00","0,00",36,126.0,126.0
2024-02-09,"4.000,00","4.000,00","4.000,00","4.000,00","14,29",15,60.0,60.0
2024-02-23,"4.299,00","4.299,00","4.299,00","4.299,00","7,48",8,34.392,34.392
2024-03-26,"3.802,00","3.802,00","3.802,00","3.802,00","-11,56",8,30.416,30.416
2024-06-14,"3.601,00","3.601,00","3.601,00","3.601,00","-5,29",19,68.419,68.419
2024-06-25,"3.600,00","3.600,00","3.600,00","3.600,00","-0,03",16,57.6,57.6
2024-07-04,"3.780,00","3.780,00","3.780,00","3.780,00","5,00",30,113.4,113.4
2024-07-10,"3.800,00","3.800,00","3.800,00","3.800,00","0,53",100,380.0,380.0
2024-07-11,"3.800,00","3.800,00","3.800,00","3.800,00","0,00",155,589.0,589.0
2024-07-19,"3.700,00","3.700,00","3.700,00","3.700,00","-2,63",166,614.2,614.2
2024-07-26,"3.700,00","3.700,00","3.700,00","3.700,00","0,00",46,170.2,170.2
2024-08-23,"3.700,00","3.700,00","3.700,00","3.700,00","0,00",10,37.0,37.0
2024-08-26,"3.700,00","3.700,00","3.700,00","3.700,00","0,00",110,407.0,407.0
2024-08-27,"3.700,00","3.700,00","3.700,00","3.700,00","0,00",146,540.2,540.2
2024-09-13,"3.702,00","3.702,00","3.702,00","3.702,00","0,05",19,70.338,70.338
2024-09-16,"3.700,00","3.700,00","3.700,00","3.700,00","-0,05",24,88.8,88.8
2024-09-18,"3.699,00","3.699,00","3.699,00","3.699,00","-0,03",119,440.181,440.181
2024-09-24,"3.699,00","3.699,00","3.690,00","3.696,66","-0,06",50,184.833,184.833
2024-09-25,"3.699,00","3.699,00","3.695,00","3.696,18","-0,01",197,728.148,728.148
2024-09-26,"3.900,00","3.900,00","3.699,00","3.774,50","2,12",40,150.98,150.98
2024-10-03,"3.700,00","3.700,00","3.700,00","3.700,00","-1,97",166,614.2,614.2
2024-10-24,"3.700,00","3.700,00","3.700,00","3.700,00","0,00",19,70.3,70.3
2024-11-13,"3.702,00","3.703,00","3.702,00","3.702,30","0,02",82,303.589,303.589
