Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2016-04-06,"620,00","620,00","620,00","620,00","0,00",129,79.98,79.98
2016-11-03,"620,00","620,00","620,00","620,00","0,00",50,31.0,31.0
2019-10-01,"620,00","620,00","620,00","620,00","0,00",161,99.82,99.82
2019-10-10,"1.500,00","1.500,00","1.500,00","1.500,00","141,94",224,336.0,336.0
2019-10-25,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",484,726.0,726.0
2019-10-29,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",55,82.5,82.5
2019-10-31,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",194,291.0,291.0
2019-11-05,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",183,274.5,274.5
2019-11-06,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",73,109.5,109.5
2019-11-22,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",449,673.5,673.5
2019-11-25,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",224,336.0,336.0
2019-12-02,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",150,225.0,225.0
2019-12-10,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",182,273.0,273.0
2019-12-13,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",4,6.0,6.0
2019-12-17,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",62,93.0,93.0
2019-12-27,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",13,19.5,19.5
2020-02-05,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",190,285.0,285.0
2020-02-25,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",3,4.5,4.5
2020-03-09,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",116,174.0,174.0
2020-08-05,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",80,120.0,120.0
2021-03-22,"4.500,00","4.500,00","4.500,00","4.500,00","200,00",16,72.0,72.0
2022-08-03,"4.500,00","4.500,00","4.500,00","4.500,00","0,00",128,576.0,576.0
