Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2014-11-18,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",10,15.0,15.0
2014-12-02,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",60,90.0,90.0
2014-12-10,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",14,21.0,21.0
2014-12-17,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",35,52.5,52.5
2014-12-26,"1.500,00","1.500,00","1.500,00","1.500,00","0,00",32,48.0,48.0
2015-06-24,"1.060,00","1.060,00","1.060,00","1.060,00","-29,33",10,10.6,10.6
2015-07-24,"1.000,00","1.000,00","1.000,00","1.000,00","-5,66",50,50.0,50.0
2015-08-10,"900,00","900,00","900,00","900,00","-10,00",100,90.0,90.0
2015-08-12,"900,00","900,00","900,00","900,00","0,00",28,25.2,25.2
2015-08-13,"980,00","980,00","980,00","980,00","8,89",50,49.0,49.0
2015-08-25,"1.009,00","1.009,00","1.009,00","1.009,00","2,96",16,16.144,16.144
2015-09-11,"1.009,00","1.009,00","1.009,00","1.009,00","0,00",15,15.135,15.135
2015-10-02,"1.010,00","1.010,00","1.010,00","1.010,00","0,10",20,20.2,20.2
2015-10-29,"1.000,00","1.000,00","1.000,00","1.000,00","-0,99",100,100.0,100.0
2015-11-04,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",53,53.0,53.0
2015-11-10,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",162,162.0,162.0
2015-12-03,"1.051,00","1.051,00","1.051,00","1.051,00","5,10",120,126.12,126.12
2015-12-07,"1.050,00","1.050,00","1.050,00","1.050,00","-0,10",152,159.6,159.6
2015-12-15,"1.050,00","1.050,00","1.050,00","1.050,00","0,00",15,15.75,15.75
2015-12-16,"1.233,00","1.233,00","1.233,00","1.233,00","17,43",28,34.524,34.524
2016-01-14,"1.233,00","1.233,00","1.233,00","1.233,00","0,00",10,12.33,12.33
2016-01-15,"1.400,00","1.400,00","1.400,00","1.400,00","13,54",60,84.0,84.0
2016-03-03,"1.236,00","1.236,00","1.236,00","1.236,00","-11,71",20,24.72,24.72
2016-03-15,"1.200,00","1.200,00","1.200,00","1.200,00","-2,91",18,21.6,21.6
2016-05-11,"1.500,00","1.500,00","1.500,00","1.500,00","25,00",10,15.0,15.0
2016-07-26,"1.545,00","1.545,00","1.545,00","1.545,00","3,00",13,20.085,20.085
2016-09-12,"1.850,00","1.850,00","1.850,00","1.850,00","19,74",17,31.45,31.45
2016-09-13,"1.850,00","1.850,00","1.850,00","1.850,00","0,00",60,111.0,111.0
2016-09-15,"1.850,00","1.850,00","1.850,00","1.850,00","0,00",4,7.4,7.4
2016-10-05,"1.502,00","1.502,00","1.502,00","1.502,00","-18,81",20,30.04,30.04
2016-10-14,"1.457,00","1.457,00","1.457,00","1.457,00","-3,00",242,352.594,352.594
2016-10-18,"1.414,00","1.414,00","1.414,00","1.414,00","-2,95",360,509.04,509.04
2016-10-19,"1.456,00","1.456,00","1.456,00","1.456,00","2,97",100,145.6,145.6
2016-10-28,"1.500,00","1.500,00","1.500,00","1.500,00","3,02",50,75.0,75.0
2016-11-09,"1.550,00","1.550,00","1.550,00","1.550,00","3,33",15,23.25,23.25
