Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2014-11-17,"2.150,00","2.151,00","2.150,00","2.150,22","-0,25",244,524.653,524.653
2014-11-18,"2.110,00","2.150,00","2.110,00","2.146,77","-0,16",413,886.615,886.615
2014-11-20,"2.085,00","2.100,00","2.085,00","2.091,40","0,38",50,104.57,104.57
2014-11-21,"2.100,00","2.100,00","2.087,00","2.094,84","0,16",63,131.975,131.975
2014-11-25,"2.125,00","2.125,00","2.125,00","2.125,00","1,19",110,233.75,233.75
2014-11-26,"2.124,00","2.124,00","2.124,00","2.124,00","-0,05",70,148.68,148.68
2014-11-27,"2.100,00","2.100,00","2.100,00","2.100,00","-1,13",87,182.7,182.7
2014-11-28,"2.099,00","2.100,00","2.086,00","2.098,82","-0,06",263,551.99,551.99
2014-12-01,"2.085,00","2.100,00","2.085,00","2.092,50","-0,30",20,41.85,41.85
2014-12-04,"2.085,00","2.085,00","2.085,00","2.085,00","-0,36",179,373.215,373.215
2014-12-05,"2.050,00","2.070,00","2.050,00","2.053,07","-1,53",116,238.156,238.156
2014-12-11,"2.080,00","2.080,00","2.080,00","2.080,00","-0,44",10,20.8,20.8
2014-12-12,"2.080,00","2.080,00","2.080,00","2.080,00","0,00",1,2.08,2.08
2014-12-16,"2.099,00","2.099,00","2.050,00","2.081,68","0,08",120,249.802,249.802
2014-12-17,"2.051,00","2.100,00","2.050,00","2.056,44","-1,21",200,411.289,411.289
2014-12-18,"2.050,00","2.052,00","2.050,00","2.050,60","-0,28",192,393.715,393.715
2014-12-19,"2.051,00","2.051,00","2.050,00","2.050,54","0,00",368,754.598,754.598
2014-12-23,"2.030,00","2.040,00","2.020,00","2.029,82","-0,37",285,578.5,578.5
2014-12-24,"2.030,00","2.030,00","2.030,00","2.030,00","0,01",216,438.48,438.48
2014-12-25,"2.020,00","2.029,00","2.020,00","2.028,54","-0,07",239,484.822,484.822
2014-12-26,"1.915,00","2.035,00","1.915,00","1.935,17","-4,60",115,222.545,222.545
2015-01-02,"2.000,00","2.000,00","1.999,00","1.999,71","2,46",241,481.93,481.93
2015-01-05,"2.000,00","2.000,00","2.000,00","2.000,00","0,01",24,48.0,48.0
2015-01-08,"1.985,00","2.000,00","1.985,00","1.999,00","-0,05",150,299.85,299.85
2015-01-12,"2.000,00","2.000,00","1.980,00","1.981,57","0,52",255,505.3,505.3
2015-01-13,"2.000,00","2.000,00","1.980,00","1.995,40","0,70",283,564.697,564.697
2015-01-15,"2.030,00","2.055,00","2.030,00","2.045,99","2,54",405,828.625,828.625
2015-01-21,"2.090,00","2.130,00","2.090,00","2.100,43","1,25",211,443.19,443.19
2015-01-22,"2.080,00","2.100,00","2.080,00","2.098,84","-0,08",276,579.281,579.281
2015-01-23,"2.130,00","2.135,00","2.130,00","2.130,69","1,52",174,370.74,370.74
2015-01-26,"2.070,00","2.135,00","2.070,00","2.078,19","-2,46",461,958.046,958.046
2015-01-28,"2.135,00","2.135,00","2.100,00","2.111,55","1,20",367,774.94,774.94
2015-01-29,"2.134,00","2.135,00","2.133,00","2.133,92","1,06",386,823.695,823.695
2015-01-30,"2.101,00","2.135,00","2.101,00","2.134,06","0,01",125,266.758,266.758
2015-02-04,"2.051,00","2.098,00","2.050,00","2.069,26","-0,82",445,920.819,920.819
2015-02-06,"2.089,00","2.100,00","2.088,00","2.090,06","1,09",271,566.406,566.406
2015-02-10,"2.040,00","2.084,00","2.040,00","2.054,30","-1,43",428,879.239,879.239
2015-02-11,"2.050,00","2.050,00","2.050,00","2.050,00","-0,21",89,182.45,182.45
2015-02-13,"2.040,00","2.050,00","2.040,00","2.048,00","-0,10",50,102.4,102.4
2015-02-18,"1.950,00","1.950,00","1.948,00","1.948,53","-0,33",132,257.206,257.206
2015-02-19,"1.975,00","1.976,00","1.970,00","1.973,42","1,28",263,519.01,519.01
2015-02-20,"2.000,00","2.000,00","2.000,00","2.000,00","1,35",275,550.0,550.0
2015-02-24,"1.961,00","2.000,00","1.961,00","1.977,75","-1,10",295,583.435,583.435
2015-02-25,"2.000,00","2.000,00","2.000,00","2.000,00","1,13",10,20.0,20.0
2015-02-26,"1.980,00","1.980,00","1.975,00","1.976,60","-1,17",125,247.075,247.075
2015-02-27,"2.000,00","2.000,00","2.000,00","2.000,00","1,18",141,282.0,282.0
2015-03-02,"2.000,00","2.000,00","1.965,00","1.995,00","-0,25",14,27.93,27.93
2015-03-03,"2.000,00","2.000,00","1.980,00","1.999,73","0,24",300,599.92,599.92
2015-03-04,"2.000,00","2.000,00","1.965,00","1.998,43","-0,07",223,445.65,445.65
2015-03-05,"2.000,00","2.000,00","2.000,00","2.000,00","0,08",5,10.0,10.0
2015-03-10,"1.980,00","1.980,00","1.962,00","1.977,43","-1,13",70,138.42,138.42
2015-03-12,"1.951,00","1.951,00","1.950,00","1.950,54","-0,67",302,589.063,589.063
2015-03-13,"1.950,00","1.951,00","1.950,00","1.950,40","-0,01",133,259.403,259.403
2015-03-16,"1.950,00","1.950,00","1.950,00","1.950,00","-0,02",318,620.1,620.1
2015-03-19,"1.900,00","1.900,00","1.900,00","1.900,00","-0,03",115,218.5,218.5
2015-03-24,"1.930,00","1.930,00","1.930,00","1.930,00","-0,93",118,227.74,227.74
2015-03-26,"1.900,00","1.900,00","1.900,00","1.900,00","-0,79",71,134.9,134.9
2015-03-30,"1.878,00","1.878,00","1.878,00","1.878,00","0,80",30,56.34,56.34
2015-04-01,"1.849,00","1.849,00","1.849,00","1.849,00","-0,38",15,27.735,27.735
2015-04-06,"1.800,00","1.800,00","1.800,00","1.800,00","-0,13",11,19.8,19.8
2015-04-15,"1.811,00","1.815,00","1.811,00","1.812,62","0,59",185,335.335,335.335
2015-04-20,"1.800,00","1.810,00","1.800,00","1.802,50","-0,31",320,576.8,576.8
2015-04-22,"1.790,00","1.829,00","1.790,00","1.798,91","0,11",163,293.223,293.223
