Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2014-11-19,"495,00","495,00","495,00","495,00","0,00",1.269,628.155,628.155
2014-11-25,"495,00","495,00","495,00","495,00","0,00",90,44.55,44.55
2014-12-01,"495,00","495,00","495,00","495,00","0,00",126,62.37,62.37
2015-02-16,"495,00","495,00","495,00","495,00","0,00",184,91.08,91.08
2015-02-18,"495,00","495,00","495,00","495,00","0,00",342,169.29,169.29
2015-03-03,"495,00","495,00","495,00","495,00","0,00",90,44.55,44.55
2015-03-05,"495,00","495,00","495,00","495,00","0,00",120,59.4,59.4
2015-03-09,"495,00","495,00","495,00","495,00","0,00",176,87.12,87.12
2015-03-16,"495,00","495,00","495,00","495,00","0,00",118,58.41,58.41
2015-03-26,"495,00","495,00","495,00","495,00","0,00",40,19.8,19.8
2015-03-31,"495,00","495,00","495,00","495,00","0,00",160,79.2,79.2
2015-04-21,"495,00","495,00","495,00","495,00","0,00",80,39.6,39.6
2015-04-28,"495,00","495,00","495,00","495,00","0,00",26,12.87,12.87
2015-05-05,"495,00","495,00","495,00","495,00","0,00",80,39.6,39.6
2015-05-13,"495,00","495,00","495,00","495,00","0,00",172,85.14,85.14
2015-05-22,"495,00","495,00","495,00","495,00","0,00",100,49.5,49.5
2015-06-02,"495,00","495,00","495,00","495,00","0,00",98,48.51,48.51
2015-07-07,"495,00","495,00","495,00","495,00","0,00",170,84.15,84.15
2015-07-30,"495,00","495,00","495,00","495,00","0,00",12,5.94,5.94
2015-08-14,"495,00","495,00","495,00","495,00","0,00",142,70.29,70.29
2015-09-11,"495,00","495,00","495,00","495,00","0,00",140,69.3,69.3
2015-09-24,"495,00","495,00","495,00","495,00","0,00",178,88.11,88.11
2015-09-29,"495,00","495,00","495,00","495,00","0,00",224,110.88,110.88
2015-10-05,"495,00","495,00","495,00","495,00","0,00",71,35.145,35.145
2015-11-17,"495,00","495,00","495,00","495,00","0,00",148,73.26,73.26
2015-11-19,"495,00","495,00","495,00","495,00","0,00",144,71.28,71.28
2016-04-18,"495,00","495,00","495,00","495,00","0,00",524,259.38,259.38
2016-04-21,"495,00","495,00","495,00","495,00","0,00",146,72.27,72.27
2017-05-16,"495,00","495,00","495,00","495,00","0,00",30,14.85,14.85
2018-07-02,"400,00","400,00","400,00","400,00","-19,19",390,156.0,156.0
2019-09-02,"400,00","400,00","400,00","400,00","0,00",1,400.0,400.0
2020-05-13,"400,00","400,00","400,00","400,00","0,00",162,64.8,64.8
2020-06-18,"399,00","399,00","399,00","399,00","-0,25",140,55.86,55.86
2020-12-07,"480,00","480,00","480,00","480,00","20,30",100,48.0,48.0
