Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2015-05-18,"149,00","149,00","149,00","149,00","-0,67",666,99.234,99.234
2016-02-16,"699,00","699,00","699,00","699,00","369,13",525,366.975,366.975
2017-03-07,"676,00","676,00","676,00","676,00","-3,29",1,676.0,676.0
2017-06-08,"500,00","500,00","500,00","500,00","-26,04",1.200,600.0,600.0
2017-07-14,"500,00","500,00","500,00","500,00","0,00",1.000,500.0,500.0
2017-08-30,"485,00","485,00","485,00","485,00","-3,00",15,7.275,7.275
2017-08-31,"485,00","485,00","485,00","485,00","0,00",60,29.1,29.1
2017-09-15,"499,00","499,00","499,00","499,00","2,89",1.700,848.3,848.3
2017-09-22,"485,00","485,00","485,00","485,00","-2,81",72,34.92,34.92
2017-10-31,"485,00","485,00","485,00","485,00","0,00",600,291.0,291.0
2018-02-07,"471,00","471,00","471,00","471,00","-2,89",85,40.035,40.035
2018-03-05,"471,00","471,00","471,00","471,00","0,00",89,41.919,41.919
2018-03-06,"471,00","471,00","471,00","471,00","0,00",111,52.281,52.281
2018-03-07,"471,00","471,00","471,00","471,00","0,00",300,141.3,141.3
2018-05-23,"300,00","300,00","300,00","300,00","-36,31",7,2.1,2.1
2018-06-06,"364,00","364,00","364,00","364,00","21,33",162,58.968,58.968
2018-06-07,"300,00","300,00","300,00","300,00","-17,58",3,900.0,900.0
2018-09-13,"290,00","290,00","290,00","290,00","-3,33",252,73.08,73.08
2018-12-20,"298,00","298,00","298,00","298,00","2,76",120,35.76,35.76
2019-01-22,"298,00","298,00","298,00","298,00","0,00",174,51.852,51.852
2019-03-14,"306,00","306,00","306,00","306,00","2,68",168,51.408,51.408
2019-05-17,"850,00","850,00","850,00","850,00","177,78",5,4.25,4.25
2020-07-10,"321,00","321,00","321,00","321,00","-62,24",47,15.087,15.087
2020-07-21,"515,00","515,00","515,00","515,00","60,44",100,51.5,51.5
2020-07-22,"530,00","530,00","530,00","530,00","2,91",206,109.18,109.18
2020-07-23,"540,00","540,00","540,00","540,00","1,89",144,77.76,77.76
2020-07-30,"441,00","441,00","441,00","441,00","-18,33",300,132.3,132.3
2020-10-29,"445,00","445,00","445,00","445,00","0,91",76,33.82,33.82
2021-01-22,"350,00","350,00","350,00","350,00","-21,35",474,165.9,165.9
2021-03-09,"342,00","342,00","342,00","342,00","-2,29",282,96.444,96.444
2021-10-19,"332,00","332,00","332,00","332,00","-2,92",300,99.6,99.6
2021-10-25,"333,00","333,00","333,00","333,00","0,30",1.915,637.695,637.695
2022-03-22,"333,00","333,00","333,00","333,00","0,00",558,185.814,185.814
2022-12-14,"333,00","333,00","333,00","333,00","0,00",480,159.84,159.84
2024-04-25,"333,00","333,00","333,00","333,00","0,00",720,239.76,239.76
2024-07-24,"350,00","350,00","350,00","350,00","5,11",27,9.45,9.45
