Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2015-01-21,"10.200,00","10.200,00","10.200,00","10.200,00","1,88",1,10.2,10.2
2015-02-11,"10.240,00","10.240,00","10.240,00","10.240,00","0,39",2,20.48,20.48
2015-02-12,"10.240,00","10.240,00","10.240,00","10.240,00","0,00",30,307.2,307.2
2015-02-27,"9.000,00","9.000,00","9.000,00","9.000,00","-12,11",5,45.0,45.0
2015-04-20,"8.730,00","8.730,00","8.730,00","8.730,00","-3,00",3,26.19,26.19
2015-04-22,"8.469,00","8.469,00","8.469,00","8.469,00","-2,99",10,84.69,84.69
2015-06-10,"8.215,00","8.215,00","8.215,00","8.215,00","-3,00",1,8.215,8.215
2015-06-23,"7.969,00","7.969,00","7.969,00","7.969,00","-2,99",5,39.845,39.845
2015-06-30,"8.500,00","8.500,00","8.500,00","8.500,00","6,66",40,340.0,340.0
2015-08-17,"8.000,00","8.000,00","8.000,00","8.000,00","-5,88",5,40.0,40.0
2015-08-20,"8.701,00","8.701,00","8.701,00","8.701,00","8,76",7,60.907,60.907
2015-10-19,"8.700,00","8.700,00","8.700,00","8.700,00","-0,01",44,382.8,382.8
2016-02-25,"8.700,00","8.700,00","8.700,00","8.700,00","0,00",16,139.2,139.2
2016-02-26,"8.700,00","8.700,00","8.700,00","8.700,00","0,00",20,174.0,174.0
2016-02-29,"8.700,00","8.700,00","8.700,00","8.700,00","0,00",23,200.1,200.1
2016-03-09,"8.700,00","8.700,00","8.700,00","8.700,00","0,00",2,17.4,17.4
2016-03-22,"8.700,00","8.700,00","8.700,00","8.700,00","0,00",6,52.2,52.2
2016-04-06,"8.701,00","8.701,00","8.701,00","8.701,00","0,01",4,34.804,34.804
2016-04-18,"8.917,00","8.917,00","8.917,00","8.917,00","2,48",5,44.585,44.585
2016-05-04,"8.701,00","8.701,00","8.701,00","8.701,00","-2,42",10,87.01,87.01
2016-06-06,"8.700,00","8.700,00","8.700,00","8.700,00","-0,01",7,60.9,60.9
2016-06-08,"8.700,00","8.700,00","8.700,00","8.700,00","0,00",30,261.0,0.0
2016-06-10,"8.714,00","8.714,00","8.714,00","8.714,00","0,16",1,8.714,8.714
2016-07-06,"8.714,00","8.714,00","8.714,00","8.714,00","0,00",5,43.57,43.57
2016-08-30,"9.046,00","9.046,00","9.046,00","9.046,00","3,81",21,189.966,189.966
2016-09-09,"9.045,00","9.045,00","9.045,00","9.045,00","-0,01",1,9.045,9.045
2016-09-22,"9.138,00","9.138,00","9.138,00","9.138,00","1,03",3,27.414,27.414
2016-10-07,"8.870,00","8.870,00","8.870,00","8.870,00","-2,93",3,26.61,26.61
2016-11-11,"8.604,00","8.604,00","8.604,00","8.604,00","-3,00",33,283.932,283.932
2016-12-06,"8.604,00","8.604,00","8.604,00","8.604,00","0,00",12,103.248,103.248
2017-02-06,"8.600,00","8.600,00","8.600,00","8.600,00","-0,05",48,412.8,412.8
2017-03-23,"8.342,00","8.342,00","8.342,00","8.342,00","-3,00",4,33.368,33.368
2017-07-07,"8.340,00","8.340,00","8.340,00","8.340,00","-0,02",2,16.68,16.68
2017-07-10,"9.500,00","9.500,00","9.500,00","9.500,00","13,91",22,209.0,209.0
2017-07-11,"10.001,00","10.001,00","10.001,00","10.001,00","5,27",11,110.011,110.011
2017-07-14,"10.001,00","10.001,00","10.001,00","10.001,00","0,00",10,100.01,100.01
2017-08-21,"11.000,00","11.000,00","11.000,00","11.000,00","9,99",25,275.0,275.0
