Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2015-02-04,"200,00","200,00","200,00","200,00","-20,00",70,14.0,14.0
2015-04-16,"200,00","200,00","200,00","200,00","0,00",5,1.0,1.0
2015-05-21,"100,00","100,00","100,00","100,00","-50,00",15,1.5,1.5
2015-06-04,"150,00","150,00","150,00","150,00","50,00",166,24.9,24.9
2015-09-10,"100,00","100,00","100,00","100,00","-33,33",50,5.0,5.0
2015-09-23,"100,00","100,00","100,00","100,00","0,00",11,1.1,1.1
2015-09-24,"103,00","103,00","103,00","103,00","3,00",330,33.99,33.99
2015-10-02,"103,00","103,00","103,00","103,00","0,00",8,824.0,824.0
2016-03-22,"100,00","100,00","100,00","100,00","-2,91",100,10.0,10.0
2016-04-26,"100,00","100,00","100,00","100,00","0,00",192,19.2,19.2
2016-06-23,"94,00","94,00","94,00","94,00","-6,00",50,4.7,4.7
2016-09-23,"127,00","127,00","127,00","127,00","35,11",70,8.89,8.89
2017-03-21,"131,00","131,00","131,00","131,00","3,15",46,6.026,6.026
2017-05-23,"134,00","134,00","134,00","134,00","2,29",116,15.544,15.544
2017-09-01,"250,00","250,00","250,00","250,00","86,57",17,4.25,4.25
2017-09-05,"335,00","335,00","335,00","335,00","34,00",20,6.7,6.7
2017-09-25,"600,00","600,00","600,00","600,00","79,10",10,6.0,6.0
2017-10-13,"600,00","600,00","600,00","600,00","0,00",377,226.2,226.2
2017-10-16,"600,00","600,00","600,00","600,00","0,00",823,493.8,493.8
2017-11-21,"600,00","600,00","600,00","600,00","0,00",50,30.0,30.0
2017-11-24,"582,00","582,00","582,00","582,00","-3,00",13,7.566,7.566
2017-11-28,"582,00","582,00","582,00","582,00","0,00",187,108.834,108.834
2017-12-07,"600,00","600,00","600,00","600,00","3,09",23,13.8,13.8
2019-11-27,"250,00","250,00","250,00","250,00","-58,33",100,25.0,25.0
2019-11-29,"200,00","200,00","200,00","200,00","-20,00",100,20.0,20.0
2019-12-17,"100,00","100,00","100,00","100,00","-50,00",80,8.0,8.0
2020-02-17,"106,00","106,00","106,00","106,00","6,00",60,6.36,6.36
2020-05-06,"106,00","106,00","106,00","106,00","0,00",33,3.498,3.498
2020-09-03,"106,00","106,00","106,00","106,00","0,00",32,3.392,3.392
2020-09-04,"106,00","106,00","106,00","106,00","0,00",15,1.59,1.59
2020-10-13,"135,00","135,00","135,00","135,00","27,36",91,12.285,12.285
2021-02-09,"200,00","200,00","200,00","200,00","48,15",54,10.8,10.8
2021-03-10,"250,00","250,00","250,00","250,00","25,00",30,7.5,7.5
2021-04-09,"206,00","206,00","206,00","206,00","-17,60",35,7.21,7.21
2021-06-28,"206,00","206,00","206,00","206,00","0,00",30,6.18,6.18
2021-11-09,"206,00","206,00","206,00","206,00","0,00",150,30.9,30.9
2022-06-16,"200,00","200,00","200,00","200,00","-2,91",71,14.2,14.2
2023-02-06,"180,00","180,00","180,00","180,00","-10,00",135,24.3,24.3
2024-09-25,"150,00","150,00","150,00","150,00","-16,67",50,7.5,7.5
2024-10-25,"150,00","150,00","150,00","150,00","0,00",50,7.5,7.5
