Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2015-01-02,"2.040,00","2.040,00","2.040,00","2.040,00","-2,86",208,424.32,424.32
2015-04-24,"2.100,00","2.100,00","2.100,00","2.100,00","2,94",104,218.4,218.4
2015-12-16,"2.100,00","2.100,00","2.100,00","2.100,00","0,00",50,105.0,105.0
2016-01-27,"2.100,00","2.100,00","2.100,00","2.100,00","0,00",55,115.5,115.5
2016-02-11,"2.100,00","2.100,00","2.100,00","2.100,00","0,00",49,102.9,102.9
2016-02-19,"2.100,00","2.100,00","2.100,00","2.100,00","0,00",43,90.3,90.3
2016-04-01,"2.100,00","2.100,00","2.100,00","2.100,00","0,00",42,88.2,88.2
2016-04-22,"2.100,00","2.100,00","2.100,00","2.100,00","0,00",42,88.2,88.2
2016-08-19,"2.100,00","2.100,00","2.100,00","2.100,00","0,00",2,4.2,4.2
2016-09-06,"2.100,00","2.100,00","2.100,00","2.100,00","0,00",42,88.2,88.2
2016-09-29,"2.100,00","2.100,00","2.100,00","2.100,00","0,00",13,27.3,27.3
2017-04-28,"2.100,00","2.100,00","2.100,00","2.100,00","0,00",30,63.0,63.0
2017-07-03,"2.100,00","2.100,00","2.100,00","2.100,00","0,00",109,228.9,228.9
2018-02-12,"2.100,00","2.100,00","2.100,00","2.100,00","0,00",48,100.8,100.8
2018-02-19,"2.400,00","2.400,00","2.400,00","2.400,00","14,29",30,72.0,72.0
2018-04-12,"2.400,00","2.400,00","2.400,00","2.400,00","0,00",35,84.0,84.0
2018-09-18,"2.400,00","2.400,00","2.400,00","2.400,00","0,00",48,115.2,115.2
2019-06-26,"2.400,00","2.400,00","2.400,00","2.400,00","0,00",5,12.0,12.0
2019-07-01,"2.400,00","2.400,00","2.400,00","2.400,00","0,00",150,360.0,360.0
2019-11-28,"2.400,00","2.400,00","2.400,00","2.400,00","0,00",50,120.0,120.0
2020-05-28,"2.400,00","2.400,00","2.400,00","2.400,00","0,00",1,2.4,2.4
2020-10-20,"2.400,00","2.400,00","2.400,00","2.400,00","0,00",48,115.2,115.2
2021-06-04,"2.400,00","2.400,00","2.400,00","2.400,00","0,00",49,117.6,117.6
2021-12-06,"2.400,00","2.400,00","2.400,00","2.400,00","0,00",2,4.8,4.8
2022-06-16,"2.472,00","2.472,00","2.472,00","2.472,00","3,00",50,123.6,123.6
2022-09-28,"2.400,00","2.400,00","2.400,00","2.400,00","-2,91",50,120.0,120.0
2022-10-04,"2.600,00","2.600,00","2.600,00","2.600,00","8,33",50,130.0,130.0
2022-10-20,"2.523,00","2.523,00","2.523,00","2.523,00","-2,96",49,123.627,123.627
2022-11-11,"2.700,00","2.700,00","2.700,00","2.700,00","7,02",200,540.0,540.0
2022-11-25,"2.619,00","2.619,00","2.619,00","2.619,00","-3,00",142,371.898,371.898
2022-11-29,"2.619,00","2.619,00","2.619,00","2.619,00","0,00",42,109.998,109.998
2022-11-30,"2.619,00","2.619,00","2.619,00","2.619,00","0,00",20,52.38,52.38
2022-12-05,"2.619,00","2.619,00","2.619,00","2.619,00","0,00",49,128.331,128.331
2022-12-07,"2.619,00","2.619,00","2.619,00","2.619,00","0,00",89,233.091,233.091
2022-12-09,"2.619,00","2.619,00","2.619,00","2.619,00","0,00",72,188.568,188.568
2022-12-22,"2.619,00","2.619,00","2.619,00","2.619,00","0,00",21,54.999,54.999
2023-04-26,"2.619,00","2.619,00","2.619,00","2.619,00","0,00",2,5.238,5.238
2023-10-13,"2.619,00","2.619,00","2.619,00","2.619,00","0,00",53,138.807,138.807
2024-02-02,"2.619,00","2.619,00","2.619,00","2.619,00","0,00",48,125.712,125.712
2024-04-22,"2.619,00","2.619,00","2.619,00","2.619,00","0,00",100,261.9,261.9
2024-09-25,"2.619,00","2.619,00","2.619,00","2.619,00","0,00",37,96.903,96.903
