Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2014-11-18,"570,00","570,00","570,00","570,00","0,00",20,11.4,11.4
2014-12-12,"570,00","570,00","570,00","570,00","0,00",57,32.49,32.49
2015-02-06,"570,00","570,00","570,00","570,00","0,00",35,19.95,19.95
2015-06-02,"570,00","570,00","570,00","570,00","0,00",16,9.12,9.12
2015-10-28,"570,00","570,00","570,00","570,00","0,00",20,11.4,11.4
2015-11-16,"570,00","570,00","570,00","570,00","0,00",65,37.05,37.05
2016-06-24,"570,00","570,00","570,00","570,00","0,00",173,98.61,98.61
2016-07-15,"570,00","570,00","570,00","570,00","0,00",16,9.12,9.12
2016-08-01,"570,00","570,00","570,00","570,00","0,00",103,58.71,58.71
2016-08-12,"570,00","570,00","570,00","570,00","0,00",23,13.11,13.11
2016-10-07,"570,00","570,00","570,00","570,00","0,00",18,10.26,10.26
2017-02-27,"570,00","570,00","570,00","570,00","0,00",110,62.7,62.7
2018-05-15,"570,00","570,00","570,00","570,00","0,00",168,95.76,95.76
2018-07-04,"570,00","570,00","570,00","570,00","0,00",8,4.56,4.56
2019-09-03,"570,00","570,00","570,00","570,00","0,00",112,63.84,63.84
2021-09-17,"553,00","553,00","553,00","553,00","-2,98",96,53.088,53.088
2021-12-23,"553,00","553,00","553,00","553,00","0,00",94,51.982,51.982
2022-10-28,"600,00","600,00","600,00","600,00","8,50",82,49.2,49.2
2023-12-27,"600,00","600,00","600,00","600,00","0,00",10,6.0,6.0
