Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2014-11-24,"600,00","600,00","600,00","600,00","6,19",75,45.0,45.0
2015-04-21,"600,00","600,00","600,00","600,00","0,00",120,72.0,72.0
2015-07-21,"600,00","600,00","600,00","600,00","0,00",40,24.0,24.0
2017-08-15,"1.000,00","1.000,00","1.000,00","1.000,00","66,67",24,24.0,24.0
2017-08-16,"1.000,00","1.000,00","1.000,00","1.000,00","0,00",75,75.0,75.0
2018-02-20,"800,00","800,00","800,00","800,00","-20,00",210,168.0,168.0
2018-04-25,"800,00","800,00","800,00","800,00","0,00",200,160.0,160.0
2018-05-16,"886,00","886,00","886,00","886,00","10,75",153,135.558,135.558
2018-05-30,"886,00","886,00","886,00","886,00","0,00",10,8.86,8.86
2018-08-17,"2.006,00","2.006,00","2.006,00","2.006,00","126,41",30,60.18,60.18
2018-08-20,"2.000,00","2.000,00","2.000,00","2.000,00","-0,30",15,30.0,30.0
2018-08-21,"2.000,00","2.000,00","2.000,00","2.000,00","0,00",9,18.0,18.0
2018-08-22,"1.999,00","1.999,00","1.999,00","1.999,00","-0,05",37,73.963,73.963
2018-09-06,"2.000,00","2.000,00","2.000,00","2.000,00","0,05",104,208.0,208.0
2018-09-07,"2.000,00","2.000,00","2.000,00","2.000,00","0,00",87,174.0,174.0
2018-09-10,"2.000,00","2.000,00","2.000,00","2.000,00","0,00",7,14.0,14.0
2018-09-12,"2.000,00","2.000,00","2.000,00","2.000,00","0,00",10,20.0,20.0
2018-09-19,"2.000,00","2.000,00","2.000,00","2.000,00","0,00",95,190.0,190.0
2018-09-20,"2.000,00","2.000,00","2.000,00","2.000,00","0,00",21,42.0,42.0
2018-09-24,"2.200,00","2.200,00","2.200,00","2.200,00","10,00",3,6.6,6.6
2018-11-15,"2.021,00","2.021,00","2.021,00","2.021,00","-8,14",150,303.15,303.15
2018-11-19,"1.999,00","1.999,00","1.999,00","1.999,00","-1,09",74,147.926,147.926
2018-11-22,"2.058,00","2.058,00","2.058,00","2.058,00","2,95",92,189.336,189.336
2018-11-28,"2.058,00","2.058,00","2.058,00","2.058,00","0,00",15,30.87,30.87
2019-03-18,"2.100,00","2.100,00","2.100,00","2.100,00","2,04",184,386.4,386.4
2019-03-19,"2.037,00","2.037,00","2.037,00","2.037,00","-3,00",30,61.11,61.11
2019-03-20,"2.106,00","2.106,00","2.106,00","2.106,00","3,39",328,690.768,690.768
2019-04-12,"2.366,00","2.366,00","2.366,00","2.366,00","12,35",260,615.16,615.16
2019-04-16,"2.451,00","2.451,00","2.451,00","2.451,00","3,59",150,367.65,367.65
2019-04-17,"2.524,00","2.524,00","2.524,00","2.524,00","2,98",92,232.208,232.208
2019-04-24,"2.599,00","2.599,00","2.599,00","2.599,00","2,97",30,77.97,77.97
2020-02-13,"2.676,00","2.676,00","2.676,00","2.676,00","2,96",313,837.588,837.588
2020-02-26,"2.596,00","2.596,00","2.596,00","2.596,00","-2,99",40,103.84,103.84
2020-03-04,"2.519,00","2.519,00","2.519,00","2.519,00","-2,97",40,100.76,100.76
2020-03-05,"2.444,00","2.444,00","2.444,00","2.444,00","-2,98",50,122.2,122.2
2020-03-25,"2.200,00","2.200,00","2.200,00","2.200,00","-9,98",15,33.0,33.0
2020-04-29,"2.500,00","2.500,00","2.500,00","2.500,00","13,64",6,15.0,15.0
2021-02-12,"2.500,00","2.500,00","2.500,00","2.500,00","0,00",50,125.0,125.0
2021-07-06,"2.200,00","2.200,00","2.200,00","2.200,00","-12,00",140,308.0,308.0
2021-08-26,"2.500,00","2.500,00","2.500,00","2.500,00","13,64",13,32.5,32.5
2021-09-03,"2.425,00","2.425,00","2.425,00","2.425,00","-3,00",48,116.4,116.4
2021-09-20,"2.521,00","2.521,00","2.521,00","2.521,00","3,96",20,50.42,50.42
2021-09-24,"2.521,00","2.521,00","2.521,00","2.521,00","0,00",69,173.949,173.949
2021-10-29,"2.500,00","2.500,00","2.500,00","2.500,00","-0,83",115,287.5,287.5
2023-11-13,"2.575,00","2.575,00","2.575,00","2.575,00","3,00",90,231.75,231.75
2024-06-03,"3.089,00","3.089,00","3.089,00","3.089,00","19,96",8,24.712,24.712
2024-06-07,"3.200,00","3.200,00","3.200,00","3.200,00","3,59",25,80.0,80.0
2024-09-20,"3.300,00","3.300,00","3.300,00","3.300,00","3,12",30,99.0,99.0
2024-09-23,"3.300,00","3.300,00","3.300,00","3.300,00","0,00",17,56.1,56.1
2024-11-04,"3.200,00","3.200,00","3.200,00","3.200,00","-3,03",53,169.6,169.6
