Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2014-12-11,"86,00","86,00","86,00","86,00","2,38",200,17.2,17.2
2014-12-23,"86,00","86,00","86,00","86,00","0,00",62,5.332,5.332
2014-12-30,"99,00","99,00","99,00","99,00","15,12",400,39.6,39.6
2015-01-27,"87,00","87,00","87,00","87,00","-12,12",15,1.305,1.305
2015-01-30,"87,00","87,00","87,00","87,00","0,00",2.480,215.76,215.76
2015-02-06,"80,00","80,00","80,00","80,00","-8,05",20,1.6,1.6
2015-03-18,"82,00","82,00","82,00","82,00","2,50",200,16.4,16.4
2015-04-28,"80,00","80,00","80,00","80,00","-2,44",90,7.2,7.2
2015-06-09,"100,00","100,00","100,00","100,00","25,00",300,30.0,30.0
2015-07-31,"100,00","100,00","100,00","100,00","0,00",35,3.5,3.5
2015-08-27,"111,00","111,00","111,00","111,00","11,00",1.300,144.3,144.3
2015-09-04,"91,00","91,00","91,00","91,00","-18,02",253,23.023,23.023
2015-09-14,"93,00","93,00","93,00","93,00","2,20",444,41.292,41.292
2015-09-23,"100,00","100,00","100,00","100,00","7,53",697,69.7,69.7
2015-09-28,"103,00","103,00","103,00","103,00","3,00",22,2.266,2.266
2015-10-02,"120,00","120,00","120,00","120,00","16,50",510,61.2,61.2
2015-11-30,"100,00","100,00","100,00","100,00","-16,67",50,5.0,5.0
2015-12-09,"100,00","100,00","100,00","100,00","0,00",50,5.0,5.0
2016-07-15,"97,00","97,00","97,00","97,00","-3,00",130,12.61,12.61
2016-09-05,"98,00","98,00","98,00","98,00","1,03",32,3.136,3.136
2016-10-18,"107,00","107,00","107,00","107,00","9,18",700,74.9,74.9
2016-10-19,"117,00","117,00","117,00","117,00","9,35",66,7.722,7.722
2016-10-21,"140,00","140,00","140,00","140,00","19,66",450,63.0,63.0
2016-10-26,"150,00","150,00","150,00","150,00","7,14",50,7.5,7.5
2016-10-27,"146,00","146,00","146,00","146,00","-2,67",50,7.3,7.3
2016-10-31,"146,00","146,00","146,00","146,00","0,00",683,99.718,99.718
2017-01-09,"142,00","142,00","142,00","142,00","-2,74",610,86.62,86.62
2017-01-11,"142,00","142,00","142,00","142,00","0,00",330,46.86,46.86
2017-01-12,"141,00","141,00","141,00","141,00","-0,70",183,25.803,25.803
2017-02-10,"157,00","157,00","157,00","157,00","11,35",58,9.106,9.106
2017-03-01,"153,00","153,00","153,00","153,00","-2,55",108,16.524,16.524
2017-03-09,"157,00","157,00","157,00","157,00","2,61",290,45.53,45.53
2017-03-15,"161,00","161,00","161,00","161,00","2,55",517,83.237,83.237
2017-03-23,"157,00","157,00","157,00","157,00","-2,48",30,4.71,4.71
2017-04-20,"161,00","161,00","161,00","161,00","2,55",200,32.2,32.2
2017-04-25,"165,00","165,00","165,00","165,00","2,48",100,16.5,16.5
2017-05-05,"169,00","169,00","169,00","169,00","2,42",470,79.43,79.43
2017-05-16,"170,00","170,00","170,00","170,00","0,59",160,27.2,27.2
2017-05-19,"190,00","190,00","190,00","190,00","11,76",50,9.5,9.5
2017-06-05,"228,00","228,00","228,00","228,00","20,00",50,11.4,11.4
2017-06-13,"190,00","190,00","190,00","190,00","-16,67",50,9.5,9.5
2017-06-29,"230,00","230,00","230,00","230,00","21,05",30,6.9,6.9
2017-07-11,"171,00","171,00","171,00","171,00","-25,65",10,1.71,1.71
2017-07-14,"176,00","176,00","176,00","176,00","2,92",445,78.32,78.32
2017-07-18,"201,00","201,00","201,00","201,00","14,20",241,48.441,48.441
2017-07-20,"202,00","202,00","202,00","202,00","0,50",70,14.14,0.0
2017-07-21,"250,00","250,00","250,00","250,00","23,76",185,46.25,0.0
2017-07-25,"280,00","280,00","280,00","280,00","12,00",170,47.6,47.6
2017-07-26,"288,00","288,00","288,00","288,00","2,86",50,14.4,14.4
2017-08-03,"300,00","300,00","300,00","300,00","4,17",402,120.6,120.6
2017-08-10,"300,00","300,00","300,00","300,00","0,00",525,157.5,157.5
2017-08-18,"300,00","300,00","300,00","300,00","0,00",330,99.0,99.0
2017-08-22,"291,00","291,00","291,00","291,00","-3,00",300,87.3,87.3
2017-08-24,"299,00","299,00","299,00","299,00","2,75",470,140.53,140.53
2017-09-21,"274,00","274,00","274,00","274,00","-8,36",250,68.5,68.5
2017-10-04,"247,00","247,00","247,00","247,00","-9,85",30,7.41,7.41
2017-10-05,"234,00","234,00","230,00","232,86","-5,72",701,163.234,163.234
