Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2014-12-04,"262,00","262,00","262,00","262,00","4,80",475,124.45,124.45
2014-12-30,"281,00","281,00","281,00","281,00","7,25",400,112.4,112.4
2015-01-21,"280,00","280,00","280,00","280,00","-0,36",160,44.8,44.8
2015-02-12,"300,00","300,00","300,00","300,00","7,14",1.000,300.0,300.0
2015-02-13,"300,00","300,00","300,00","300,00","0,00",200,60.0,60.0
2015-02-16,"300,00","300,00","300,00","300,00","0,00",200,60.0,60.0
2015-04-29,"298,00","298,00","298,00","298,00","-0,67",70,20.86,20.86
2015-06-29,"125,00","125,00","125,00","125,00","-58,05",23,2.875,2.875
2015-09-07,"155,00","155,00","155,00","155,00","24,00",90,13.95,13.95
2015-09-10,"155,00","155,00","155,00","155,00","0,00",210,32.55,32.55
2015-09-11,"155,00","155,00","155,00","155,00","0,00",260,40.3,40.3
2015-09-22,"170,00","170,00","170,00","170,00","9,68",423,71.91,71.91
2015-09-28,"165,00","165,00","165,00","165,00","-2,94",800,132.0,132.0
2015-10-01,"169,00","169,00","169,00","169,00","2,42",200,33.8,33.8
2015-10-07,"169,00","169,00","169,00","169,00","0,00",100,16.9,16.9
2015-11-11,"165,00","165,00","165,00","165,00","-2,37",300,49.5,49.5
2015-11-23,"170,00","170,00","170,00","170,00","3,03",110,18.7,18.7
2015-11-26,"173,00","173,00","173,00","173,00","1,76",130,22.49,0.0
2015-12-03,"180,00","180,00","180,00","180,00","4,05",300,54.0,54.0
2015-12-25,"180,00","180,00","180,00","180,00","0,00",200,36.0,36.0
2016-01-04,"200,00","200,00","200,00","200,00","11,11",70,14.0,14.0
2016-01-15,"170,00","170,00","170,00","170,00","-15,00",16,2.72,2.72
2016-01-21,"175,00","175,00","175,00","175,00","2,94",190,33.25,33.25
2016-01-28,"173,00","173,00","173,00","173,00","-1,14",20,3.46,3.46
2016-02-10,"185,00","185,00","185,00","185,00","6,94",60,11.1,11.1
2016-02-12,"170,00","170,00","170,00","170,00","-8,11",1.200,204.0,204.0
2016-02-18,"175,00","175,00","175,00","175,00","2,94",50,8.75,8.75
2016-02-19,"175,00","175,00","175,00","175,00","0,00",850,148.75,148.75
2016-03-01,"161,00","161,00","161,00","161,00","-8,00",210,33.81,33.81
2016-03-07,"165,00","165,00","165,00","165,00","2,48",80,13.2,13.2
2016-04-11,"169,00","169,00","169,00","169,00","2,42",80,13.52,13.52
2016-04-14,"152,00","152,00","152,00","152,00","-10,06",500,76.0,76.0
2016-04-26,"151,00","151,00","151,00","151,00","-0,66",550,83.05,83.05
2016-04-28,"151,00","151,00","151,00","151,00","0,00",370,55.87,55.87
2016-05-10,"147,00","147,00","147,00","147,00","-2,65",67,9.849,9.849
2016-05-25,"133,00","133,00","133,00","133,00","-9,52",300,39.9,39.9
2016-06-03,"133,00","133,00","133,00","133,00","0,00",1.000,133.0,133.0
2016-06-15,"133,00","133,00","133,00","133,00","0,00",157,20.881,20.881
2016-08-03,"101,00","101,00","101,00","101,00","-24,06",70,7.07,7.07
2016-08-30,"137,00","137,00","137,00","137,00","35,64",274,37.538,37.538
2016-09-09,"166,00","166,00","166,00","166,00","21,17",80,13.28,13.28
2016-09-12,"183,00","183,00","183,00","183,00","10,24",150,27.45,27.45
2016-10-06,"169,00","169,00","169,00","169,00","-7,65",160,27.04,27.04
