Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2014-11-17,"23.620,00","23.620,00","23.620,00","23.620,00","-1,24",2,47.24,47.24
2014-11-18,"23.610,00","23.620,00","23.610,00","23.614,44","-0,02",9,212.53,212.53
2014-11-20,"23.490,00","23.500,00","23.200,00","23.369,17","-1,04",12,280.43,280.43
2014-11-21,"23.300,00","23.300,00","23.300,00","23.300,00","-0,30",2,46.6,46.6
2014-11-24,"23.000,00","23.000,00","23.000,00","23.000,00","-1,29",15,345.0,345.0
2014-11-27,"22.400,00","22.400,00","22.310,00","22.334,00","-2,90",15,335.01,335.01
2014-11-28,"22.360,00","22.800,00","22.360,00","22.631,25","1,33",8,181.05,181.05
2014-12-01,"22.100,00","22.700,00","22.100,00","22.500,00","-0,58",3,67.5,67.5
2014-12-02,"22.000,00","22.000,00","22.000,00","22.000,00","-2,22",10,220.0,220.0
2014-12-04,"22.000,00","22.000,00","22.000,00","22.000,00","0,00",8,176.0,176.0
2014-12-05,"21.500,00","21.800,00","21.500,00","21.660,71","-1,54",28,606.5,606.5
2014-12-09,"21.500,00","21.500,00","21.400,00","21.483,33","-0,82",30,644.5,644.5
2014-12-10,"22.000,00","22.000,00","21.300,00","21.526,32","0,20",19,409.0,409.0
2014-12-11,"22.150,00","22.150,00","21.560,00","21.891,67","1,70",12,262.7,262.7
2014-12-12,"22.000,00","22.100,00","21.999,00","22.049,60","0,72",10,220.496,220.496
2014-12-15,"22.000,00","22.000,00","21.600,00","21.850,20","-0,90",5,109.251,109.251
2014-12-16,"22.100,00","22.100,00","21.551,00","21.794,25","-0,26",8,174.354,174.354
2014-12-17,"21.700,00","22.400,00","21.700,00","22.192,29","1,83",7,155.346,155.346
2014-12-18,"22.000,00","22.000,00","22.000,00","22.000,00","-0,87",18,396.0,396.0
2014-12-19,"22.000,00","22.000,00","21.500,00","21.928,57","-0,32",7,153.5,153.5
2014-12-22,"22.200,00","22.200,00","22.200,00","22.200,00","1,24",9,199.8,199.8
