Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2014-11-21,"3.710,00","3.710,00","3.710,00","3.710,00","-2,37",50,185.5,185.5
2014-11-24,"3.700,00","3.700,00","3.700,00","3.700,00","-0,27",26,96.2,96.2
2014-11-25,"3.700,00","3.700,00","3.700,00","3.700,00","0,00",5,18.5,18.5
2014-11-27,"3.700,00","3.700,00","3.700,00","3.700,00","0,00",40,148.0,148.0
2014-12-09,"3.700,00","3.700,00","3.700,00","3.700,00","0,00",25,92.5,92.5
2014-12-10,"3.700,00","3.700,00","3.700,00","3.700,00","0,00",10,37.0,37.0
2014-12-11,"3.700,00","3.700,00","3.700,00","3.700,00","0,00",70,259.0,259.0
2014-12-16,"3.701,00","3.701,00","3.701,00","3.701,00","0,03",10,37.01,37.01
2014-12-19,"3.800,00","3.801,00","3.800,00","3.800,75","2,70",20,76.015,76.015
2014-12-22,"3.800,00","3.800,00","3.800,00","3.800,00","-0,02",25,95.0,95.0
2014-12-24,"3.800,00","3.800,00","3.800,00","3.800,00","0,00",26,98.8,98.8
2014-12-26,"3.900,00","3.900,00","3.900,00","3.900,00","2,63",100,390.0,390.0
2014-12-29,"3.900,00","3.900,00","3.900,00","3.900,00","0,00",200,780.0,780.0
2014-12-30,"3.900,00","3.900,00","3.900,00","3.900,00","0,00",200,780.0,780.0
2015-01-26,"3.800,00","3.800,00","3.800,00","3.800,00","-2,56",15,57.0,57.0
2015-02-06,"3.686,00","3.686,00","3.686,00","3.686,00","-3,00",20,73.72,73.72
2015-02-12,"3.640,00","3.640,00","3.600,00","3.617,14","-1,87",70,253.2,253.2
2015-02-13,"3.600,00","3.600,00","3.600,00","3.600,00","-0,47",190,684.0,684.0
2015-02-17,"3.600,00","3.600,00","3.600,00","3.600,00","0,00",30,108.0,108.0
2015-03-03,"3.708,00","3.708,00","3.708,00","3.708,00","3,00",30,111.24,111.24
2015-03-04,"3.900,00","3.900,00","3.650,00","3.862,35","4,16",200,772.47,772.47
2015-03-09,"3.700,00","3.700,00","3.700,00","3.700,00","-4,20",10,37.0,37.0
2015-03-10,"3.900,00","3.900,00","3.800,00","3.862,40","4,39",229,884.49,884.49
2015-03-19,"3.700,00","3.700,00","3.700,00","3.700,00","-5,13",5,18.5,18.5
2015-03-30,"3.899,00","3.899,00","3.899,00","3.899,00","5,38",2,7.798,7.798
2015-04-01,"3.897,00","3.897,00","3.897,00","3.897,00","-0,05",20,77.94,77.94
2015-04-07,"3.800,00","3.850,00","3.800,00","3.812,50","-2,17",60,228.75,228.75
2015-04-08,"3.800,00","3.800,00","3.800,00","3.800,00","-0,33",15,57.0,57.0
2015-04-15,"3.550,00","3.550,00","3.550,00","3.550,00","-6,58",5,17.75,17.75
2015-04-21,"3.600,00","3.600,00","3.551,00","3.553,64","0,10",278,987.913,987.913
2015-04-24,"3.500,00","3.500,00","3.500,00","3.500,00","-1,51",10,35.0,35.0
2015-04-28,"3.500,00","3.500,00","3.500,00","3.500,00","0,00",75,262.5,262.5
2015-05-08,"3.500,00","3.500,00","3.495,00","3.499,50","-0,01",190,664.905,664.905
2015-05-13,"3.400,00","3.400,00","3.400,00","3.400,00","-2,84",10,34.0,34.0
2015-05-15,"3.500,00","3.500,00","3.450,00","3.495,80","2,82",125,436.975,436.975
2015-05-18,"3.500,00","3.500,00","3.500,00","3.500,00","0,12",180,630.0,630.0
2015-05-19,"3.500,00","3.500,00","3.500,00","3.500,00","0,00",30,105.0,105.0
2015-05-20,"3.500,00","3.500,00","3.500,00","3.500,00","0,00",100,350.0,350.0
2015-05-21,"3.500,00","3.500,00","3.500,00","3.500,00","0,00",59,206.5,206.5
2015-06-10,"3.500,00","3.500,00","3.500,00","3.500,00","0,00",7,24.5,24.5
2015-06-12,"3.400,00","3.400,00","3.400,00","3.400,00","-2,86",10,34.0,34.0
2015-06-16,"3.499,00","3.499,00","3.400,00","3.439,60","1,16",10,34.396,34.396
2015-06-22,"3.300,00","3.300,00","3.300,00","3.300,00","-4,06",100,330.0,330.0
2015-06-23,"3.300,00","3.300,00","3.300,00","3.300,00","0,00",10,33.0,33.0
2015-06-24,"3.400,00","3.400,00","3.400,00","3.400,00","3,03",1,3.4,3.4
2015-06-29,"3.381,00","3.381,00","3.150,00","3.369,45","-0,90",100,336.945,336.945
2015-06-30,"3.300,00","3.380,00","3.300,00","3.332,00","-1,11",25,83.3,83.3
2015-07-01,"3.300,00","3.300,00","3.300,00","3.300,00","-0,96",100,330.0,330.0
2015-07-02,"3.300,00","3.300,00","3.300,00","3.300,00","0,00",10,33.0,33.0
2015-07-03,"3.380,00","3.380,00","3.379,00","3.379,50","2,41",10,33.795,33.795
2015-07-13,"3.350,00","3.350,00","3.300,00","3.334,62","-1,33",65,216.75,216.75
2015-07-14,"3.350,00","3.350,00","3.350,00","3.350,00","0,46",25,83.75,83.75
2015-07-16,"3.350,00","3.350,00","3.350,00","3.350,00","0,00",10,33.5,33.5
2015-07-22,"3.300,00","3.300,00","3.300,00","3.300,00","-1,49",33,108.9,108.9
2015-07-23,"3.350,00","3.350,00","3.350,00","3.350,00","1,52",73,244.55,244.55
2015-07-28,"3.400,00","3.400,00","3.350,00","3.383,33","0,99",30,101.5,101.5
2015-07-29,"3.450,00","3.450,00","3.450,00","3.450,00","1,97",151,520.95,520.95
2015-08-05,"3.450,00","3.450,00","3.450,00","3.450,00","0,00",28,96.6,96.6
2015-08-10,"3.500,00","3.500,00","3.500,00","3.500,00","1,45",10,35.0,35.0
2015-08-14,"3.600,00","3.600,00","3.600,00","3.600,00","2,86",10,36.0,36.0
2015-08-19,"3.600,00","3.600,00","3.600,00","3.600,00","0,00",10,36.0,36.0
2015-09-01,"3.600,00","3.600,00","3.600,00","3.600,00","0,00",20,72.0,72.0
2015-09-03,"3.600,00","3.600,00","3.600,00","3.600,00","0,00",65,234.0,234.0
2015-09-10,"3.600,00","3.600,00","3.600,00","3.600,00","0,00",95,342.0,342.0
2015-09-16,"3.611,00","3.611,00","3.611,00","3.611,00","0,31",10,36.11,36.11
2015-09-17,"3.612,00","3.612,00","3.612,00","3.612,00","0,03",100,361.2,361.2
2015-09-21,"3.680,00","3.680,00","3.679,00","3.679,96","1,88",230,846.39,846.39
2015-09-23,"3.680,00","3.680,00","3.680,00","3.680,00","0,00",50,184.0,184.0
2015-09-24,"3.700,00","3.700,00","3.700,00","3.700,00","0,54",20,74.0,74.0
2015-09-28,"3.700,00","3.700,00","3.700,00","3.700,00","0,00",150,555.0,555.0
2015-09-30,"3.750,00","3.750,00","3.750,00","3.750,00","1,35",82,307.5,307.5
2015-10-02,"3.751,00","3.800,00","3.751,00","3.794,37","1,18",87,330.11,330.11
2015-10-06,"3.700,00","3.700,00","3.700,00","3.700,00","-2,49",10,37.0,37.0
2015-10-07,"3.700,00","3.700,00","3.700,00","3.700,00","0,00",200,740.0,740.0
2015-10-13,"3.750,00","3.798,00","3.750,00","3.766,00","1,78",30,112.98,112.98
2015-10-14,"3.798,00","3.798,00","3.798,00","3.798,00","0,85",45,170.91,170.91
2015-10-15,"3.770,00","3.770,00","3.770,00","3.770,00","-0,74",55,207.35,207.35
2015-10-16,"3.750,00","3.750,00","3.750,00","3.750,00","-0,53",10,37.5,37.5
2015-10-19,"3.750,00","3.750,00","3.750,00","3.750,00","0,00",35,131.25,131.25
2015-10-20,"3.706,00","3.770,00","3.706,00","3.749,45","-0,01",55,206.22,206.22
2015-10-21,"3.750,00","3.750,00","3.750,00","3.750,00","0,01",40,150.0,150.0
2015-10-26,"3.750,00","3.750,00","3.750,00","3.750,00","0,00",10,37.5,37.5
2015-10-29,"3.750,00","3.750,00","3.750,00","3.750,00","0,00",50,187.5,187.5
2015-10-30,"3.701,00","3.701,00","3.701,00","3.701,00","-1,31",10,37.01,37.01
2015-11-03,"3.701,00","3.701,00","3.701,00","3.701,00","0,00",10,37.01,37.01
2015-11-04,"3.701,00","3.748,00","3.701,00","3.734,94","0,92",72,268.916,268.916
2015-11-06,"3.700,00","3.700,00","3.700,00","3.700,00","-0,94",20,74.0,74.0
2015-11-10,"3.700,00","3.700,00","3.700,00","3.700,00","0,00",50,185.0,185.0
2015-11-16,"3.600,00","3.600,00","3.600,00","3.600,00","-2,70",10,36.0,36.0
2015-11-18,"3.600,00","3.600,00","3.600,00","3.600,00","0,00",5,18.0,18.0
2015-11-20,"3.700,00","3.700,00","3.690,00","3.698,89","2,75",180,665.8,665.8
2015-11-24,"3.748,00","3.748,00","3.748,00","3.748,00","1,33",2,7.496,7.496
2015-12-07,"3.700,00","3.700,00","3.700,00","3.700,00","-1,28",2,7.4,7.4
2015-12-10,"3.700,00","3.700,00","3.700,00","3.700,00","0,00",252,932.4,932.4
2015-12-11,"3.700,00","3.700,00","3.600,00","3.633,33","-1,80",15,54.5,54.5
2015-12-14,"3.700,00","3.700,00","3.700,00","3.700,00","1,83",10,37.0,37.0
2015-12-15,"3.725,00","3.725,00","3.725,00","3.725,00","0,68",80,298.0,298.0
2015-12-16,"3.725,00","3.725,00","3.725,00","3.725,00","0,00",70,260.75,260.75
2015-12-17,"3.750,00","3.750,00","3.750,00","3.750,00","0,67",2,7.5,7.5
2015-12-21,"3.700,00","3.750,00","3.700,00","3.745,45","-0,12",55,206.0,206.0
2015-12-22,"3.750,00","3.750,00","3.750,00","3.750,00","0,12",10,37.5,37.5
2015-12-24,"3.750,00","3.750,00","3.750,00","3.750,00","0,00",5,18.75,18.75
2015-12-29,"3.850,00","3.850,00","3.850,00","3.850,00","2,67",31,119.35,119.35
2015-12-30,"3.850,00","3.850,00","3.850,00","3.850,00","0,00",10,38.5,38.5
2016-01-11,"3.850,00","3.850,00","3.850,00","3.850,00","0,00",95,365.75,365.75
2016-01-12,"3.850,00","3.850,00","3.850,00","3.850,00","0,00",20,77.0,77.0
2016-01-15,"3.751,00","3.751,00","3.751,00","3.751,00","-2,57",200,750.2,750.2
2016-01-18,"3.751,00","3.751,00","3.751,00","3.751,00","0,00",17,63.767,63.767
2016-01-20,"3.750,00","3.750,00","3.750,00","3.750,00","-0,03",10,37.5,37.5
2016-01-27,"3.850,00","3.850,00","3.850,00","3.850,00","2,67",10,38.5,38.5
2016-01-28,"3.750,00","3.750,00","3.750,00","3.750,00","-2,60",2,7.5,7.5
2016-01-29,"3.850,00","3.850,00","3.800,00","3.846,79","2,58",109,419.3,419.3
2016-02-03,"3.750,00","3.751,00","3.750,00","3.750,58","-2,50",208,780.12,780.12
2016-02-04,"3.850,00","3.850,00","3.850,00","3.850,00","2,65",19,73.15,73.15
2016-02-10,"3.735,00","3.735,00","3.735,00","3.735,00","-2,99",21,78.435,78.435
2016-02-12,"3.800,00","3.800,00","3.800,00","3.800,00","1,74",25,95.0,95.0
2016-02-15,"3.701,00","3.701,00","3.701,00","3.701,00","-2,61",17,62.917,62.917
2016-02-16,"3.700,00","3.700,00","3.700,00","3.700,00","-0,03",30,111.0,111.0
2016-02-25,"3.600,00","3.600,00","3.600,00","3.600,00","-2,70",200,720.0,720.0
2016-02-26,"3.650,00","3.650,00","3.650,00","3.650,00","1,39",208,759.2,759.2
2016-02-29,"3.700,00","3.700,00","3.700,00","3.700,00","1,37",24,88.8,88.8
2016-03-01,"3.700,00","3.700,00","3.700,00","3.700,00","0,00",134,495.8,495.8
2016-03-02,"3.700,00","3.700,00","3.699,00","3.699,80","-0,01",100,369.98,369.98
2016-03-03,"3.700,00","3.700,00","3.700,00","3.700,00","0,01",20,74.0,74.0
2016-03-04,"3.700,00","3.700,00","3.700,00","3.700,00","0,00",62,229.4,229.4
2016-03-09,"3.699,00","3.699,00","3.699,00","3.699,00","-0,03",30,110.97,110.97
2016-03-10,"3.680,00","3.680,00","3.680,00","3.680,00","-0,51",40,147.2,147.2
2016-03-14,"3.601,00","3.699,00","3.601,00","3.629,00","-1,39",14,50.806,50.806
2016-03-22,"3.650,00","3.650,00","3.650,00","3.650,00","0,58",5,18.25,18.25
2016-03-23,"3.699,00","3.699,00","3.699,00","3.699,00","1,34",10,36.99,36.99
2016-03-24,"3.601,00","3.700,00","3.601,00","3.641,45","-1,56",11,40.056,40.056
2016-03-28,"3.690,00","3.690,00","3.690,00","3.690,00","1,33",20,73.8,73.8
2016-04-06,"3.608,00","3.614,00","3.608,00","3.611,53","-2,13",85,306.98,306.98
2016-04-11,"3.700,00","3.700,00","3.699,00","3.699,28","2,43",53,196.062,196.062
2016-04-12,"3.700,00","3.700,00","3.700,00","3.700,00","0,02",20,74.0,74.0
2016-04-13,"3.800,00","3.800,00","3.800,00","3.800,00","2,70",15,57.0,57.0
2016-04-14,"3.686,00","3.686,00","3.686,00","3.686,00","-3,00",5,18.43,18.43
2016-04-19,"3.750,00","3.750,00","3.700,00","3.714,10","0,76",117,434.55,434.55
2016-04-20,"3.680,00","3.680,00","3.680,00","3.680,00","-0,92",5,18.4,18.4
2016-04-21,"3.701,00","3.701,00","3.701,00","3.701,00","0,57",10,37.01,37.01
2016-04-22,"3.700,00","3.700,00","3.700,00","3.700,00","-0,03",31,114.7,114.7
2016-04-25,"3.608,00","3.690,00","3.608,00","3.673,60","-0,71",25,91.84,91.84
2016-04-26,"3.700,00","3.700,00","3.700,00","3.700,00","0,72",117,432.9,432.9
2016-05-31,"3.386,00","3.386,00","3.386,00","3.386,00","-8,49",95,321.67,321.67
2016-06-01,"3.450,00","3.450,00","3.450,00","3.450,00","1,89",10,34.5,34.5
2016-06-10,"3.351,00","3.351,00","3.351,00","3.351,00","-2,87",15,50.265,50.265
2016-06-13,"3.350,00","3.350,00","3.350,00","3.350,00","-0,03",15,50.25,50.25
2016-06-20,"3.350,00","3.350,00","3.350,00","3.350,00","0,00",10,33.5,33.5
2016-06-22,"3.400,00","3.400,00","3.350,00","3.395,45","1,36",55,186.75,186.75
2016-06-24,"3.360,00","3.360,00","3.360,00","3.360,00","-1,04",27,90.72,90.72
2016-07-04,"3.399,00","3.399,00","3.399,00","3.399,00","1,16",10,33.99,33.99
2016-07-06,"3.450,00","3.450,00","3.450,00","3.450,00","1,50",19,65.55,65.55
2016-07-20,"3.350,00","3.350,00","3.350,00","3.350,00","-2,90",70,234.5,234.5
2016-07-21,"3.350,00","3.350,00","3.350,00","3.350,00","0,00",26,87.1,87.1
2016-07-25,"3.350,00","3.350,00","3.350,00","3.350,00","0,00",40,134.0,134.0
2016-07-27,"3.350,00","3.350,00","3.350,00","3.350,00","0,00",5,16.75,16.75
2016-07-29,"3.355,00","3.355,00","3.355,00","3.355,00","0,15",45,150.975,150.975
2016-08-05,"3.355,00","3.356,00","3.355,00","3.355,98","0,03",100,335.598,335.598
