Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2016-05-12,"201,00","201,00","201,00","201,00","0,00",24,4.824,4.824
2017-06-06,"600,00","600,00","600,00","600,00","198,51",46,27.6,27.6
2017-06-12,"600,00","600,00","600,00","600,00","0,00",85,51.0,51.0
2018-05-31,"600,00","600,00","600,00","600,00","0,00",144,86.4,86.4
2018-07-09,"608,00","608,00","608,00","608,00","1,33",144,87.552,87.552
2018-07-13,"608,00","608,00","608,00","608,00","0,00",43,26.144,26.144
2018-08-21,"590,00","590,00","590,00","590,00","-2,96",40,23.6,23.6
2018-08-22,"590,00","590,00","590,00","590,00","0,00",69,40.71,40.71
2018-08-23,"590,00","590,00","590,00","590,00","0,00",38,22.42,22.42
2018-08-24,"590,00","590,00","590,00","590,00","0,00",85,50.15,50.15
2018-08-27,"590,00","590,00","590,00","590,00","0,00",74,43.66,43.66
2018-08-29,"590,00","590,00","590,00","590,00","0,00",61,35.99,35.99
2018-08-31,"590,00","590,00","590,00","590,00","0,00",108,63.72,63.72
2018-09-03,"590,00","590,00","590,00","590,00","0,00",200,118.0,118.0
2018-09-04,"590,00","590,00","590,00","590,00","0,00",208,122.72,122.72
2018-09-05,"590,00","590,00","590,00","590,00","0,00",68,40.12,40.12
2018-09-06,"590,00","590,00","590,00","590,00","0,00",20,11.8,11.8
2018-09-10,"607,00","607,00","607,00","607,00","2,88",1.036,628.852,628.852
2018-10-16,"607,00","607,00","607,00","607,00","0,00",28,16.996,16.996
2018-12-10,"607,00","607,00","607,00","607,00","0,00",85,51.595,51.595
2019-05-10,"607,00","607,00","607,00","607,00","0,00",39,23.673,23.673
2019-09-16,"607,00","607,00","607,00","607,00","0,00",67,40.669,40.669
2019-10-22,"607,00","607,00","607,00","607,00","0,00",19,11.533,11.533
2021-01-08,"607,00","607,00","607,00","607,00","0,00",85,51.595,51.595
2021-03-30,"607,00","607,00","607,00","607,00","0,00",33,20.031,20.031
2021-04-01,"607,00","607,00","607,00","607,00","0,00",23,13.961,13.961
2021-04-06,"607,00","607,00","607,00","607,00","0,00",76,46.132,46.132
2021-04-08,"607,00","607,00","607,00","607,00","0,00",21,12.747,12.747
2021-04-09,"607,00","607,00","607,00","607,00","0,00",27,16.389,16.389
2021-04-15,"607,00","607,00","607,00","607,00","0,00",96,58.272,58.272
2021-04-16,"607,00","607,00","607,00","607,00","0,00",41,24.887,24.887
2021-04-20,"607,00","607,00","607,00","607,00","0,00",110,66.77,66.77
2021-04-22,"607,00","607,00","607,00","607,00","0,00",52,31.564,31.564
2021-04-28,"607,00","607,00","607,00","607,00","0,00",28,16.996,16.996
2021-05-06,"607,00","607,00","607,00","607,00","0,00",100,60.7,60.7
2021-05-10,"607,00","607,00","607,00","607,00","0,00",17,10.319,10.319
2021-05-11,"607,00","607,00","607,00","607,00","0,00",55,33.385,33.385
2021-05-17,"607,00","607,00","607,00","607,00","0,00",26,15.782,15.782
2021-05-19,"607,00","607,00","607,00","607,00","0,00",33,20.031,20.031
2021-05-21,"607,00","607,00","607,00","607,00","0,00",18,10.926,10.926
2021-05-27,"607,00","607,00","607,00","607,00","0,00",22,13.354,13.354
2021-06-01,"607,00","607,00","607,00","607,00","0,00",18,10.926,10.926
2021-06-03,"607,00","607,00","607,00","607,00","0,00",73,44.311,44.311
2021-06-09,"607,00","607,00","607,00","607,00","0,00",60,36.42,36.42
2021-06-11,"607,00","607,00","607,00","607,00","0,00",20,12.14,12.14
2021-06-14,"607,00","607,00","607,00","607,00","0,00",24,14.568,14.568
2021-06-29,"607,00","607,00","607,00","607,00","0,00",36,21.852,21.852
2021-07-01,"607,00","607,00","607,00","607,00","0,00",20,12.14,12.14
2021-07-05,"607,00","607,00","607,00","607,00","0,00",56,33.992,33.992
2021-07-06,"607,00","607,00","607,00","607,00","0,00",36,21.852,21.852
2021-07-09,"607,00","607,00","607,00","607,00","0,00",35,21.245,21.245
2021-07-12,"607,00","607,00","607,00","607,00","0,00",52,31.564,31.564
2021-07-13,"607,00","607,00","607,00","607,00","0,00",85,51.595,51.595
2021-07-21,"607,00","607,00","607,00","607,00","0,00",43,26.101,26.101
2021-07-22,"607,00","607,00","607,00","607,00","0,00",59,35.813,35.813
2021-07-23,"607,00","607,00","607,00","607,00","0,00",37,22.459,22.459
2021-07-27,"607,00","607,00","607,00","607,00","0,00",18,10.926,10.926
2021-08-03,"607,00","607,00","607,00","607,00","0,00",35,21.245,21.245
2021-08-09,"607,00","607,00","607,00","607,00","0,00",14,8.498,8.498
2021-08-11,"607,00","607,00","607,00","607,00","0,00",18,10.926,10.926
2021-08-18,"607,00","607,00","607,00","607,00","0,00",68,41.276,41.276
2021-08-31,"607,00","607,00","607,00","607,00","0,00",25,15.175,15.175
2021-09-06,"607,00","607,00","607,00","607,00","0,00",47,28.529,28.529
2021-09-15,"607,00","607,00","607,00","607,00","0,00",26,15.782,15.782
2021-09-27,"607,00","607,00","607,00","607,00","0,00",114,69.198,69.198
2021-11-10,"607,00","607,00","607,00","607,00","0,00",42,25.494,25.494
2021-11-12,"607,00","607,00","607,00","607,00","0,00",30,18.21,18.21
2021-11-17,"607,00","607,00","607,00","607,00","0,00",34,20.638,20.638
2021-11-22,"607,00","607,00","607,00","607,00","0,00",36,21.852,21.852
2021-12-02,"607,00","607,00","607,00","607,00","0,00",25,15.175,15.175
2021-12-28,"607,00","607,00","607,00","607,00","0,00",35,21.245,21.245
2022-01-17,"607,00","607,00","607,00","607,00","0,00",24,14.568,14.568
2022-02-14,"607,00","607,00","607,00","607,00","0,00",13,7.891,7.891
2022-03-08,"607,00","607,00","607,00","607,00","0,00",23,13.961,13.961
2022-08-30,"607,00","607,00","607,00","607,00","0,00",36,21.852,21.852
2022-09-30,"607,00","607,00","607,00","607,00","0,00",18,10.926,10.926
2023-03-20,"607,00","607,00","607,00","607,00","0,00",16,9.712,9.712
2023-05-02,"607,00","607,00","607,00","607,00","0,00",37,22.459,22.459
2023-05-29,"607,00","607,00","607,00","607,00","0,00",25,15.175,15.175
