Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2015-09-11,"1.250,00","1.250,00","1.250,00","1.250,00","0,00",121,151.25,151.25
2016-07-06,"1.250,00","1.250,00","1.250,00","1.250,00","0,00",257,321.25,321.25
2016-10-21,"1.250,00","1.250,00","1.250,00","1.250,00","0,00",104,130.0,130.0
2016-11-04,"1.250,00","1.250,00","1.250,00","1.250,00","0,00",129,161.25,161.25
2017-06-15,"1.250,00","1.250,00","1.250,00","1.250,00","0,00",372,465.0,465.0
2017-07-24,"1.250,00","1.250,00","1.250,00","1.250,00","0,00",362,452.5,452.5
2017-12-06,"1.250,00","1.250,00","1.250,00","1.250,00","0,00",328,410.0,410.0
2018-08-20,"1.250,00","1.250,00","1.250,00","1.250,00","0,00",236,295.0,295.0
2018-08-30,"1.250,00","1.250,00","1.250,00","1.250,00","0,00",147,183.75,183.75
2018-10-18,"1.250,00","1.250,00","1.250,00","1.250,00","0,00",127,158.75,158.75
2018-11-06,"1.250,00","1.250,00","1.250,00","1.250,00","0,00",140,175.0,175.0
2018-11-19,"1.250,00","1.250,00","1.250,00","1.250,00","0,00",59,73.75,73.75
2019-04-01,"1.250,00","1.250,00","1.250,00","1.250,00","0,00",58,72.5,72.5
2019-04-24,"1.250,00","1.250,00","1.250,00","1.250,00","0,00",339,423.75,423.75
2019-07-19,"1.250,00","1.250,00","1.250,00","1.250,00","0,00",118,147.5,147.5
2019-10-01,"1.250,00","1.250,00","1.250,00","1.250,00","0,00",134,167.5,167.5
2020-07-02,"1.550,00","1.550,00","1.550,00","1.550,00","24,00",324,502.2,502.2
2020-07-03,"1.860,00","1.860,00","1.860,00","1.860,00","20,00",247,459.42,459.42
2022-01-31,"1.900,00","1.900,00","1.900,00","1.900,00","2,15",116,220.4,220.4
2024-07-10,"1.900,00","1.900,00","1.900,00","1.900,00","0,00",20,38.0,38.0
