Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2016-09-27,"92.250,00","92.250,00","92.250,00","92.250,00","0,00",4,369.0,369.0
2016-11-08,"92.250,00","92.250,00","92.250,00","92.250,00","0,00",4,369.0,369.0
2017-01-18,"92.250,00","92.250,00","92.250,00","92.250,00","0,00",10,922.5,922.5
2017-06-20,"61.500,00","61.500,00","61.500,00","61.500,00","0,00",4,246.0,0.0
2017-08-14,"61.500,00","61.500,00","61.500,00","61.500,00","0,00",10,615.0,615.0
2018-09-18,"61.500,00","61.500,00","61.500,00","61.500,00","0,00",8,492.0,492.0
2021-10-19,"61.500,00","61.500,00","61.500,00","61.500,00","0,00",10,615.0,615.0
2024-03-07,"61.500,00","61.500,00","61.500,00","61.500,00","0,00",1,61.5,0.0
2024-03-15,"61.500,00","61.500,00","61.500,00","61.500,00","0,00",2,123.0,123.0
2024-10-04,"61.500,00","61.500,00","61.500,00","61.500,00","0,00",9,553.5,553.5
