Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2014-12-19,"6.600,00","6.600,00","6.600,00","6.600,00","-2,94",1,6.6,6.6
2015-04-28,"6.100,00","6.100,00","6.100,00","6.100,00","-7,58",1,6.1,6.1
2016-05-11,"4.000,00","4.000,00","4.000,00","4.000,00","-34,43",175,700.0,700.0
2016-11-08,"4.101,00","4.101,00","4.101,00","4.101,00","2,52",119,488.019,488.019
2017-02-02,"6.000,00","6.000,00","6.000,00","6.000,00","46,31",100,600.0,600.0
2017-03-13,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",100,600.0,600.0
2017-05-05,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",1,6.0,6.0
2017-06-05,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",150,900.0,900.0
2017-11-16,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",10,60.0,60.0
2017-12-06,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",35,210.0,210.0
2017-12-22,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",25,150.0,150.0
2018-01-25,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",30,180.0,180.0
2018-02-13,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",20,120.0,120.0
2018-03-21,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",20,120.0,120.0
2018-04-12,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",30,180.0,180.0
2018-08-03,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",10,60.0,60.0
2018-09-12,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",8,48.0,48.0
2018-10-09,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",20,120.0,120.0
2018-11-23,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",33,198.0,198.0
2018-11-30,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",20,120.0,120.0
2018-12-14,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",25,150.0,150.0
2019-02-01,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",20,120.0,120.0
2019-03-06,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",10,60.0,60.0
2019-04-08,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",5,30.0,30.0
2019-04-09,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",5,30.0,30.0
2019-11-15,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",40,240.0,0.0
2019-11-29,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",30,180.0,180.0
2021-01-27,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",10,60.0,60.0
