Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
17.11.2014,"700,00","700,00","700,00","700,00","-0,14",15,10.5,10.5
18.11.2014,"610,00","610,00","610,00","610,00","-12,86",10,6.1,6.1
29.12.2014,"550,00","550,00","550,00","550,00","-9,84",10,5.5,5.5
14.01.2015,"550,00","550,00","550,00","550,00","0,00",6,3.3,3.3
16.01.2015,"550,00","550,00","550,00","550,00","0,00",20,11.0,11.0
30.01.2015,"566,00","566,00","566,00","566,00","2,91",45,25.47,25.47
02.02.2015,"581,00","581,00","581,00","581,00","2,65",100,58.1,58.1
03.02.2015,"580,00","580,00","580,00","580,00","-0,17",59,34.22,34.22
04.02.2015,"580,00","580,00","580,00","580,00","0,00",14,8.12,8.12
16.02.2015,"580,00","580,00","580,00","580,00","0,00",101,58.58,58.58
18.02.2015,"580,00","580,00","580,00","580,00","0,00",89,51.62,51.62
05.03.2015,"580,00","580,00","580,00","580,00","0,00",10,5.8,5.8
26.03.2015,"540,00","540,00","540,00","540,00","-6,90",50,27.0,27.0
06.04.2015,"524,00","524,00","524,00","524,00","-2,96",15,7.86,7.86
07.04.2015,"524,00","524,00","524,00","524,00","0,00",85,44.54,44.54
22.04.2015,"500,00","500,00","500,00","500,00","-4,58",261,130.5,130.5
24.04.2015,"500,00","500,00","500,00","500,00","0,00",68,34.0,34.0
27.04.2015,"520,00","520,00","520,00","520,00","4,00",100,52.0,52.0
13.05.2015,"500,00","500,00","500,00","500,00","-3,85",25,12.5,12.5
15.05.2015,"540,00","540,00","540,00","540,00","8,00",129,69.66,69.66
27.05.2015,"491,00","491,00","491,00","491,00","-9,07",13,6.383,6.383
01.06.2015,"500,00","500,00","500,00","500,00","1,83",100,50.0,50.0
18.06.2015,"501,00","501,00","501,00","501,00","0,20",200,100.2,100.2
22.06.2015,"501,00","501,00","501,00","501,00","0,00",107,53.607,53.607
25.06.2015,"501,00","501,00","501,00","501,00","0,00",107,53.607,53.607
02.07.2015,"530,00","530,00","530,00","530,00","5,79",35,18.55,18.55
06.07.2015,"503,00","503,00","503,00","503,00","-5,09",114,57.342,57.342
12.08.2015,"550,00","550,00","550,00","550,00","9,34",141,77.55,77.55
21.08.2015,"534,00","534,00","534,00","534,00","-2,91",100,53.4,53.4
31.08.2015,"518,00","518,00","518,00","518,00","-3,00",58,30.044,30.044
01.09.2015,"600,00","600,00","600,00","600,00","15,83",60,36.0,36.0
02.09.2015,"501,00","501,00","501,00","501,00","-16,50",17,8.517,8.517
09.09.2015,"501,00","501,00","501,00","501,00","0,00",9,4.509,4.509
15.09.2015,"500,00","500,00","500,00","500,00","-0,20",95,47.5,47.5
21.09.2015,"550,00","550,00","550,00","550,00","10,00",17,9.35,9.35
22.09.2015,"555,00","555,00","555,00","555,00","0,91",105,58.275,58.275
24.09.2015,"550,00","550,00","550,00","550,00","-0,90",99,54.45,54.45
09.10.2015,"534,00","534,00","534,00","534,00","-2,91",24,12.816,12.816
16.10.2015,"550,00","550,00","550,00","550,00","3,00",100,55.0,55.0
29.10.2015,"566,00","566,00","566,00","566,00","2,91",75,42.45,42.45
30.10.2015,"600,00","600,00","600,00","600,00","6,01",40,24.0,24.0
03.11.2015,"700,00","700,00","700,00","700,00","16,67",8,5.6,5.6
05.11.2015,"700,00","700,00","700,00","700,00","0,00",130,91.0,91.0
10.11.2015,"610,00","610,00","610,00","610,00","-12,86",7,4.27,4.27
13.11.2015,"750,00","750,00","750,00","750,00","22,95",20,15.0,15.0
20.11.2015,"760,00","760,00","760,00","760,00","1,33",73,55.48,55.48
23.11.2015,"850,00","850,00","850,00","850,00","11,84",37,31.45,31.45
24.11.2015,"850,00","850,00","850,00","850,00","0,00",80,68.0,68.0
30.11.2015,"751,00","751,00","751,00","751,00","-11,65",31,23.281,23.281
03.12.2015,"751,00","751,00","751,00","751,00","0,00",20,15.02,15.02
16.12.2015,"750,00","750,00","750,00","750,00","-0,13",9,6.75,6.75
23.12.2015,"750,00","750,00","750,00","750,00","0,00",24,18.0,18.0
29.12.2015,"700,00","700,00","700,00","700,00","-6,67",18,12.6,12.6
30.12.2015,"700,00","700,00","700,00","700,00","0,00",200,140.0,140.0
04.01.2016,"770,00","770,00","770,00","770,00","10,00",30,23.1,23.1
05.01.2016,"770,00","770,00","770,00","770,00","0,00",82,63.14,63.14
08.01.2016,"790,00","790,00","790,00","790,00","2,60",100,79.0,79.0
15.01.2016,"767,00","767,00","767,00","767,00","-2,91",100,76.7,76.7
18.01.2016,"755,00","755,00","755,00","755,00","-1,56",8,6.04,6.04
21.01.2016,"755,00","755,00","755,00","755,00","0,00",182,137.41,137.41
22.01.2016,"755,00","755,00","755,00","755,00","0,00",110,83.05,83.05
29.01.2016,"790,00","790,00","790,00","790,00","4,64",60,47.4,47.4
02.02.2016,"790,00","790,00","790,00","790,00","0,00",200,158.0,158.0
03.02.2016,"789,00","789,00","789,00","789,00","-0,13",35,27.615,27.615
04.02.2016,"789,00","789,00","789,00","789,00","0,00",15,11.835,11.835
05.02.2016,"766,00","766,00","766,00","766,00","-2,92",5,3.83,3.83
10.02.2016,"766,00","766,00","766,00","766,00","0,00",48,36.768,36.768
11.02.2016,"790,00","790,00","790,00","790,00","3,13",71,56.09,56.09
18.02.2016,"810,00","810,00","810,00","810,00","2,53",119,96.39,96.39
19.02.2016,"850,00","850,00","849,00","849,79","4,91",95,80.73,80.73
01.03.2016,"875,00","875,00","849,00","865,88","1,89",57,49.355,49.355
08.03.2016,"890,00","890,00","890,00","890,00","2,79",5,4.45,4.45
11.03.2016,"805,00","805,00","805,00","805,00","-9,55",5,4.025,4.025
15.03.2016,"801,00","801,00","801,00","801,00","-0,50",36,28.836,28.836
21.03.2016,"800,00","801,00","800,00","800,13","-0,11",31,24.804,24.804
22.03.2016,"800,00","800,00","800,00","800,00","-0,02",73,58.4,58.4
01.04.2016,"765,00","765,00","765,00","765,00","-4,38",66,50.49,50.49
06.04.2016,"800,00","800,00","800,00","800,00","4,58",107,85.6,85.6
11.04.2016,"824,00","824,00","824,00","824,00","3,00",107,88.168,88.168
27.04.2016,"800,00","800,00","800,00","800,00","-2,91",30,24.0,24.0
28.04.2016,"850,00","850,00","824,00","829,58","3,70",288,238.92,238.92
03.05.2016,"912,00","912,00","912,00","912,00","9,94",87,79.344,79.344
06.05.2016,"912,00","912,00","912,00","912,00","0,00",10,9.12,9.12
23.05.2016,"900,00","900,00","900,00","900,00","-1,32",18,16.2,16.2
27.05.2016,"900,00","900,00","900,00","900,00","0,00",6,5.4,5.4
10.06.2016,"900,00","900,00","900,00","900,00","0,00",19,17.1,17.1
23.06.2016,"949,00","949,00","949,00","949,00","5,44",42,39.858,39.858
06.07.2016,"950,00","950,00","950,00","950,00","0,11",80,76.0,76.0
13.07.2016,"922,00","922,00","922,00","922,00","-2,95",20,18.44,18.44
25.07.2016,"1.014,00","1.014,00","1.014,00","1.014,00","9,98",124,125.736,125.736
28.07.2016,"1.115,00","1.115,00","1.115,00","1.115,00","9,96",100,111.5,111.5
01.08.2016,"1.115,00","1.115,00","1.115,00","1.115,00","0,00",121,134.915,134.915
16.08.2016,"1.226,00","1.226,00","1.226,00","1.226,00","9,96",133,163.058,163.058
19.08.2016,"1.348,00","1.348,00","1.348,00","1.348,00","9,95",84,113.232,113.232
22.08.2016,"1.482,00","1.482,00","1.482,00","1.482,00","9,94",41,60.762,60.762
29.08.2016,"1.630,00","1.630,00","1.630,00","1.630,00","9,99",22,35.86,35.86
01.09.2016,"1.793,00","1.793,00","1.793,00","1.793,00","10,00",30,53.79,53.79
02.09.2016,"1.964,00","1.964,00","1.964,00","1.964,00","9,54",60,117.84,117.84
05.09.2016,"2.150,00","2.150,00","2.150,00","2.150,00","9,47",60,129.0,129.0
06.09.2016,"2.299,00","2.299,00","2.299,00","2.299,00","6,93",25,57.475,57.475
14.09.2016,"2.098,00","2.098,00","2.098,00","2.098,00","-8,74",68,142.664,142.664
15.09.2016,"2.049,00","2.049,00","2.049,00","2.049,00","-2,34",5,10.245,10.245
28.09.2016,"1.988,00","1.988,00","1.988,00","1.988,00","-2,98",50,99.4,99.4
05.10.2016,"1.988,00","1.988,00","1.988,00","1.988,00","0,00",54,107.352,107.352
13.10.2016,"1.800,00","1.800,00","1.800,00","1.800,00","-9,46",30,54.0,54.0
17.10.2016,"1.625,00","1.625,00","1.625,00","1.625,00","-9,72",64,104.0,104.0
18.10.2016,"1.787,00","1.787,00","1.690,00","1.725,99","6,21",159,274.433,274.433
19.10.2016,"1.898,00","1.898,00","1.897,00","1.897,87","9,96",76,144.238,144.238
20.10.2016,"1.989,00","1.989,00","1.989,00","1.989,00","4,80",30,59.67,59.67
26.10.2016,"2.190,00","2.190,00","2.190,00","2.190,00","8,78",39,85.41,85.41
