Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2014-12-09,"2.505,00","2.505,00","2.505,00","2.505,00","13,76",10,25.05,25.05
2015-02-12,"2.501,00","2.501,00","2.501,00","2.501,00","-0,16",181,452.681,452.681
2015-04-16,"2.650,00","2.650,00","2.650,00","2.650,00","5,96",5,13.25,13.25
2015-05-13,"2.500,00","2.500,00","2.500,00","2.500,00","-5,66",1,2.5,2.5
2015-06-18,"2.500,00","2.500,00","2.500,00","2.500,00","0,00",10,25.0,25.0
2016-05-31,"3.410,00","3.410,00","3.410,00","3.410,00","36,40",20,68.2,68.2
2016-09-30,"5.001,00","5.001,00","5.001,00","5.001,00","46,66",1,5.001,5.001
2016-10-06,"6.001,00","6.001,00","6.001,00","6.001,00","20,00",2,12.002,12.002
2016-10-07,"6.000,00","6.000,00","6.000,00","6.000,00","-0,02",49,294.0,294.0
2016-10-10,"6.000,00","6.000,00","6.000,00","6.000,00","0,00",51,306.0,306.0
2016-10-13,"6.501,00","6.501,00","6.501,00","6.501,00","8,35",20,130.02,130.02
2016-10-17,"7.000,00","7.000,00","7.000,00","7.000,00","7,68",4,28.0,28.0
2016-10-19,"7.000,00","7.000,00","7.000,00","7.000,00","0,00",11,77.0,77.0
2016-10-20,"7.200,00","7.200,00","7.200,00","7.200,00","2,86",21,151.2,151.2
2016-10-27,"7.501,00","7.501,00","7.501,00","7.501,00","4,18",22,165.022,165.022
2016-10-28,"8.151,00","8.151,00","8.151,00","8.151,00","8,67",15,122.265,122.265
2016-11-03,"9.005,00","9.005,00","9.005,00","9.005,00","10,48",10,90.05,90.05
2016-11-18,"8.001,00","8.001,00","8.001,00","8.001,00","-11,15",1,8.001,8.001
2016-11-24,"8.001,00","8.001,00","8.001,00","8.001,00","0,00",10,80.01,80.01
2016-11-25,"8.031,00","8.031,00","8.031,00","8.031,00","0,37",10,80.31,80.31
2016-12-01,"8.505,00","8.505,00","8.505,00","8.505,00","5,90",30,255.15,255.15
2016-12-23,"8.000,00","8.000,00","8.000,00","8.000,00","-5,94",20,160.0,160.0
2017-01-04,"8.500,00","8.500,00","8.500,00","8.500,00","6,25",13,110.5,110.5
