Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2014-11-20,"16,00","16,00","16,00","16,00","6,67",1.000,16.0,16.0
2014-12-10,"16,00","16,00","16,00","16,00","0,00",7.000,112.0,112.0
2014-12-16,"16,00","16,00","16,00","16,00","0,00",2.000,32.0,32.0
2015-04-28,"16,00","16,00","16,00","16,00","0,00",5.000,80.0,80.0
2015-06-16,"15,00","15,00","15,00","15,00","-6,25",5.000,75.0,75.0
2015-06-19,"15,00","15,00","15,00","15,00","0,00",10.000,150.0,150.0
2015-06-29,"14,00","14,00","14,00","14,00","-6,67",15.000,210.0,210.0
2015-08-19,"13,00","13,00","13,00","13,00","-7,14",200,2.6,2.6
2015-11-26,"13,00","13,00","13,00","13,00","0,00",110,1.43,1.43
2015-12-23,"13,00","13,00","13,00","13,00","0,00",400,5.2,5.2
2016-01-04,"12,00","12,00","12,00","12,00","-7,69",3.977,47.724,47.724
2016-01-11,"12,00","12,00","12,00","12,00","0,00",500,6.0,6.0
2016-01-12,"12,00","12,00","12,00","12,00","0,00",775,9.3,9.3
2016-02-04,"12,00","12,00","12,00","12,00","0,00",4.200,50.4,50.4
2016-02-15,"12,00","12,00","12,00","12,00","0,00",900,10.8,10.8
2016-05-27,"12,00","12,00","12,00","12,00","0,00",2.100,25.2,25.2
2016-06-29,"12,00","12,00","12,00","12,00","0,00",500,6.0,6.0
2016-08-15,"12,00","12,00","12,00","12,00","0,00",1.300,15.6,15.6
2016-08-23,"12,00","12,00","12,00","12,00","0,00",452,5.424,5.424
2016-08-24,"12,00","12,00","12,00","12,00","0,00",548,6.576,6.576
2016-08-25,"13,00","13,00","13,00","13,00","8,33",752,9.776,9.776
2016-09-05,"15,00","15,00","15,00","15,00","15,38",200,3.0,3.0
2016-10-28,"15,00","15,00","15,00","15,00","0,00",290,4.35,4.35
2016-11-03,"12,00","12,00","12,00","12,00","-20,00",2.000,24.0,24.0
2017-01-31,"12,00","12,00","12,00","12,00","0,00",150,1.8,1.8
2017-05-03,"10,00","10,00","10,00","10,00","-16,67",1.000,10.0,10.0
2017-07-25,"12,00","12,00","12,00","12,00","20,00",100,1.2,1.2
2017-09-05,"13,00","13,00","13,00","13,00","8,33",3.000,39.0,39.0
2017-09-13,"14,00","14,00","14,00","14,00","7,69",200,2.8,2.8
2017-10-05,"12,00","12,00","12,00","12,00","-14,29",280,3.36,3.36
2017-10-06,"15,00","15,00","15,00","15,00","25,00",3.794,56.91,56.91
2017-11-08,"15,00","15,00","15,00","15,00","0,00",3.000,45.0,45.0
2018-03-27,"11,00","11,00","11,00","11,00","-26,67",1.600,17.6,17.6
2018-03-28,"11,00","11,00","11,00","11,00","0,00",470,5.17,5.17
2018-03-30,"11,00","11,00","11,00","11,00","0,00",470,5.17,5.17
2018-05-09,"12,00","12,00","12,00","12,00","9,09",2.800,33.6,33.6
2018-05-11,"13,00","13,00","13,00","13,00","8,33",1.000,13.0,13.0
2018-05-29,"14,00","14,00","14,00","14,00","7,69",1.200,16.8,16.8
2018-06-11,"14,00","14,00","14,00","14,00","0,00",1.300,18.2,18.2
2018-06-13,"14,00","14,00","14,00","14,00","0,00",1.000,14.0,14.0
2018-06-19,"14,00","14,00","14,00","14,00","0,00",341,4.774,4.774
2018-06-22,"15,00","15,00","15,00","15,00","7,14",4.000,60.0,60.0
2018-07-02,"15,00","15,00","15,00","15,00","0,00",500,7.5,7.5
2018-07-04,"14,00","14,00","14,00","14,00","-6,67",60,840.0,840.0
2018-07-12,"14,00","14,00","14,00","14,00","0,00",1.000,14.0,14.0
