Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
27.10.2015,"1.600,00","1.600,00","1.600,00","1.600,00","0,00",72,115.2,115.2
16.03.2016,"2.000,00","2.000,00","2.000,00","2.000,00","25,00",453,906.0,906.0
02.06.2016,"2.000,00","2.000,00","2.000,00","2.000,00","0,00",371,742.0,742.0
19.06.2017,"1.600,00","1.600,00","1.600,00","1.600,00","-20,00",500,800.0,800.0
05.07.2018,"1.600,00","1.600,00","1.600,00","1.600,00","0,00",500,800.0,800.0
14.08.2018,"1.600,00","1.600,00","1.600,00","1.600,00","0,00",500,800.0,800.0
08.10.2018,"1.600,00","1.600,00","1.600,00","1.600,00","0,00",500,800.0,800.0
21.11.2018,"1.600,00","1.600,00","1.600,00","1.600,00","0,00",500,800.0,800.0
19.12.2018,"1.600,00","1.600,00","1.600,00","1.600,00","0,00",600,960.0,960.0
23.01.2019,"1.600,00","1.600,00","1.600,00","1.600,00","0,00",400,640.0,640.0
20.05.2019,"1.600,00","1.600,00","1.600,00","1.600,00","0,00",600,960.0,960.0
19.09.2019,"1.600,00","1.600,00","1.600,00","1.600,00","0,00",41,65.6,65.6
22.02.2022,"1.600,00","1.600,00","1.600,00","1.600,00","0,00",206,329.6,329.6
