Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2014-11-25,"1.350,00","1.350,00","1.350,00","1.350,00","0,00",30,40.5,40.5
2014-12-16,"1.350,00","1.350,00","1.350,00","1.350,00","0,00",40,54.0,54.0
2015-02-13,"1.350,00","1.350,00","1.350,00","1.350,00","0,00",30,40.5,40.5
2015-03-02,"1.300,00","1.300,00","1.300,00","1.300,00","-3,70",41,53.3,53.3
2015-03-10,"1.300,00","1.300,00","1.300,00","1.300,00","0,00",10,13.0,13.0
2015-04-02,"1.350,00","1.350,00","1.350,00","1.350,00","3,85",70,94.5,94.5
2015-05-15,"1.310,00","1.310,00","1.310,00","1.310,00","-2,96",188,246.28,246.28
2015-06-01,"1.349,00","1.349,00","1.349,00","1.349,00","2,98",200,269.8,269.8
2015-06-03,"1.350,00","1.350,00","1.350,00","1.350,00","0,07",600,810.0,810.0
2015-07-09,"1.350,00","1.350,00","1.350,00","1.350,00","0,00",41,55.35,55.35
2015-08-04,"1.360,00","1.360,00","1.360,00","1.360,00","0,74",50,68.0,68.0
2015-08-25,"1.350,00","1.350,00","1.350,00","1.350,00","-0,74",50,67.5,67.5
2015-10-06,"1.350,00","1.350,00","1.350,00","1.350,00","0,00",82,110.7,110.7
2015-10-26,"1.360,00","1.360,00","1.360,00","1.360,00","0,74",50,68.0,68.0
2015-12-25,"1.350,00","1.350,00","1.350,00","1.350,00","-0,74",46,62.1,62.1
2016-02-12,"1.350,00","1.350,00","1.350,00","1.350,00","0,00",40,54.0,54.0
2016-03-04,"1.350,00","1.350,00","1.350,00","1.350,00","0,00",110,148.5,148.5
2016-03-29,"1.360,00","1.360,00","1.360,00","1.360,00","0,74",110,149.6,149.6
2016-04-13,"1.360,00","1.360,00","1.360,00","1.360,00","0,00",142,193.12,193.12
2016-04-18,"1.350,00","1.350,00","1.350,00","1.350,00","-0,74",24,32.4,32.4
2016-04-25,"1.360,00","1.360,00","1.360,00","1.360,00","0,74",20,27.2,27.2
2016-05-05,"1.350,00","1.350,00","1.350,00","1.350,00","-0,74",31,41.85,41.85
2016-05-13,"1.351,00","1.351,00","1.351,00","1.351,00","0,07",129,174.279,174.279
2016-06-10,"1.499,00","1.499,00","1.499,00","1.499,00","10,95",3,4.497,4.497
2016-06-16,"1.400,00","1.400,00","1.400,00","1.400,00","-6,60",45,63.0,63.0
2016-08-09,"1.358,00","1.358,00","1.358,00","1.358,00","-3,00",40,54.32,54.32
2016-09-12,"1.350,00","1.350,00","1.350,00","1.350,00","-0,59",66,89.1,89.1
2016-10-28,"1.400,00","1.400,00","1.400,00","1.400,00","3,70",50,70.0,70.0
2017-01-26,"1.472,00","1.472,00","1.472,00","1.472,00","5,14",3,4.416,4.416
2017-02-08,"1.471,00","1.471,00","1.471,00","1.471,00","-0,07",70,102.97,102.97
2017-02-10,"1.471,00","1.471,00","1.471,00","1.471,00","0,00",71,104.441,104.441
2017-02-21,"1.515,00","1.515,00","1.515,00","1.515,00","2,99",79,119.685,119.685
2017-04-11,"1.470,00","1.470,00","1.470,00","1.470,00","-2,97",3,4.41,4.41
2017-04-13,"1.527,00","1.527,00","1.527,00","1.527,00","3,88",70,106.89,106.89
2017-05-05,"1.527,00","1.527,00","1.527,00","1.527,00","0,00",13,19.851,19.851
2017-05-09,"1.527,00","1.527,00","1.527,00","1.527,00","0,00",13,19.851,19.851
2017-05-18,"1.515,00","1.515,00","1.515,00","1.515,00","-0,79",230,348.45,348.45
2017-06-19,"1.515,00","1.515,00","1.515,00","1.515,00","0,00",10,15.15,15.15
2017-06-28,"1.515,00","1.515,00","1.515,00","1.515,00","0,00",120,181.8,181.8
2017-07-11,"1.515,00","1.515,00","1.515,00","1.515,00","0,00",40,60.6,60.6
2017-08-10,"1.515,00","1.515,00","1.515,00","1.515,00","0,00",10,15.15,15.15
2017-10-03,"1.470,00","1.470,00","1.470,00","1.470,00","-2,97",61,89.67,89.67
2017-10-06,"1.470,00","1.470,00","1.470,00","1.470,00","0,00",112,164.64,164.64
2017-10-10,"1.470,00","1.470,00","1.470,00","1.470,00","0,00",40,58.8,58.8
2017-10-26,"1.470,00","1.470,00","1.470,00","1.470,00","0,00",222,326.34,326.34
2018-02-01,"1.470,00","1.470,00","1.470,00","1.470,00","0,00",60,88.2,88.2
2018-04-19,"1.521,00","1.521,00","1.521,00","1.521,00","3,47",71,107.991,107.991
2018-05-03,"1.608,00","1.608,00","1.608,00","1.608,00","5,72",129,207.432,207.432
2018-05-07,"1.650,00","1.650,00","1.650,00","1.650,00","2,61",30,49.5,49.5
2018-05-14,"1.699,00","1.699,00","1.699,00","1.699,00","2,97",30,50.97,50.97
2018-05-16,"1.699,00","1.699,00","1.699,00","1.699,00","0,00",60,101.94,101.94
2018-05-30,"1.699,00","1.699,00","1.699,00","1.699,00","0,00",41,69.659,69.659
2018-06-04,"1.699,00","1.699,00","1.699,00","1.699,00","0,00",60,101.94,101.94
2018-06-26,"1.700,00","1.700,00","1.700,00","1.700,00","0,06",82,139.4,139.4
2018-06-29,"1.700,00","1.700,00","1.700,00","1.700,00","0,00",74,125.8,125.8
2018-07-10,"1.702,00","1.702,00","1.702,00","1.702,00","0,12",70,119.14,119.14
2018-08-17,"1.700,00","1.700,00","1.700,00","1.700,00","-0,12",60,102.0,102.0
2018-10-12,"1.751,00","1.751,00","1.751,00","1.751,00","3,00",109,190.859,190.859
2018-11-06,"1.816,00","1.816,00","1.816,00","1.816,00","3,71",5,9.08,9.08
2018-12-18,"1.800,00","1.800,00","1.800,00","1.800,00","-0,88",60,108.0,108.0
2018-12-24,"1.801,00","1.801,00","1.801,00","1.801,00","0,06",55,99.055,99.055
2020-12-30,"1.900,00","1.900,00","1.900,00","1.900,00","5,50",7,13.3,13.3
2021-01-05,"1.900,00","1.900,00","1.900,00","1.900,00","0,00",83,157.7,157.7
2021-02-16,"2.001,00","2.001,00","2.001,00","2.001,00","8,57",30,60.03,60.03
2021-05-06,"2.001,00","2.001,00","2.001,00","2.001,00","0,00",130,260.13,260.13
2021-09-20,"2.000,00","2.000,00","2.000,00","2.000,00","-0,05",50,100.0,100.0
