Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2014-11-17,"55.500,00","55.500,00","55.500,00","55.500,00","0,00",7,388.5,388.5
2014-12-02,"55.500,00","55.500,00","55.500,00","55.500,00","-0,89",10,555.0,555.0
2014-12-04,"55.500,00","55.500,00","55.500,00","55.500,00","0,00",14,777.0,777.0
2014-12-11,"56.000,00","56.000,00","56.000,00","56.000,00","0,00",7,392.0,392.0
2014-12-26,"57.000,00","57.000,00","57.000,00","57.000,00","1,79",5,285.0,285.0
2014-12-29,"57.001,00","57.001,00","57.001,00","57.001,00","0,00",3,171.003,171.003
2015-01-16,"57.000,00","57.000,00","57.000,00","57.000,00","0,00",10,570.0,570.0
2015-01-26,"57.000,00","57.000,00","57.000,00","57.000,00","0,00",15,855.0,855.0
2015-01-27,"57.000,00","57.000,00","57.000,00","57.000,00","0,00",5,285.0,285.0
2015-02-03,"57.500,00","57.500,00","57.500,00","57.500,00","0,88",2,115.0,115.0
2015-02-04,"57.900,00","58.000,00","57.900,00","57.990,91","0,85",11,637.9,637.9
2015-02-05,"57.900,00","57.900,00","57.900,00","57.900,00","-0,16",2,115.8,115.8
2015-02-09,"57.999,00","57.999,00","57.999,00","57.999,00","0,17",2,115.998,115.998
2015-02-26,"57.999,00","57.999,00","57.900,00","57.966,00","-0,06",6,347.796,347.796
2015-03-05,"58.000,00","58.000,00","58.000,00","58.000,00","0,06",5,290.0,290.0
2015-03-09,"58.000,00","58.000,00","58.000,00","58.000,00","0,00",2,116.0,116.0
2015-03-12,"57.001,00","57.001,00","57.001,00","57.001,00","-1,72",5,285.005,285.005
2015-03-16,"57.000,00","57.000,00","57.000,00","57.000,00","0,00",1,57.0,57.0
2015-03-19,"57.000,00","57.000,00","57.000,00","57.000,00","0,00",1,57.0,57.0
2015-03-20,"57.000,00","57.000,00","57.000,00","57.000,00","0,00",1,57.0,57.0
2015-03-25,"57.000,00","57.000,00","57.000,00","57.000,00","0,00",2,114.0,114.0
2015-03-30,"56.999,00","56.999,00","56.999,00","56.999,00","0,00",2,113.998,113.998
2015-04-01,"57.000,00","57.000,00","57.000,00","57.000,00","0,00",15,855.0,855.0
2015-04-02,"57.000,00","57.000,00","57.000,00","57.000,00","0,00",5,285.0,285.0
2015-04-09,"57.000,00","57.000,00","56.990,00","56.998,00","0,00",10,569.98,569.98
2015-05-15,"53.000,00","53.000,00","53.000,00","53.000,00","-7,01",3,159.0,159.0
2015-06-29,"51.500,00","51.500,00","51.500,00","51.500,00","-2,83",1,51.5,51.5
