Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2014-12-04,"30,00","30,00","30,00","30,00","0,00",600,18.0,18.0
2014-12-16,"30,00","30,00","30,00","30,00","0,00",455,13.65,13.65
2015-02-12,"30,00","30,00","30,00","30,00","0,00",30,900.0,900.0
2015-04-15,"30,00","30,00","30,00","30,00","0,00",23,690.0,690.0
2015-05-21,"30,00","30,00","30,00","30,00","0,00",1.247,37.41,37.41
2015-06-24,"30,00","30,00","30,00","30,00","0,00",18,540.0,540.0
2015-11-23,"30,00","30,00","30,00","30,00","0,00",13,390.0,390.0
2015-12-28,"30,00","30,00","30,00","30,00","0,00",24,720.0,720.0
2016-03-04,"30,00","30,00","30,00","30,00","0,00",26,780.0,780.0
2016-03-22,"30,00","30,00","30,00","30,00","0,00",24,720.0,720.0
2016-03-28,"30,00","30,00","30,00","30,00","0,00",1.922,57.66,57.66
2016-11-18,"30,00","30,00","30,00","30,00","0,00",15,450.0,450.0
2016-12-28,"30,00","30,00","30,00","30,00","0,00",4.899,146.97,146.97
2017-04-05,"30,00","30,00","30,00","30,00","0,00",735,22.05,22.05
2017-06-28,"30,00","30,00","30,00","30,00","0,00",1.237,37.11,37.11
2017-07-26,"30,00","30,00","30,00","30,00","0,00",99,2.97,2.97
2017-11-02,"30,00","30,00","30,00","30,00","0,00",100,3.0,3.0
2017-12-05,"30,00","30,00","30,00","30,00","0,00",5.000,150.0,150.0
2017-12-06,"30,00","30,00","30,00","30,00","0,00",3.932,117.96,117.96
2018-02-06,"30,00","30,00","30,00","30,00","0,00",24,720.0,720.0
2018-02-12,"30,00","30,00","30,00","30,00","0,00",20,600.0,600.0
2018-04-17,"30,00","30,00","30,00","30,00","0,00",21,630.0,630.0
2018-05-28,"30,00","30,00","30,00","30,00","0,00",200,6.0,6.0
2018-05-29,"30,00","30,00","30,00","30,00","0,00",100,3.0,3.0
2018-06-05,"30,00","30,00","30,00","30,00","0,00",157,4.71,4.71
2018-06-08,"30,00","30,00","30,00","30,00","0,00",41,1.23,1.23
2018-07-04,"30,00","30,00","30,00","30,00","0,00",25,750.0,750.0
2018-08-17,"30,00","30,00","30,00","30,00","0,00",25,750.0,750.0
2018-09-28,"30,00","30,00","30,00","30,00","0,00",1.236,37.08,37.08
2018-11-06,"30,00","30,00","30,00","30,00","0,00",9,270.0,270.0
2018-11-22,"30,00","30,00","30,00","30,00","0,00",1.554,46.62,46.62
2019-02-13,"30,00","30,00","30,00","30,00","0,00",25,750.0,750.0
2019-02-15,"30,00","30,00","30,00","30,00","0,00",28,840.0,840.0
2019-02-25,"30,00","30,00","30,00","30,00","0,00",33,990.0,990.0
2019-05-07,"30,00","30,00","30,00","30,00","0,00",12,360.0,360.0
2019-07-17,"30,00","30,00","30,00","30,00","0,00",100,3.0,3.0
2019-08-14,"85,00","85,00","85,00","85,00","183,33",500,42.5,42.5
2019-08-19,"86,00","86,00","86,00","86,00","1,18",1.127,96.922,96.922
2019-08-20,"84,00","84,00","84,00","84,00","-2,33",634,53.256,53.256
2019-10-02,"60,00","60,00","60,00","60,00","-28,57",10,600.0,600.0
2019-10-03,"60,00","60,00","60,00","60,00","0,00",7.796,467.76,467.76
2019-10-10,"48,00","48,00","48,00","48,00","-20,00",50,2.4,2.4
2019-12-23,"48,00","48,00","48,00","48,00","0,00",438,21.024,21.024
2020-02-03,"48,00","48,00","48,00","48,00","0,00",24,1.152,1.152
2020-02-19,"48,00","48,00","48,00","48,00","0,00",21,1.008,1.008
2020-02-21,"48,00","48,00","48,00","48,00","0,00",15,720.0,720.0
2020-03-12,"48,00","48,00","48,00","48,00","0,00",439,21.072,21.072
2020-03-20,"48,00","48,00","48,00","48,00","0,00",2.886,138.528,138.528
2020-05-29,"68,00","68,00","68,00","68,00","41,67",896,60.928,60.928
2020-10-14,"68,00","68,00","68,00","68,00","0,00",890,60.52,60.52
2020-10-15,"68,00","68,00","68,00","68,00","0,00",3.240,220.32,220.32
2021-02-23,"50,00","50,00","50,00","50,00","-28,57",50,2.5,2.5
2021-02-24,"50,00","50,00","50,00","50,00","0,00",1.920,96.0,96.0
2021-10-22,"50,00","50,00","50,00","50,00","0,00",1.038,51.9,51.9
2022-06-15,"50,00","50,00","50,00","50,00","0,00",6.430,321.5,321.5
2022-06-29,"50,00","50,00","50,00","50,00","0,00",7.719,385.95,385.95
2022-07-04,"50,00","50,00","50,00","50,00","0,00",3.732,186.6,186.6
2022-07-05,"50,00","50,00","50,00","50,00","0,00",4.603,230.15,230.15
2022-07-06,"50,00","50,00","50,00","50,00","0,00",7.175,358.75,358.75
2022-07-07,"50,00","50,00","50,00","50,00","0,00",4.938,246.9,246.9
2022-07-08,"50,00","50,00","50,00","50,00","0,00",2.474,123.7,123.7
2022-07-12,"50,00","50,00","50,00","50,00","0,00",5.054,252.7,252.7
2022-07-13,"50,00","50,00","50,00","50,00","0,00",4.210,210.5,210.5
2022-07-15,"50,00","50,00","50,00","50,00","0,00",2.467,123.35,123.35
2022-07-22,"50,00","50,00","50,00","50,00","0,00",3.214,160.7,160.7
2022-07-25,"50,00","50,00","50,00","50,00","0,00",1.245,62.25,62.25
2022-07-26,"50,00","50,00","50,00","50,00","0,00",3.676,183.8,183.8
2022-08-03,"50,00","50,00","50,00","50,00","0,00",375,18.75,18.75
2022-08-04,"50,00","50,00","50,00","50,00","0,00",12.681,634.05,634.05
2022-08-09,"50,00","50,00","50,00","50,00","0,00",3.702,185.1,185.1
2022-08-17,"50,00","50,00","50,00","50,00","0,00",3.675,183.75,183.75
2022-09-12,"50,00","50,00","50,00","50,00","0,00",3.495,174.75,174.75
2022-10-10,"50,00","50,00","50,00","50,00","0,00",53,2.65,2.65
2022-10-14,"50,00","50,00","50,00","50,00","0,00",20,1.0,1.0
2022-11-01,"50,00","50,00","50,00","50,00","0,00",612,30.6,30.6
2022-11-15,"50,00","50,00","50,00","50,00","0,00",3.069,153.45,153.45
2022-11-17,"50,00","50,00","50,00","50,00","0,00",1.234,61.7,61.7
2022-12-05,"50,00","50,00","50,00","50,00","0,00",616,30.8,30.8
2022-12-06,"50,00","50,00","50,00","50,00","0,00",1.234,61.7,61.7
2022-12-23,"50,00","50,00","50,00","50,00","0,00",4.000,200.0,200.0
2023-01-05,"50,00","50,00","50,00","50,00","0,00",382,19.1,19.1
2023-06-05,"50,00","50,00","50,00","50,00","0,00",1.233,61.65,61.65
2023-06-12,"50,00","50,00","50,00","50,00","0,00",1.263,63.15,63.15
2023-08-07,"50,00","50,00","50,00","50,00","0,00",842,42.1,42.1
2023-09-13,"50,00","50,00","50,00","50,00","0,00",32,1.6,1.6
2023-10-17,"50,00","50,00","50,00","50,00","0,00",1.050,52.5,52.5
2023-12-14,"50,00","50,00","50,00","50,00","0,00",1.392,69.6,69.6
2024-09-03,"50,00","50,00","50,00","50,00","0,00",618,30.9,30.9
