Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
12.02.2015,"25,00","25,00","25,00","25,00","0,00",31,775.0,775.0
01.04.2015,"25,00","25,00","25,00","25,00","0,00",27,675.0,675.0
28.05.2015,"25,00","25,00","25,00","25,00","0,00",23,575.0,575.0
24.06.2015,"25,00","25,00","25,00","25,00","0,00",19,475.0,475.0
28.07.2015,"25,00","25,00","25,00","25,00","0,00",24,600.0,600.0
19.08.2015,"25,00","25,00","25,00","25,00","0,00",65,1.625,1.625
09.09.2015,"25,00","25,00","25,00","25,00","0,00",145,3.625,3.625
23.11.2015,"25,00","25,00","25,00","25,00","0,00",13,325.0,325.0
28.12.2015,"25,00","25,00","25,00","25,00","0,00",25,625.0,625.0
11.01.2016,"25,00","25,00","25,00","25,00","0,00",40,1.0,1.0
03.03.2016,"25,00","25,00","25,00","25,00","0,00",27,675.0,675.0
10.03.2016,"25,00","25,00","25,00","25,00","0,00",90,2.25,2.25
22.03.2016,"25,00","25,00","25,00","25,00","0,00",25,625.0,625.0
11.04.2016,"25,00","25,00","25,00","25,00","0,00",358,8.95,8.95
12.04.2016,"25,00","25,00","25,00","25,00","0,00",640,16.0,16.0
21.09.2016,"25,00","25,00","25,00","25,00","0,00",55,1.375,1.375
17.11.2016,"25,00","25,00","25,00","25,00","0,00",16,400.0,400.0
29.11.2016,"25,00","25,00","25,00","25,00","0,00",100,2.5,2.5
02.02.2017,"25,00","25,00","25,00","25,00","0,00",1.000,25.0,25.0
24.02.2017,"25,00","25,00","25,00","25,00","0,00",200,5.0,5.0
06.03.2017,"25,00","25,00","25,00","25,00","0,00",20,500.0,500.0
16.05.2017,"25,00","25,00","25,00","25,00","0,00",19,475.0,475.0
28.06.2017,"25,00","25,00","25,00","25,00","0,00",23,575.0,575.0
21.07.2017,"25,00","25,00","25,00","25,00","0,00",1.763,44.075,44.075
25.07.2017,"31,00","31,00","31,00","31,00","24,00",1.000,31.0,31.0
26.07.2017,"31,00","31,00","31,00","31,00","0,00",1.738,53.878,53.878
27.07.2017,"31,00","31,00","31,00","31,00","0,00",1.513,46.903,46.903
08.08.2017,"25,00","25,00","25,00","25,00","-19,35",2.000,50.0,50.0
04.10.2017,"25,00","25,00","25,00","25,00","0,00",33,825.0,825.0
10.01.2018,"25,00","25,00","25,00","25,00","0,00",1.000,25.0,25.0
01.02.2018,"20,00","20,00","20,00","20,00","-20,00",25,500.0,500.0
12.02.2018,"20,00","20,00","20,00","20,00","0,00",21,420.0,420.0
19.02.2018,"20,00","20,00","20,00","20,00","0,00",25,500.0,500.0
21.03.2018,"30,00","30,00","30,00","30,00","50,00",215,6.45,6.45
14.06.2018,"20,00","20,00","20,00","20,00","-33,33",34,680.0,680.0
27.06.2018,"28,00","28,00","28,00","28,00","40,00",805,22.54,22.54
10.07.2018,"28,00","28,00","28,00","28,00","0,00",1.000,28.0,28.0
16.08.2018,"28,00","28,00","28,00","28,00","0,00",300,8.4,8.4
22.08.2018,"25,00","25,00","25,00","25,00","-10,71",100,2.5,2.5
17.09.2018,"25,00","25,00","25,00","25,00","0,00",58,1.45,1.45
06.11.2018,"25,00","25,00","25,00","25,00","0,00",9,225.0,225.0
08.11.2018,"25,00","25,00","25,00","25,00","0,00",500,12.5,12.5
17.12.2018,"25,00","25,00","25,00","25,00","0,00",600,15.0,15.0
01.02.2019,"20,00","20,00","20,00","20,00","-20,00",300,6.0,6.0
13.02.2019,"20,00","20,00","20,00","20,00","0,00",50,1.0,1.0
15.02.2019,"20,00","20,00","20,00","20,00","0,00",29,580.0,580.0
21.02.2019,"20,00","20,00","20,00","20,00","0,00",34,680.0,680.0
22.02.2019,"25,00","25,00","25,00","25,00","25,00",400,10.0,10.0
07.05.2019,"20,00","20,00","20,00","20,00","-20,00",13,260.0,260.0
01.08.2019,"20,00","20,00","20,00","20,00","0,00",56,1.12,1.12
23.08.2019,"20,00","20,00","20,00","20,00","0,00",31,620.0,620.0
