Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2015-11-25,"620,00","620,00","620,00","620,00","0,81",108,66.96,66.96
2016-01-12,"500,00","500,00","500,00","500,00","-19,35",2,1.0,1.0
2016-01-14,"500,00","500,00","500,00","500,00","0,00",124,62.0,62.0
2016-02-12,"500,00","500,00","500,00","500,00","0,00",29,14.5,14.5
2016-10-27,"500,00","500,00","500,00","500,00","0,00",20,10.0,10.0
2016-11-29,"620,00","620,00","620,00","620,00","24,00",5,3.1,3.1
2018-05-10,"615,00","615,00","615,00","615,00","-0,81",103,63.345,63.345
2018-05-16,"633,00","633,00","633,00","633,00","2,93",107,67.731,67.731
2019-02-26,"600,00","600,00","600,00","600,00","-5,21",3,1.8,1.8
2022-07-11,"6.170,00","6.170,00","6.170,00","6.170,00","928,33",1,6.17,0.0
