Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
18.11.2014,"28,00","28,00","28,00","28,00","0,00",2.000,56.0,56.0
19.11.2014,"26,00","26,00","26,00","26,00","-7,14",300,7.8,7.8
09.01.2015,"21,00","21,00","21,00","21,00","-19,23",1.000,21.0,21.0
15.01.2015,"21,00","21,00","21,00","21,00","0,00",1.753,36.813,36.813
16.01.2015,"21,00","21,00","21,00","21,00","0,00",510,10.71,10.71
11.02.2015,"23,00","23,00","23,00","23,00","9,52",187,4.301,4.301
12.02.2015,"23,00","23,00","23,00","23,00","0,00",728,16.744,16.744
09.04.2015,"18,00","18,00","18,00","18,00","-21,74",164,2.952,2.952
17.04.2015,"18,00","18,00","18,00","18,00","0,00",210,3.78,3.78
12.05.2015,"18,00","18,00","18,00","18,00","0,00",662,11.916,11.916
24.06.2015,"19,00","19,00","19,00","19,00","5,56",360,6.84,6.84
14.07.2015,"16,00","16,00","16,00","16,00","-15,79",249,3.984,3.984
30.07.2015,"15,00","15,00","15,00","15,00","-6,25",43,645.0,645.0
02.09.2015,"15,00","15,00","15,00","15,00","0,00",200,3.0,3.0
24.09.2015,"15,00","15,00","15,00","15,00","0,00",1.660,24.9,24.9
15.10.2015,"15,00","15,00","15,00","15,00","0,00",700,10.5,10.5
16.11.2015,"12,00","12,00","12,00","12,00","-20,00",3.000,36.0,36.0
20.11.2015,"12,00","12,00","12,00","12,00","0,00",100,1.2,1.2
24.11.2015,"13,00","13,00","13,00","13,00","8,33",2.218,28.834,28.834
25.11.2015,"13,00","13,00","13,00","13,00","0,00",569,7.397,7.397
26.11.2015,"13,00","13,00","13,00","13,00","0,00",250,3.25,3.25
30.11.2015,"13,00","13,00","13,00","13,00","0,00",824,10.712,10.712
23.12.2015,"13,00","13,00","13,00","13,00","0,00",1.200,15.6,15.6
28.12.2015,"12,00","12,00","12,00","12,00","-7,69",490,5.88,5.88
14.01.2016,"12,00","12,00","12,00","12,00","0,00",100,1.2,1.2
18.01.2016,"13,00","13,00","13,00","13,00","8,33",1.000,13.0,13.0
26.01.2016,"12,00","12,00","12,00","12,00","-7,69",1.100,13.2,13.2
02.02.2016,"12,00","12,00","12,00","12,00","0,00",210,2.52,2.52
03.02.2016,"12,00","12,00","12,00","12,00","0,00",1.000,12.0,12.0
11.02.2016,"12,00","12,00","12,00","12,00","0,00",100,1.2,1.2
18.02.2016,"10,00","10,00","10,00","10,00","-16,67",219,2.19,2.19
24.02.2016,"10,00","10,00","10,00","10,00","0,00",1.465,14.65,14.65
03.03.2016,"11,00","11,00","11,00","11,00","10,00",500,5.5,5.5
23.03.2016,"9,00","9,00","9,00","9,00","-18,18",2.000,18.0,18.0
25.03.2016,"9,00","9,00","9,00","9,00","0,00",4.980,44.82,44.82
29.03.2016,"9,00","9,00","9,00","9,00","0,00",500,4.5,4.5
31.03.2016,"9,00","9,00","9,00","9,00","0,00",2.500,22.5,22.5
06.04.2016,"9,00","9,00","9,00","9,00","0,00",5.000,45.0,45.0
07.04.2016,"9,00","9,00","9,00","9,00","0,00",1.000,9.0,9.0
12.04.2016,"9,00","9,00","9,00","9,00","0,00",1.000,9.0,9.0
13.04.2016,"9,00","9,00","9,00","9,00","0,00",1.188,10.692,10.692
15.04.2016,"8,00","8,00","8,00","8,00","-11,11",131,1.048,1.048
19.04.2016,"8,00","8,00","8,00","8,00","0,00",1.869,14.952,14.952
06.05.2016,"7,00","7,00","7,00","7,00","-12,50",1.531,10.717,10.717
19.05.2016,"7,00","7,00","7,00","7,00","0,00",20,140.0,140.0
23.05.2016,"7,00","7,00","7,00","7,00","0,00",110,770.0,770.0
22.06.2016,"8,00","8,00","8,00","8,00","14,29",1.100,8.8,8.8
29.06.2016,"7,00","7,00","7,00","7,00","-12,50",1.500,10.5,10.5
17.08.2016,"6,00","6,00","6,00","6,00","-14,29",4.306,25.836,25.836
25.08.2016,"7,00","7,00","7,00","7,00","16,67",135,945.0,945.0
02.09.2016,"11,00","11,00","11,00","11,00","57,14",1.289,14.179,14.179
23.09.2016,"11,00","11,00","11,00","11,00","0,00",1.850,20.35,20.35
06.10.2016,"8,00","8,00","8,00","8,00","-27,27",9.584,76.672,76.672
