Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
2014-11-17,"46,00","46,00","45,00","45,03","0,07",11.208,504.675,504.675
2014-11-18,"49,00","49,00","46,00","46,55","3,38",11.000,512.0,512.0
2014-11-19,"51,00","51,00","51,00","51,00","9,56",50,2.55,2.55
2014-11-20,"52,00","52,00","50,00","51,75","1,47",877,45.384,45.384
2014-11-21,"53,00","53,00","53,00","53,00","2,42",50,2.65,2.65
2014-11-25,"54,00","54,00","54,00","54,00","1,89",50,2.7,2.7
2015-01-12,"49,00","49,00","49,00","49,00","-9,26",100,4.9,4.9
2015-01-15,"45,00","45,00","45,00","45,00","-8,16",380,17.1,17.1
2015-01-21,"44,00","44,00","44,00","44,00","-2,22",740,32.56,32.56
2015-01-30,"42,00","42,00","42,00","42,00","-4,55",500,21.0,21.0
2015-02-05,"40,00","40,00","40,00","40,00","-4,76",750,30.0,30.0
2015-02-06,"42,00","42,00","42,00","42,00","5,00",4.990,209.58,209.58
2015-04-14,"25,00","25,00","25,00","25,00","-40,48",1.300,32.5,32.5
2015-04-23,"25,00","25,00","25,00","25,00","0,00",200,5.0,5.0
2015-05-05,"25,00","25,00","25,00","25,00","0,00",200,5.0,5.0
2015-05-19,"29,00","29,00","29,00","29,00","16,00",600,17.4,17.4
2015-05-22,"26,00","26,00","26,00","26,00","-10,34",1.310,34.06,34.06
2015-05-26,"26,00","26,00","26,00","26,00","0,00",500,13.0,13.0
2015-06-05,"26,00","26,00","26,00","26,00","0,00",70,1.82,1.82
2015-06-08,"25,00","25,00","25,00","25,00","-3,85",7.000,175.0,175.0
2015-06-09,"27,00","27,00","27,00","27,00","8,00",1.000,27.0,27.0
2015-06-15,"27,00","27,00","27,00","27,00","0,00",580,15.66,15.66
2015-06-24,"25,00","25,00","25,00","25,00","-7,41",610,15.25,15.25
2015-07-08,"25,00","25,00","25,00","25,00","0,00",350,8.75,8.75
2015-07-13,"26,00","26,00","26,00","26,00","4,00",400,10.4,10.4
2015-07-14,"25,00","25,00","25,00","25,00","-3,85",416,10.4,10.4
2015-07-30,"25,00","25,00","25,00","25,00","0,00",686,17.15,17.15
2015-08-04,"25,00","25,00","25,00","25,00","0,00",135,3.375,3.375
2015-08-10,"26,00","26,00","26,00","26,00","4,00",1.000,26.0,26.0
2015-08-19,"26,00","26,00","26,00","26,00","0,00",200,5.2,5.2
2015-08-20,"30,00","30,00","30,00","30,00","15,38",588,17.64,17.64
2015-08-31,"20,00","20,00","20,00","20,00","-33,33",750,15.0,15.0
2015-09-03,"21,00","21,00","21,00","21,00","5,00",400,8.4,8.4
2015-09-07,"21,00","21,00","21,00","21,00","0,00",200,4.2,4.2
2015-09-14,"21,00","21,00","21,00","21,00","0,00",200,4.2,4.2
2015-09-15,"21,00","21,00","21,00","21,00","0,00",200,4.2,4.2
2015-09-24,"21,00","21,00","21,00","21,00","0,00",1.600,33.6,33.6
2015-10-15,"21,00","21,00","21,00","21,00","0,00",250,5.25,5.25
2015-10-19,"21,00","21,00","21,00","21,00","0,00",100,2.1,2.1
2015-11-02,"21,00","21,00","21,00","21,00","0,00",334,7.014,7.014
